trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,13.42,,
2,1,True,0,15,0,24,1,,,,catch,0,,1,,0,0,8.5,,
3,1,True,0,15,0,37,1,,,,catch,0,,1,,0,0,4.14,,
4,1,True,0,14,1,24,0,,,,catch,0,,1,,0,0,3.6,,
5,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,20.43,,
6,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,44.79,,
7,1,True,0,14,1,25,0,,,,catch,0,,1,,0,0,22.69,,
8,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,3.54,,
9,1,True,1,15,1,29,1,,,,catch,0,,1,,0,0,2.55,,
10,1,True,1,14,1,34,1,,,,catch,0,,1,,0,0,2.32,,
11,1,True,0,14,1,20,0,,,,catch,0,,1,,0,0,5.67,,
12,1,True,1,15,1,32,1,,,,catch,0,,1,,0,0,2.25,,
13,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,1.94,,
14,1,True,0,15,0,21,1,,,,catch,0,,1,,0,0,2.22,,
15,1,True,0,15,1,22,0,,,,catch,0,,1,,0,0,1.85,,
16,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,1.71,,
17,1,True,0,15,1,37,0,,,,catch,0,,1,,0,0,2.57,,
18,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,1.99,,
19,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,2.73,,
20,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,1.82,,
21,1,True,1,15,1,40,1,,,,catch,0,,1,,0,0,1.8,,
22,1,True,0,14,1,20,0,,,,catch,0,,1,,0,0,2.51,,
23,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,2.11,,
24,1,True,1,15,0,17,0,,,,catch,0,,1,,0,0,2.43,,
25,1,True,0,15,1,24,0,,,,catch,0,,1,,0,0,1.71,,
26,1,True,0,15,0,30,1,,,,catch,0,,1,,0,0,2.24,,
27,1,True,0,15,0,37,1,,,,catch,0,,1,,0,0,2.01,,
28,1,True,0,14,0,36,1,,,,catch,0,,1,,0,0,1.81,,
29,1,True,0,14,0,38,1,,,,catch,0,,1,,0,0,1.79,,
30,1,True,1,13,1,5,1,,,,catch,0,,1,,0,0,1.94,,
31,2,True,0,13,1,18,0,,,,catch,0,,1,,0,0,1.9,,
32,2,True,0,14,1,15,0,,,,catch,0,,1,,0,0,2.23,,
33,2,True,1,15,1,17,1,,,,catch,0,,1,,0,0,1.67,,
34,2,True,0,15,0,15,1,,,,catch,0,,1,,0,0,2.6,,
35,2,True,1,14,1,13,1,,,,catch,0,,1,,0,0,1.74,,
36,2,True,0,14,0,31,1,,,,catch,0,,1,,0,0,1.93,,
37,2,True,0,13,1,22,0,,,,catch,0,,1,,0,0,1.71,,
38,2,True,0,14,0,35,1,,,,catch,0,,1,,0,0,1.97,,
39,2,True,0,14,0,37,1,,,,catch,0,,1,,0,0,1.91,,
40,2,True,1,13,0,33,0,,,,catch,0,,1,,0,0,1.68,,
41,2,True,1,14,0,7,0,,,,catch,0,,1,,0,0,2.66,,
42,2,True,0,15,0,24,1,,,,catch,0,,1,,0,0,1.81,,
43,2,True,1,15,0,34,0,,,,catch,0,,1,,0,0,1.89,,
44,2,True,1,15,0,31,0,,,,catch,0,,1,,0,0,2.27,,
45,2,True,0,15,0,37,1,,,,catch,0,,1,,0,0,1.79,,
46,2,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.01,,
47,2,True,0,14,0,28,1,,,,catch,0,,1,,0,0,1.69,,
48,2,True,1,14,1,20,1,,,,catch,0,,1,,0,0,1.64,,
49,2,True,0,13,0,28,1,,,,catch,0,,1,,0,0,1.77,,
50,2,True,0,13,0,31,1,,,,catch,0,,1,,0,0,1.71,,
51,2,True,1,12,1,20,1,,,,catch,0,,1,,0,0,1.89,,
52,2,True,0,12,0,33,1,,,,catch,0,,1,,0,0,2.01,,
53,2,True,0,11,0,14,1,,,,catch,0,,1,,0,0,1.96,,
54,2,True,0,11,0,8,1,,,,catch,0,,1,,0,0,2.1,,
55,2,True,1,10,1,19,1,,,,catch,0,,1,,0,0,1.97,,
56,2,True,1,10,1,32,1,,,,catch,0,,1,,0,0,1.65,,
57,2,True,1,9,1,35,1,,,,catch,0,,1,,0,0,2.02,,
58,2,True,1,9,1,40,1,,,,catch,0,,1,,0,0,1.55,,
59,2,True,1,8,1,45,1,,,,catch,0,,1,,0,0,1.72,,
60,2,True,1,8,1,4,1,,,,catch,0,,1,,0,0,2.4,,
61,3,False,1,7,1,31,1,1,31,1,forceblk4,1,1,0,1,1,0,2.8,16.55,17.56
62,3,False,1,7,1,37,1,1,37,1,forceblk4,2,2,0,0,0,0,2.54,6.4,7.4
63,3,False,0,7,1,44,0,1,44,0,forceblk4,1,1,0,0,1,0,2.68,2.67,3.68
64,3,False,1,7,1,30,1,1,30,1,forceblk4,2,2,0,0,0,0,2.38,2.5,3.5
65,3,False,1,7,1,30,1,1,30,1,forceblk4,1,1,0,0,0,0,2.52,3.17,4.17
66,3,False,1,7,1,33,1,1,33,1,forceblk4,2,2,0,1,1,0,2.2,2.21,3.21
67,3,False,0,7,1,6,0,0,10,1,forceblk4,2,2,0,0,1,0,3.83,3.18,4.19
68,3,False,1,7,1,30,1,1,30,1,forceblk4,1,1,0,1,1,0,2.09,2.62,3.63
69,3,False,0,7,1,28,0,1,28,0,forceblk4,1,1,0,0,1,0,2.15,2.32,3.32
70,3,False,1,7,1,16,1,1,23,1,forceblk4,2,2,0,1,1,0,2.98,2.97,3.98
71,3,False,1,7,1,10,1,1,16,1,forceblk4,1,1,0,1,1,0,2.34,2.69,3.7
72,3,False,0,7,1,19,0,1,30,0,forceblk4,2,2,0,1,0,0,2.46,1.76,2.77
73,3,False,0,7,1,8,0,1,3,0,forceblk4,1,1,0,0,1,0,2.18,3.98,4.99
74,3,False,1,7,1,4,1,0,8,0,forceblk4,2,2,0,0,0,0,2.47,3.63,4.63
75,3,False,0,7,0,16,1,0,23,1,forceblk4,1,1,0,0,1,0,3.06,2.08,3.09
76,3,False,1,7,1,19,1,1,26,1,forceblk4,2,2,0,1,1,0,2.12,1.81,2.82
77,3,False,0,7,1,19,0,1,19,0,forceblk4,1,1,0,0,1,0,2.64,2.28,3.28
78,3,False,0,7,1,12,0,0,5,1,forceblk4,2,2,0,0,1,0,3.34,3.27,4.27
79,3,False,1,7,1,23,1,1,23,1,forceblk4,1,1,0,0,0,0,1.99,2.17,3.18
80,3,False,0,7,1,27,0,1,36,0,forceblk4,2,2,0,1,0,0,2.04,2.05,3.06
81,3,False,0,7,1,12,0,1,31,0,forceblk4,2,2,0,1,0,0,2.37,2.6,3.61
82,3,False,1,7,1,5,1,1,9,1,forceblk4,1,1,0,1,1,0,2.64,3.37,4.37
83,3,False,1,7,1,21,1,1,32,1,forceblk4,2,2,0,1,1,0,2.05,2.28,3.28
84,3,False,1,7,1,20,1,1,30,1,forceblk4,1,1,0,1,1,0,3.34,2.2,3.2
85,3,False,1,7,1,32,1,1,43,1,forceblk4,1,1,0,1,1,0,2.27,2.2,3.2
86,3,False,1,7,1,30,1,1,30,1,forceblk4,2,2,0,0,0,0,2.29,2.7,3.7
87,3,False,0,7,1,25,0,1,15,0,forceblk4,1,1,0,0,1,0,2.35,2.71,3.72
88,3,False,0,7,0,19,1,0,6,1,forceblk4,2,2,0,1,0,0,2.57,2.55,3.56
89,3,False,1,7,1,16,1,1,7,1,forceblk4,1,1,0,0,0,0,2.03,2.07,3.08
90,3,False,1,7,1,9,1,1,22,1,forceblk4,2,2,0,1,1,0,3.08,1.75,2.75
91,3,False,1,7,1,21,1,1,39,1,forceblk4,1,1,0,1,1,0,12.55,1.52,2.52
92,3,False,1,7,1,9,1,1,26,1,forceblk4,2,2,0,1,1,0,12.35,1.82,2.83
93,3,False,0,7,1,11,0,1,4,0,forceblk4,1,1,0,0,1,0,2.37,2.21,3.21
94,3,False,1,7,1,5,1,1,22,1,forceblk4,2,2,0,1,1,0,2.06,2.24,3.24
95,3,False,1,7,1,5,1,1,5,1,forceblk4,1,1,0,0,0,0,1.92,4.52,5.53
