trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,10.62,,
2,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,5.08,,
3,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,5.66,,
4,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,4.07,,
5,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,3.15,,
6,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.66,,
7,1,True,0,14,0,5,1,,,,catch,0,,1,,0,0,2.63,,
8,1,True,0,14,0,5,1,,,,catch,0,,1,,0,0,2.67,,
9,1,True,1,13,1,7,1,,,,catch,0,,1,,0,0,3.29,,
10,1,True,1,13,1,7,1,,,,catch,0,,1,,0,0,2.81,,
11,1,True,0,12,0,8,1,,,,catch,0,,1,,0,0,2.57,,
12,1,True,1,12,1,12,1,,,,catch,0,,1,,0,0,3.43,,
13,1,True,1,11,1,11,1,,,,catch,0,,1,,0,0,2.48,,
14,1,True,0,11,0,11,1,,,,catch,0,,1,,0,0,2.98,,
15,1,True,0,10,0,10,1,,,,catch,0,,1,,0,0,2.81,,
16,1,True,0,10,1,18,0,,,,catch,0,,1,,0,0,3.61,,
17,1,True,0,11,1,16,0,,,,catch,0,,1,,0,0,4.77,,
18,1,True,1,12,1,16,1,,,,catch,0,,1,,0,0,2.28,,
19,1,True,0,12,0,24,1,,,,catch,0,,1,,0,0,3.06,,
20,1,True,1,11,1,24,1,,,,catch,0,,1,,0,0,2.75,,
21,1,True,1,11,1,11,1,,,,catch,0,,1,,0,0,3.15,,
22,1,True,1,10,1,18,1,,,,catch,0,,1,,0,0,2.63,,
23,1,True,1,10,1,19,1,,,,catch,0,,1,,0,0,2.77,,
24,1,True,1,9,1,28,1,,,,catch,0,,1,,0,0,3.02,,
25,1,True,0,9,0,13,1,,,,catch,0,,1,,0,0,2.68,,
26,1,True,0,8,0,10,1,,,,catch,0,,1,,0,0,2.89,,
27,1,True,0,8,0,27,1,,,,catch,0,,1,,0,0,2.77,,
28,1,True,0,7,0,19,1,,,,catch,0,,1,,0,0,2.84,,
29,1,True,1,7,1,27,1,,,,catch,0,,1,,0,0,2.63,,
30,1,True,1,6,1,13,1,,,,catch,0,,1,,0,0,2.98,,
31,2,True,0,6,1,11,0,,,,catch,0,,1,,0,0,3.39,,
32,2,True,0,7,1,14,0,,,,catch,0,,1,,0,0,2.45,,
33,2,True,1,8,1,6,1,,,,catch,0,,1,,0,0,3.53,,
34,2,True,1,8,1,13,1,,,,catch,0,,1,,0,0,3.27,,
35,2,True,1,7,1,14,1,,,,catch,0,,1,,0,0,2.75,,
36,2,True,1,7,1,12,1,,,,catch,0,,1,,0,0,4.69,,
37,2,True,0,6,1,7,0,,,,catch,0,,1,,0,0,2.97,,
38,2,True,1,7,1,5,1,,,,catch,0,,1,,0,0,3.03,,
39,2,True,1,7,1,15,1,,,,catch,0,,1,,0,0,3.66,,
40,2,True,1,6,0,14,0,,,,catch,0,,1,,0,0,2.57,,
41,2,True,1,7,0,10,0,,,,catch,0,,1,,0,0,2.94,,
42,2,True,0,8,1,8,0,,,,catch,0,,1,,0,0,2.61,,
43,2,True,0,9,0,25,1,,,,catch,0,,1,,0,0,2.24,,
44,2,True,0,9,0,24,1,,,,catch,0,,1,,0,0,2.27,,
45,2,True,0,8,1,8,0,,,,catch,0,,1,,0,0,3.1,,
46,2,True,1,9,0,27,0,,,,catch,0,,1,,0,0,2.83,,
47,2,True,1,10,1,6,1,,,,catch,0,,1,,0,0,2.32,,
48,2,True,1,10,1,12,1,,,,catch,0,,1,,0,0,4.15,,
49,2,True,0,9,1,26,0,,,,catch,0,,1,,0,0,3.77,,
50,2,True,0,10,0,7,1,,,,catch,0,,1,,0,0,3.49,,
51,2,True,1,10,1,8,1,,,,catch,0,,1,,0,0,5.19,,
52,2,True,1,9,1,23,1,,,,catch,0,,1,,0,0,2.84,,
53,2,True,1,9,1,13,1,,,,catch,0,,1,,0,0,3.49,,
54,2,True,0,8,1,27,0,,,,catch,0,,1,,0,0,2.72,,
55,2,True,1,9,1,24,1,,,,catch,0,,1,,0,0,1.99,,
56,2,True,1,9,1,20,1,,,,catch,0,,1,,0,0,2.62,,
57,2,True,0,8,1,9,0,,,,catch,0,,1,,0,0,4.24,,
58,2,True,1,9,0,24,0,,,,catch,0,,1,,0,0,2.62,,
59,2,True,0,10,0,5,1,,,,catch,0,,1,,0,0,2.7,,
60,2,True,0,10,0,21,1,,,,catch,0,,1,,0,0,3.27,,
61,3,False,1,9,1,12,1,1,10,1,forceblk4,1,1,0,1,1,0,5.25,13.61,14.61
62,3,False,0,9,1,15,0,0,7,1,forceblk4,2,2,0,0,1,0,5.63,8.05,9.07
63,3,False,1,9,1,11,1,1,13,1,forceblk4,1,1,0,1,1,0,3.7,8.7,9.72
64,3,False,0,9,0,13,1,0,22,1,forceblk4,2,2,0,0,1,0,4.83,3.9,4.91
65,3,False,0,9,0,23,1,0,26,1,forceblk4,2,2,0,0,1,0,2.57,4.23,5.25
66,3,False,1,9,1,22,1,1,24,1,forceblk4,1,1,0,1,1,0,2.7,4.54,5.54
67,3,False,0,9,0,26,1,0,29,1,forceblk4,2,2,0,0,1,0,2.58,3.85,4.86
68,3,False,1,9,0,15,0,1,5,1,forceblk4,1,1,0,1,1,0,3.51,4.79,5.8
69,3,False,0,9,1,19,0,1,22,0,forceblk4,2,2,0,1,0,0,2.51,3.77,4.78
70,3,False,0,9,1,25,0,1,12,0,forceblk4,1,1,0,0,1,0,2.47,3.63,4.65
71,3,False,0,9,1,8,0,1,9,0,forceblk4,1,1,0,1,0,0,2.69,5.41,6.42
72,3,False,1,9,1,12,1,1,13,1,forceblk4,2,2,0,1,1,0,2.35,3.55,4.57
73,3,False,0,9,0,22,1,0,24,1,forceblk4,1,1,0,0,1,0,2.43,3.47,4.48
74,3,False,0,9,1,8,0,1,7,0,forceblk4,1,1,0,0,1,0,2.25,3.81,4.81
75,3,False,0,9,0,21,1,0,4,1,forceblk4,2,2,0,1,0,0,2.18,4.94,5.96
76,3,False,0,9,1,26,0,1,4,0,forceblk4,1,1,0,0,1,0,3.2,4.4,5.41
77,3,False,0,9,1,25,0,1,31,0,forceblk4,2,2,0,1,0,0,2.76,3.03,4.03
78,3,False,0,9,0,15,1,0,17,1,forceblk4,1,1,0,0,1,0,9.0,4.28,5.29
79,3,False,0,9,0,24,1,0,25,1,forceblk4,2,2,0,0,1,0,2.5,3.51,4.52
80,3,False,0,9,0,30,1,0,2,1,forceblk4,2,2,0,1,0,0,2.4,5.3,6.31
81,3,False,1,9,1,32,1,1,30,1,forceblk4,1,1,0,0,0,0,2.24,3.75,4.77
82,3,False,1,9,1,35,1,1,42,1,forceblk4,2,2,0,1,1,0,2.87,3.28,4.29
83,3,False,0,9,0,25,1,0,4,1,forceblk4,1,1,0,1,0,0,2.9,2.51,3.51
84,3,False,0,9,1,25,0,1,30,0,forceblk4,2,2,0,1,0,0,2.4,3.34,4.35
85,3,False,1,9,1,32,1,1,26,1,forceblk4,1,1,0,0,0,0,2.81,3.25,4.26
86,3,False,1,9,1,17,1,1,18,1,forceblk4,1,1,0,1,1,0,2.75,3.19,4.2
87,3,False,0,9,0,25,1,0,27,1,forceblk4,2,2,0,0,1,0,2.36,1.93,2.94
88,3,False,1,9,0,23,0,0,16,0,forceblk4,1,1,0,1,1,0,2.09,2.56,3.57
89,3,False,0,9,0,25,1,0,5,1,forceblk4,2,2,0,1,0,0,1.99,2.46,3.47
90,3,False,1,9,1,21,1,1,23,1,forceblk4,1,1,0,1,1,0,3.11,2.63,3.65
91,3,False,0,9,1,27,0,1,16,0,forceblk4,2,2,0,0,1,0,2.09,2.69,3.71
92,3,False,1,9,1,22,1,1,21,1,forceblk4,1,1,0,1,1,0,4.19,3.34,4.36
93,3,False,1,9,1,33,1,1,10,1,forceblk4,2,2,0,0,0,0,2.77,4.01,5.03
94,3,False,0,9,1,31,0,1,25,0,forceblk4,1,1,0,0,1,0,2.74,2.81,3.82
95,3,False,1,9,0,25,0,0,5,0,forceblk4,2,2,0,1,1,0,2.65,3.01,4.03
96,3,False,0,9,0,27,1,0,23,1,forceblk4,1,1,0,0,1,0,2.24,3.18,4.19
97,3,False,1,9,0,34,0,0,12,0,forceblk4,2,2,0,1,1,0,2.92,5.33,6.35
98,3,False,0,9,0,26,1,0,11,1,forceblk4,2,2,0,1,0,0,2.59,2.93,3.95
99,3,False,1,9,1,24,1,0,10,0,forceblk4,1,1,0,0,0,0,3.54,5.91,6.93
100,3,False,0,9,0,24,1,0,6,1,forceblk4,2,2,0,1,0,0,2.21,3.15,4.15
101,3,False,0,9,1,26,0,1,9,0,forceblk4,1,1,0,0,1,0,2.26,4.42,5.43
102,3,False,1,9,1,28,1,1,30,1,forceblk4,1,1,0,1,1,0,2.53,2.93,3.95
103,3,False,0,9,1,19,0,1,21,0,forceblk4,2,2,0,1,0,0,3.67,2.39,3.4
104,3,False,0,9,1,25,0,1,6,0,forceblk4,2,2,0,0,1,0,2.04,2.64,3.64
105,3,False,0,9,0,25,1,0,11,1,forceblk4,1,1,0,1,0,0,2.15,4.9,5.92
106,3,False,1,9,1,21,1,1,14,1,forceblk4,2,2,0,0,0,0,2.88,2.87,3.89
107,3,False,0,9,1,29,0,1,10,0,forceblk4,2,2,0,0,1,0,2.21,3.26,4.27
108,3,False,1,9,1,34,1,1,40,1,forceblk4,1,1,0,1,1,0,2.27,2.1,3.11
109,3,False,0,9,0,27,1,0,21,1,forceblk4,1,1,0,1,0,0,2.98,3.47,4.48
110,3,False,1,9,1,38,1,1,30,1,forceblk4,2,2,0,0,0,0,2.13,2.49,3.51
111,3,False,1,9,1,35,1,1,25,1,forceblk4,1,1,0,0,0,0,2.23,2.2,3.21
112,3,False,0,9,0,16,1,0,17,1,forceblk4,1,1,0,0,1,0,2.66,3.64,4.65
113,3,False,1,9,1,33,1,1,38,1,forceblk4,2,2,0,1,1,0,3.72,3.13,4.15
114,3,False,1,9,0,11,0,1,2,1,forceblk4,2,2,0,1,1,0,2.63,6.31,7.32
115,3,False,0,9,0,21,1,0,22,1,forceblk4,2,2,0,0,1,0,4.28,5.27,6.29
116,3,False,0,9,0,10,1,0,12,1,forceblk4,1,1,0,0,1,0,3.06,4.31,5.33
117,3,False,0,9,0,34,1,0,38,1,forceblk4,1,1,0,0,1,0,2.88,2.98,3.99
118,3,False,0,9,0,32,1,0,35,1,forceblk4,2,2,0,0,1,0,3.15,2.92,3.93
119,3,False,0,9,0,36,1,0,39,1,forceblk4,1,1,0,0,1,0,2.94,3.44,4.45
120,3,False,0,9,1,28,0,1,29,0,forceblk4,1,1,0,1,0,0,3.14,3.85,4.86
121,4,False,1,9,1,12,1,1,14,1,change,2,1,1,1,1,0,4.3,2.76,5.28
122,4,False,0,9,0,20,1,0,3,1,force,2,2,0,1,0,0,3.44,4.17,5.18
123,4,False,0,9,0,18,1,0,20,1,force,2,2,0,0,1,0,2.95,2.16,3.16
124,4,False,0,9,1,26,0,1,20,0,force,1,1,0,0,1,0,2.01,2.9,3.91
125,4,False,0,9,1,20,0,1,5,0,change,2,2,0,0,1,0,3.02,2.34,4.87
126,4,False,0,9,1,4,0,0,3,1,force,1,1,0,0,1,0,4.14,2.36,3.37
127,4,False,1,9,1,25,1,1,29,1,change,2,2,0,1,1,0,2.04,2.05,4.56
128,4,False,0,9,1,29,0,1,6,0,force,2,2,0,0,1,0,2.94,2.61,3.63
129,4,False,1,9,1,24,1,1,3,1,change,2,1,1,0,0,0,2.45,4.55,7.07
130,4,False,1,9,1,23,1,1,27,1,change,2,2,0,1,1,0,2.77,2.02,4.54
131,4,False,0,9,0,26,1,0,28,1,force,1,1,0,0,1,0,2.24,3.0,4.0
132,4,False,0,9,1,17,0,1,3,0,change,2,2,0,0,1,0,2.06,2.38,4.9
133,4,False,0,9,0,35,1,0,5,1,change,2,1,1,1,0,0,2.35,3.67,6.19
134,4,False,1,9,1,35,1,1,13,1,force,2,2,0,0,0,0,1.91,5.24,6.25
135,4,False,0,9,0,23,1,0,6,1,force,2,2,0,1,0,0,2.75,3.61,4.62
136,4,False,0,9,1,31,0,1,15,0,change,2,2,0,0,1,0,3.26,4.17,6.69
137,4,False,0,9,1,15,0,1,11,0,change,1,1,0,0,1,0,1.89,3.76,6.28
138,4,False,1,9,0,21,0,0,22,0,force,1,1,0,0,0,0,2.71,2.67,3.68
139,4,False,1,9,1,25,1,1,28,1,change,1,1,0,1,1,0,3.05,2.82,5.35
140,4,False,1,9,1,31,1,1,36,1,change,2,2,0,1,1,0,2.93,2.81,5.33
141,4,False,1,9,1,39,1,1,28,1,change,2,2,0,0,0,0,2.39,3.78,6.3
142,4,False,0,9,1,20,0,1,21,0,change,1,1,0,1,0,0,2.47,3.49,6.0
143,4,False,1,9,1,24,1,1,10,1,change,2,1,1,0,0,0,2.26,3.16,5.69
144,4,False,0,9,0,18,1,0,22,1,change,2,2,0,0,1,0,2.1,2.72,5.23
145,4,False,1,9,1,13,1,1,16,1,force,2,2,0,1,1,0,2.53,2.28,3.3
146,4,False,1,9,1,26,1,1,9,1,change,2,1,1,0,0,0,1.99,3.34,5.85
147,4,False,0,9,0,26,1,0,27,1,force,2,2,0,0,1,0,2.12,2.37,3.38
148,4,False,1,9,0,24,0,0,13,0,change,2,1,1,1,1,0,2.26,2.56,5.08
149,4,False,0,9,0,23,1,0,29,1,change,2,2,0,0,1,0,2.34,1.78,4.29
150,4,False,1,9,1,22,1,1,13,1,change,2,1,1,0,0,0,2.5,2.36,4.87
151,4,False,1,9,1,27,1,1,32,1,change,2,2,0,1,1,0,2.79,2.14,4.66
152,4,False,1,9,1,29,1,1,32,1,change,2,1,1,1,1,0,2.04,2.58,5.09
153,4,False,0,9,1,36,0,1,26,0,change,2,2,0,0,1,0,2.01,2.84,5.35
154,4,False,1,9,0,38,0,0,40,0,force,1,1,0,0,0,0,2.3,2.43,3.45
155,4,False,0,9,0,36,1,0,18,1,force,2,2,0,1,0,0,2.19,2.51,3.52
156,4,False,0,9,0,37,1,0,43,1,change,2,1,1,0,1,0,1.87,2.57,5.07
157,4,False,1,9,1,42,1,1,46,1,force,1,1,0,1,1,0,1.94,2.3,3.31
158,4,False,0,9,1,41,0,1,38,0,change,2,2,0,0,1,0,2.57,2.18,4.69
159,4,False,0,9,1,35,0,1,38,0,change,2,1,1,1,0,0,2.03,2.41,4.93
160,4,False,0,9,1,37,0,1,40,0,change,2,1,1,1,0,0,3.89,2.59,5.11
161,4,False,0,9,1,34,0,1,26,0,change,2,2,0,0,1,0,3.15,2.58,5.1
162,4,False,1,9,1,34,1,1,17,1,force,2,2,0,0,0,0,2.27,3.95,4.96
163,4,False,1,9,1,32,1,1,36,1,force,1,1,0,1,1,0,1.78,1.95,2.97
164,4,False,1,9,1,40,1,1,45,1,change,2,2,0,1,1,0,1.73,2.67,5.18
165,4,False,0,9,0,28,1,0,16,1,force,1,1,0,1,0,0,1.89,3.32,4.33
