trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,36,1,,,,catch,0,,1,,0,0,17.5,,
2,1,True,1,15,0,17,0,,,,catch,0,,1,,0,0,27.45,,
3,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,5.7,,
4,1,True,1,15,0,32,0,,,,catch,0,,1,,0,0,6.87,,
5,1,True,0,15,1,35,0,,,,catch,0,,1,,0,0,4.1,,
6,1,True,0,15,0,32,1,,,,catch,0,,1,,0,0,1.7,,
7,1,True,0,15,1,22,0,,,,catch,0,,1,,0,0,22.66,,
8,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,29.04,,
9,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,2.26,,
10,1,True,1,14,0,21,0,,,,catch,0,,1,,0,0,1.82,,
11,1,True,0,15,1,27,0,,,,catch,0,,1,,0,0,1.81,,
12,1,True,1,15,0,26,0,,,,catch,0,,1,,0,0,1.63,,
13,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,2.27,,
14,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,6.53,,
15,1,True,0,14,0,23,1,,,,catch,0,,1,,0,0,11.79,,
16,1,True,1,14,1,20,1,,,,catch,0,,1,,0,0,7.91,,
17,1,True,0,13,0,22,1,,,,catch,0,,1,,0,0,1.69,,
18,1,True,1,13,1,27,1,,,,catch,0,,1,,0,0,15.13,,
19,1,True,1,12,0,23,0,,,,catch,0,,1,,0,0,1.23,,
20,1,True,1,13,1,16,1,,,,catch,0,,1,,0,0,2.39,,
21,1,True,1,13,1,43,1,,,,catch,0,,1,,0,0,1.71,,
22,1,True,1,12,1,42,1,,,,catch,0,,1,,0,0,1.56,,
23,1,True,1,12,1,45,1,,,,catch,0,,1,,0,0,1.59,,
24,1,True,0,11,0,43,1,,,,catch,0,,1,,0,0,1.77,,
25,1,True,0,11,1,44,0,,,,catch,0,,1,,0,0,1.48,,
26,1,True,0,12,1,36,0,,,,catch,0,,1,,0,0,18.05,,
27,1,True,0,13,0,33,1,,,,catch,0,,1,,0,0,1.44,,
28,1,True,1,13,1,39,1,,,,catch,0,,1,,0,0,1.51,,
29,1,True,1,12,1,37,1,,,,catch,0,,1,,0,0,2.52,,
30,1,True,0,12,1,29,0,,,,catch,0,,1,,0,0,14.33,,
31,2,True,1,13,1,32,1,,,,catch,0,,1,,0,0,1.44,,
32,2,True,0,13,1,30,0,,,,catch,0,,1,,0,0,1.35,,
33,2,True,1,14,1,46,1,,,,catch,0,,1,,0,0,1.29,,
34,2,True,0,14,1,47,0,,,,catch,0,,1,,0,0,1.33,,
35,2,True,0,15,0,35,1,,,,catch,0,,1,,0,0,1.43,,
36,2,True,1,15,1,36,1,,,,catch,0,,1,,0,0,1.38,,
37,2,True,0,14,0,1,1,,,,catch,0,,1,,0,0,3.44,,
38,2,True,0,14,1,39,0,,,,catch,0,,1,,0,0,1.38,,
39,2,True,1,15,0,28,0,,,,catch,0,,1,,0,0,6.07,,
40,2,True,1,15,1,33,1,,,,catch,0,,1,,0,0,1.52,,
41,2,True,1,15,1,43,1,,,,catch,0,,1,,0,0,1.41,,
42,2,True,1,14,1,47,1,,,,catch,0,,1,,0,0,1.41,,
43,2,True,0,14,1,48,0,,,,catch,0,,1,,0,0,1.27,,
44,2,True,0,15,1,24,0,,,,catch,0,,1,,0,0,1.21,,
45,2,True,1,15,1,29,1,,,,catch,0,,1,,0,0,1.32,,
46,2,True,0,15,1,29,0,,,,catch,0,,1,,0,0,1.37,,
47,2,True,0,15,0,22,1,,,,catch,0,,1,,0,0,1.41,,
48,2,True,0,15,1,36,0,,,,catch,0,,1,,0,0,1.51,,
49,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.07,,
50,2,True,0,15,1,22,0,,,,catch,0,,1,,0,0,1.3,,
51,2,True,1,15,0,13,0,,,,catch,0,,1,,0,0,1.44,,
52,2,True,0,15,1,23,0,,,,catch,0,,1,,0,0,29.52,,
53,2,True,0,15,0,21,1,,,,catch,0,,1,,0,0,1.45,,
54,2,True,0,15,1,21,0,,,,catch,0,,1,,0,0,20.23,,
55,2,True,1,15,0,11,0,,,,catch,0,,1,,0,0,1.89,,
56,2,True,1,15,1,20,1,,,,catch,0,,1,,0,0,8.17,,
57,2,True,0,15,1,50,0,,,,catch,0,,1,,0,0,1.65,,
58,2,True,1,15,0,18,0,,,,catch,0,,1,,0,0,2.03,,
59,2,True,0,15,1,30,0,,,,catch,0,,1,,0,0,1.21,,
60,2,True,1,15,0,23,0,,,,catch,0,,1,,0,0,1.44,,
61,3,False,1,15,1,27,1,1,30,1,forceblk4,1,1,0,1,1,0,2.69,9.79,10.8
62,3,False,0,15,1,33,0,0,22,1,forceblk4,1,1,0,0,1,0,1.86,10.44,11.44
63,3,False,1,15,1,22,1,1,39,1,forceblk4,2,2,0,1,1,0,1.62,6.89,7.9
64,3,False,1,15,1,26,1,1,33,1,forceblk4,2,2,0,1,1,0,1.29,1.88,2.88
65,3,False,1,15,1,34,1,1,37,1,forceblk4,1,1,0,1,1,0,53.98,2.05,3.06
66,3,False,1,15,1,28,1,1,40,1,forceblk4,2,2,0,1,1,0,2.1,4.12,5.12
67,3,False,0,15,0,25,1,1,30,0,forceblk4,1,1,0,1,0,0,1.34,2.47,3.47
68,3,False,1,15,1,15,1,1,17,1,forceblk4,2,2,0,1,1,0,36.58,2.36,3.37
69,3,False,0,15,0,18,1,0,37,1,forceblk4,1,1,0,0,1,0,1.74,2.04,3.04
70,3,False,0,15,1,34,0,0,32,1,forceblk4,1,1,0,0,1,0,1.19,1.57,2.58
71,3,False,1,15,1,29,1,1,18,1,forceblk4,2,2,0,1,1,0,46.85,3.11,4.11
72,3,False,1,15,1,28,1,1,37,1,forceblk4,1,1,0,1,1,0,8.73,1.67,2.67
73,3,False,0,15,0,25,1,1,19,0,forceblk4,2,2,0,1,0,0,1.69,1.28,2.29
74,3,False,1,15,0,20,0,1,36,1,forceblk4,2,2,0,1,1,0,1.8,1.44,2.44
75,3,False,0,15,1,34,0,0,39,1,forceblk4,1,1,0,0,1,0,1.37,1.88,2.89
76,3,False,1,15,1,21,1,1,31,1,forceblk4,1,1,0,1,1,0,2.57,1.16,2.17
77,3,False,0,15,0,31,1,0,24,1,forceblk4,2,2,0,0,1,0,1.33,1.95,2.95
78,3,False,1,15,1,28,1,1,43,1,forceblk4,1,1,0,1,1,0,1.69,1.11,2.11
79,3,False,1,15,1,29,1,1,8,1,forceblk4,2,2,0,1,1,0,73.17,2.22,3.22
80,3,False,0,15,0,29,1,0,41,1,forceblk4,1,1,0,0,1,0,1.21,1.48,2.49
81,3,False,0,15,0,24,1,0,9,1,forceblk4,2,2,0,0,1,0,1.86,1.43,2.43
82,3,False,0,15,1,28,0,1,15,0,forceblk4,2,2,0,1,0,0,1.2,1.6,2.6
83,3,False,1,15,0,38,0,0,16,0,forceblk4,2,2,0,1,1,0,1.11,1.16,2.17
84,3,False,0,15,1,25,0,1,15,0,forceblk4,1,1,0,1,0,0,1.04,1.0,2.0
85,3,False,0,15,0,25,1,0,7,1,forceblk4,2,2,0,0,1,0,1.33,1.36,2.37
86,3,False,1,15,1,46,1,0,5,0,forceblk4,1,1,0,0,0,0,1.57,3.02,4.02
87,3,False,0,15,0,25,1,0,13,1,forceblk4,1,1,0,0,1,0,40.53,1.68,2.69
88,3,False,1,15,1,39,1,1,30,1,forceblk4,2,2,0,0,0,0,1.19,1.16,2.17
89,3,False,1,15,0,17,0,1,7,1,forceblk4,2,2,0,1,1,0,1.76,2.25,3.26
90,3,False,0,15,1,25,0,0,5,1,forceblk4,1,1,0,0,1,0,22.73,2.16,3.17
91,3,False,0,15,1,46,0,1,9,0,forceblk4,1,1,0,0,1,0,1.67,2.27,3.27
92,3,False,1,15,0,33,0,0,22,0,forceblk4,1,1,0,0,0,0,1.19,1.29,2.3
93,3,False,1,15,1,36,1,1,42,1,forceblk4,2,2,0,1,1,0,28.64,1.34,2.34
94,3,False,1,15,1,24,1,1,36,1,forceblk4,2,2,0,1,1,0,1.36,1.35,2.35
95,3,False,0,15,0,21,1,0,33,1,forceblk4,1,1,0,0,1,0,1.6,1.43,2.43
96,3,False,1,15,1,18,1,1,26,1,forceblk4,2,2,0,1,1,0,3.3,1.06,2.06
