trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,24.54,,
2,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,3.84,,
3,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,10.07,,
4,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,3.35,,
5,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,3.55,,
6,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,1.56,,
7,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.15,,
8,1,True,0,15,1,18,0,,,,catch,0,,1,,0,0,1.48,,
9,1,True,1,15,0,12,0,,,,catch,0,,1,,0,0,2.12,,
10,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,2.75,,
11,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.33,,
12,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.16,,
13,1,True,1,14,1,16,1,,,,catch,0,,1,,0,0,1.51,,
14,1,True,0,14,1,9,0,,,,catch,0,,1,,0,0,1.8,,
15,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.53,,
16,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.56,,
17,1,True,1,14,1,16,1,,,,catch,0,,1,,0,0,1.65,,
18,1,True,0,14,0,4,1,,,,catch,0,,1,,0,0,1.98,,
19,1,True,1,13,1,13,1,,,,catch,0,,1,,0,0,1.27,,
20,1,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.55,,
21,1,True,0,12,1,19,0,,,,catch,0,,1,,0,0,1.12,,
22,1,True,1,13,1,12,1,,,,catch,0,,1,,0,0,2.08,,
23,1,True,0,13,0,7,1,,,,catch,0,,1,,0,0,1.33,,
24,1,True,0,12,0,12,1,,,,catch,0,,1,,0,0,1.26,,
25,1,True,0,12,0,11,1,,,,catch,0,,1,,0,0,1.71,,
26,1,True,1,11,1,14,1,,,,catch,0,,1,,0,0,1.54,,
27,1,True,0,11,0,16,1,,,,catch,0,,1,,0,0,1.36,,
28,1,True,1,10,1,13,1,,,,catch,0,,1,,0,0,1.37,,
29,1,True,0,10,1,15,0,,,,catch,0,,1,,0,0,1.2,,
30,1,True,1,11,1,13,1,,,,catch,0,,1,,0,0,1.15,,
31,2,True,0,11,1,6,0,,,,catch,0,,1,,0,0,2.1,,
32,2,True,0,12,1,9,0,,,,catch,0,,1,,0,0,1.73,,
33,2,True,0,13,1,14,0,,,,catch,0,,1,,0,0,1.43,,
34,2,True,0,14,0,2,1,,,,catch,0,,1,,0,0,1.81,,
35,2,True,1,14,1,3,1,,,,catch,0,,1,,0,0,3.25,,
36,2,True,1,13,1,13,1,,,,catch,0,,1,,0,0,1.69,,
37,2,True,1,13,1,16,1,,,,catch,0,,1,,0,0,1.41,,
38,2,True,0,12,1,16,0,,,,catch,0,,1,,0,0,1.21,,
39,2,True,1,13,1,5,1,,,,catch,0,,1,,0,0,1.49,,
40,2,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.59,,
41,2,True,0,12,1,13,0,,,,catch,0,,1,,0,0,1.16,,
42,2,True,0,13,0,7,1,,,,catch,0,,1,,0,0,1.26,,
43,2,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.6,,
44,2,True,1,12,1,14,1,,,,catch,0,,1,,0,0,1.08,,
45,2,True,0,12,1,10,0,,,,catch,0,,1,,0,0,1.5,,
46,2,True,1,13,1,12,1,,,,catch,0,,1,,0,0,1.12,,
47,2,True,0,13,0,7,1,,,,catch,0,,1,,0,0,1.35,,
48,2,True,1,12,1,14,1,,,,catch,0,,1,,0,0,1.33,,
49,2,True,1,12,1,13,1,,,,catch,0,,1,,0,0,1.22,,
50,2,True,0,11,1,14,0,,,,catch,0,,1,,0,0,1.15,,
51,2,True,1,12,1,10,1,,,,catch,0,,1,,0,0,1.56,,
52,2,True,0,12,1,12,0,,,,catch,0,,1,,0,0,1.36,,
53,2,True,0,13,0,11,1,,,,catch,0,,1,,0,0,1.32,,
54,2,True,1,13,1,11,1,,,,catch,0,,1,,0,0,1.24,,
55,2,True,1,12,1,19,1,,,,catch,0,,1,,0,0,1.24,,
56,2,True,1,12,1,24,1,,,,catch,0,,1,,0,0,1.22,,
57,2,True,1,11,1,33,1,,,,catch,0,,1,,0,0,1.45,,
58,2,True,1,11,1,39,1,,,,catch,0,,1,,0,0,1.61,,
59,2,True,0,10,1,45,0,,,,catch,0,,1,,0,0,1.46,,
60,2,True,1,11,1,24,1,,,,catch,0,,1,,0,0,1.16,,
61,3,False,0,11,1,27,0,1,14,0,forceblk4,2,2,0,0,1,0,1.82,5.4,6.4
