trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,8.87,,
2,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,3.62,,
3,1,True,1,15,1,40,1,,,,catch,0,,1,,0,0,2.52,,
4,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,2.42,,
5,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.91,,
6,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,1.6,,
7,1,True,1,15,1,45,1,,,,catch,0,,1,,0,0,2.04,,
8,1,True,0,15,1,43,0,,,,catch,0,,1,,0,0,2.51,,
9,1,True,0,15,1,13,0,,,,catch,0,,1,,0,0,1.72,,
10,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,2.49,,
11,1,True,0,15,1,22,0,,,,catch,0,,1,,0,0,1.82,,
12,1,True,1,15,1,49,1,,,,catch,0,,1,,0,0,1.97,,
13,1,True,1,15,1,50,1,,,,catch,0,,1,,0,0,2.58,,
14,1,True,1,14,1,7,1,,,,catch,0,,1,,0,0,1.9,,
15,1,True,1,14,1,19,1,,,,catch,0,,1,,0,0,1.59,,
16,1,True,1,13,1,50,1,,,,catch,0,,1,,0,0,2.46,,
17,1,True,1,13,1,25,1,,,,catch,0,,1,,0,0,1.74,,
18,1,True,1,12,1,50,1,,,,catch,0,,1,,0,0,1.97,,
19,1,True,0,12,1,21,0,,,,catch,0,,1,,0,0,2.2,,
20,1,True,1,13,1,50,1,,,,catch,0,,1,,0,0,2.0,,
21,1,True,0,13,0,1,1,,,,catch,0,,1,,0,0,3.56,,
22,1,True,0,12,1,7,0,,,,catch,0,,1,,0,0,2.16,,
23,1,True,1,13,0,9,0,,,,catch,0,,1,,0,0,2.02,,
24,1,True,1,14,1,6,1,,,,catch,0,,1,,0,0,1.73,,
25,1,True,1,14,1,8,1,,,,catch,0,,1,,0,0,2.17,,
26,1,True,0,13,0,9,1,,,,catch,0,,1,,0,0,2.16,,
27,1,True,1,13,1,17,1,,,,catch,0,,1,,0,0,1.82,,
28,1,True,1,12,1,23,1,,,,catch,0,,1,,0,0,1.54,,
29,1,True,0,12,1,2,0,,,,catch,0,,1,,0,0,2.68,,
30,1,True,1,13,1,21,1,,,,catch,0,,1,,0,0,1.68,,
31,2,True,1,13,1,10,1,,,,catch,0,,1,,0,0,1.76,,
32,2,True,0,12,1,17,0,,,,catch,0,,1,,0,0,1.75,,
33,2,True,0,13,0,11,1,,,,catch,0,,1,,0,0,1.74,,
34,2,True,1,13,1,39,1,,,,catch,0,,1,,0,0,1.78,,
35,2,True,1,12,1,32,1,,,,catch,0,,1,,0,0,1.6,,
36,2,True,0,12,1,4,0,,,,catch,0,,1,,0,0,2.42,,
37,2,True,0,13,1,5,0,,,,catch,0,,1,,0,0,2.26,,
38,2,True,1,14,1,2,1,,,,catch,0,,1,,0,0,1.84,,
39,2,True,0,14,0,11,1,,,,catch,0,,1,,0,0,2.6,,
40,2,True,1,13,1,14,1,,,,catch,0,,1,,0,0,1.9,,
41,2,True,1,13,1,7,1,,,,catch,0,,1,,0,0,1.92,,
42,2,True,0,12,0,4,1,,,,catch,0,,1,,0,0,2.83,,
43,2,True,0,12,1,8,0,,,,catch,0,,1,,0,0,3.94,,
44,2,True,1,13,0,5,0,,,,catch,0,,1,,0,0,1.75,,
45,2,True,1,14,0,1,0,,,,catch,0,,1,,0,0,1.77,,
46,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.73,,
47,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.52,,
