trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,10.49,,
2,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,7.96,,
3,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,8.98,,
4,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,3.6,,
5,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,4.89,,
6,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,3.74,,
7,1,True,1,15,0,11,0,,,,catch,0,,1,,0,0,2.49,,
8,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,4.08,,
9,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,3.29,,
10,1,True,1,14,1,8,1,,,,catch,0,,1,,0,0,2.86,,
11,1,True,1,14,1,7,1,,,,catch,0,,1,,0,0,2.74,,
12,1,True,0,13,1,7,0,,,,catch,0,,1,,0,0,4.66,,
13,1,True,1,14,1,7,1,,,,catch,0,,1,,0,0,2.43,,
14,1,True,0,14,1,12,0,,,,catch,0,,1,,0,0,3.04,,
15,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,2.6,,
16,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,4.12,,
17,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,2.18,,
18,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,2.47,,
19,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.48,,
20,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,3.23,,
21,1,True,1,14,0,6,0,,,,catch,0,,1,,0,0,2.69,,
22,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,2.85,,
23,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,2.36,,
24,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.84,,
25,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,2.39,,
26,1,True,0,14,0,10,1,,,,catch,0,,1,,0,0,2.5,,
27,1,True,0,13,1,11,0,,,,catch,0,,1,,0,0,2.72,,
28,1,True,1,14,0,9,0,,,,catch,0,,1,,0,0,2.01,,
29,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.09,,
30,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,3.59,,
31,2,True,0,14,1,11,0,,,,catch,0,,1,,0,0,2.38,,
32,2,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.95,,
33,2,True,0,15,1,8,0,,,,catch,0,,1,,0,0,1.84,,
34,2,True,1,15,0,5,0,,,,catch,0,,1,,0,0,2.78,,
35,2,True,0,15,1,5,0,,,,catch,0,,1,,0,0,1.89,,
36,2,True,0,15,1,4,0,,,,catch,0,,1,,0,0,4.75,,
