trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,39,1,,,,catch,0,,1,,0,0,3.95,,
2,1,True,1,15,1,24,1,,,,catch,0,,1,,0,0,3.69,,
3,1,True,0,15,0,48,1,,,,catch,0,,1,,0,0,2.63,,
4,1,True,0,14,1,6,0,,,,catch,0,,1,,0,0,4.41,,
5,1,True,1,15,0,20,0,,,,catch,0,,1,,0,0,2.96,,
6,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,2.19,,
7,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.67,,
8,1,True,0,14,1,44,0,,,,catch,0,,1,,0,0,1.78,,
9,1,True,0,15,1,42,0,,,,catch,0,,1,,0,0,2.21,,
10,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,2.33,,
11,1,True,1,15,0,26,0,,,,catch,0,,1,,0,0,4.49,,
12,1,True,1,15,0,27,0,,,,catch,0,,1,,0,0,2.35,,
13,1,True,0,15,0,48,1,,,,catch,0,,1,,0,0,3.55,,
14,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,3.26,,
15,1,True,1,14,1,40,1,,,,catch,0,,1,,0,0,5.05,,
16,1,True,0,14,1,1,0,,,,catch,0,,1,,0,0,3.87,,
17,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,2.32,,
18,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.38,,
19,1,True,1,15,0,32,0,,,,catch,0,,1,,0,0,3.51,,
20,1,True,1,15,0,30,0,,,,catch,0,,1,,0,0,2.55,,
21,1,True,0,15,1,33,0,,,,catch,0,,1,,0,0,2.53,,
22,1,True,0,15,1,34,0,,,,catch,0,,1,,0,0,1.68,,
23,1,True,1,15,1,50,1,,,,catch,0,,1,,0,0,1.98,,
24,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,5.85,,
25,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,1.98,,
26,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,2.21,,
27,1,True,0,14,1,34,0,,,,catch,0,,1,,0,0,3.44,,
28,1,True,1,15,1,50,1,,,,catch,0,,1,,0,0,5.02,,
29,1,True,1,15,1,50,1,,,,catch,0,,1,,0,0,1.54,,
30,1,True,1,14,1,38,1,,,,catch,0,,1,,0,0,2.67,,
31,2,True,0,14,1,30,0,,,,catch,0,,1,,0,0,2.89,,
32,2,True,1,15,1,36,1,,,,catch,0,,1,,0,0,1.69,,
33,2,True,1,15,1,50,1,,,,catch,0,,1,,0,0,1.46,,
34,2,True,0,14,0,40,1,,,,catch,0,,1,,0,0,2.21,,
35,2,True,1,14,0,42,0,,,,catch,0,,1,,0,0,2.09,,
36,2,True,1,15,0,30,0,,,,catch,0,,1,,0,0,2.33,,
37,2,True,0,15,0,18,1,,,,catch,0,,1,,0,0,2.68,,
38,2,True,1,15,0,5,0,,,,catch,0,,1,,0,0,2.3,,
39,2,True,1,15,1,26,1,,,,catch,0,,1,,0,0,1.35,,
40,2,True,0,15,1,27,0,,,,catch,0,,1,,0,0,1.43,,
41,2,True,0,15,1,33,0,,,,catch,0,,1,,0,0,1.43,,
42,2,True,1,15,1,41,1,,,,catch,0,,1,,0,0,1.01,,
43,2,True,1,15,1,48,1,,,,catch,0,,1,,0,0,2.2,,
44,2,True,0,14,1,47,0,,,,catch,0,,1,,0,0,1.86,,
45,2,True,0,15,1,37,0,,,,catch,0,,1,,0,0,2.96,,
46,2,True,1,15,1,43,1,,,,catch,0,,1,,0,0,2.01,,
47,2,True,1,15,0,11,0,,,,catch,0,,1,,0,0,2.24,,
48,2,True,0,15,0,45,1,,,,catch,0,,1,,0,0,2.07,,
49,2,True,0,15,1,50,0,,,,catch,0,,1,,0,0,2.08,,
50,2,True,0,15,1,49,0,,,,catch,0,,1,,0,0,1.98,,
51,2,True,0,15,1,50,0,,,,catch,0,,1,,0,0,1.52,,
52,2,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.89,,
53,2,True,0,15,0,50,1,,,,catch,0,,1,,0,0,2.2,,
54,2,True,1,14,1,36,1,,,,catch,0,,1,,0,0,1.59,,
55,2,True,0,14,0,50,1,,,,catch,0,,1,,0,0,1.4,,
56,2,True,0,13,0,50,1,,,,catch,0,,1,,0,0,1.08,,
57,2,True,0,13,1,13,0,,,,catch,0,,1,,0,0,0.73,,
58,2,True,1,14,1,30,1,,,,catch,0,,1,,0,0,0.93,,
59,2,True,0,14,1,32,0,,,,catch,0,,1,,0,0,1.06,,
60,2,True,0,15,1,15,0,,,,catch,0,,1,,0,0,2.05,,
61,3,False,0,15,1,41,0,0,8,1,forceblk4,2,2,0,0,1,0,2.77,6.48,7.49
62,3,False,0,15,1,31,0,0,39,1,forceblk4,1,1,0,0,1,0,1.37,5.6,6.6
63,3,False,1,15,1,50,1,1,50,1,forceblk4,1,1,0,1,1,0,3.84,1.85,2.86
64,3,False,1,15,0,4,0,0,1,0,forceblk4,2,2,0,1,1,0,1.67,5.2,6.2
65,3,False,0,15,0,37,1,0,36,1,forceblk4,2,2,0,0,1,0,3.21,5.64,6.64
66,3,False,0,15,1,50,0,1,4,0,forceblk4,2,2,0,0,1,0,2.62,3.16,4.17
67,3,False,1,15,1,21,1,1,21,1,forceblk4,1,1,0,1,1,0,1.91,2.38,3.38
68,3,False,0,15,0,36,1,0,35,1,forceblk4,1,1,0,0,1,0,1.71,1.71,2.72
69,3,False,0,15,0,29,1,0,28,1,forceblk4,2,2,0,0,1,0,1.39,1.4,2.4
70,3,False,0,15,0,28,1,0,27,1,forceblk4,1,1,0,0,1,0,0.97,1.08,2.08
71,3,False,0,15,1,8,0,0,33,1,forceblk4,2,2,0,0,1,0,1.05,1.4,2.4
72,3,False,1,15,0,14,0,1,2,1,forceblk4,1,1,0,1,1,0,1.24,1.57,2.58
73,3,False,1,15,1,14,1,1,14,1,forceblk4,2,2,0,1,1,0,1.35,1.88,2.88
74,3,False,1,15,1,35,1,1,35,1,forceblk4,2,2,0,1,1,0,1.48,1.55,2.55
75,3,False,1,15,1,44,1,0,4,0,forceblk4,1,1,0,0,0,0,1.72,1.87,2.87
76,3,False,1,15,1,43,1,0,6,0,forceblk4,2,2,0,0,0,0,1.28,3.49,4.49
77,3,False,1,15,1,37,1,1,37,1,forceblk4,1,1,0,1,1,0,1.42,1.33,2.33
78,3,False,0,15,1,24,0,1,7,0,forceblk4,1,1,0,0,1,0,1.22,1.26,2.26
