trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,29.21,,
2,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,6.38,,
3,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,5.08,,
4,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.48,,
5,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,2.44,,
6,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,2.18,,
7,1,True,0,14,0,3,1,,,,catch,0,,1,,0,0,2.62,,
8,1,True,0,13,1,15,0,,,,catch,0,,1,,0,0,1.61,,
9,1,True,1,14,1,23,1,,,,catch,0,,1,,0,0,1.81,,
10,1,True,1,14,1,26,1,,,,catch,0,,1,,0,0,2.75,,
11,1,True,0,13,1,10,0,,,,catch,0,,1,,0,0,2.47,,
12,1,True,1,14,1,5,1,,,,catch,0,,1,,0,0,2.52,,
13,1,True,0,14,1,13,0,,,,catch,0,,1,,0,0,1.68,,
14,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,1.68,,
15,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,2.42,,
16,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.06,,
17,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,1.41,,
18,1,True,0,14,1,24,0,,,,catch,0,,1,,0,0,1.45,,
19,1,True,0,15,1,21,0,,,,catch,0,,1,,0,0,1.93,,
20,1,True,0,15,1,21,0,,,,catch,0,,1,,0,0,1.94,,
21,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,2.23,,
22,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.66,,
23,1,True,0,15,1,21,0,,,,catch,0,,1,,0,0,1.56,,
24,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,3.99,,
25,1,True,1,15,1,29,1,,,,catch,0,,1,,0,0,3.79,,
26,1,True,1,14,1,24,1,,,,catch,0,,1,,0,0,2.65,,
27,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,1.55,,
28,1,True,1,13,1,34,1,,,,catch,0,,1,,0,0,1.88,,
29,1,True,1,13,1,20,1,,,,catch,0,,1,,0,0,1.77,,
30,1,True,1,12,1,22,1,,,,catch,0,,1,,0,0,2.56,,
31,2,True,0,12,1,28,0,,,,catch,0,,1,,0,0,1.77,,
32,2,True,0,13,1,14,0,,,,catch,0,,1,,0,0,2.42,,
33,2,True,0,14,0,8,1,,,,catch,0,,1,,0,0,1.75,,
34,2,True,1,14,1,20,1,,,,catch,0,,1,,0,0,1.47,,
35,2,True,1,13,1,24,1,,,,catch,0,,1,,0,0,1.64,,
36,2,True,1,13,0,15,0,,,,catch,0,,1,,0,0,2.29,,
37,2,True,1,14,1,17,1,,,,catch,0,,1,,0,0,1.68,,
38,2,True,0,14,1,25,0,,,,catch,0,,1,,0,0,1.37,,
39,2,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.3,,
40,2,True,1,15,1,22,1,,,,catch,0,,1,,0,0,1.51,,
41,2,True,1,14,1,16,1,,,,catch,0,,1,,0,0,2.27,,
42,2,True,0,14,1,15,0,,,,catch,0,,1,,0,0,1.35,,
43,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.61,,
44,2,True,0,15,0,18,1,,,,catch,0,,1,,0,0,1.6,,
45,2,True,0,14,1,15,0,,,,catch,0,,1,,0,0,1.32,,
