trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,69.72,,
2,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,13.17,,
3,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,5.57,,
4,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,1.8,,
5,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,1.74,,
6,1,True,0,14,1,6,0,,,,catch,0,,1,,0,0,1.49,,
7,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,1.52,,
8,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.34,,
9,1,True,0,14,1,17,0,,,,catch,0,,1,,0,0,1.14,,
10,1,True,0,15,0,19,1,,,,catch,0,,1,,0,0,1.24,,
11,1,True,1,15,0,21,0,,,,catch,0,,1,,0,0,1.67,,
12,1,True,1,15,0,22,0,,,,catch,0,,1,,0,0,8.98,,
13,1,True,0,15,0,21,1,,,,catch,0,,1,,0,0,1.7,,
14,1,True,1,15,0,26,0,,,,catch,0,,1,,0,0,1.41,,
15,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,1.33,,
16,1,True,1,15,0,23,0,,,,catch,0,,1,,0,0,1.35,,
17,1,True,0,15,1,21,0,,,,catch,0,,1,,0,0,1.53,,
18,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.27,,
19,1,True,0,15,0,24,1,,,,catch,0,,1,,0,0,1.85,,
20,1,True,0,14,0,31,1,,,,catch,0,,1,,0,0,1.74,,
21,1,True,0,14,0,20,1,,,,catch,0,,1,,0,0,2.24,,
22,1,True,0,13,1,8,0,,,,catch,0,,1,,0,0,2.35,,
23,1,True,1,14,1,23,1,,,,catch,0,,1,,0,0,1.56,,
24,1,True,1,14,1,15,1,,,,catch,0,,1,,0,0,2.09,,
25,1,True,0,13,1,24,0,,,,catch,0,,1,,0,0,1.38,,
26,1,True,0,14,0,23,1,,,,catch,0,,1,,0,0,1.31,,
27,1,True,0,14,1,8,0,,,,catch,0,,1,,0,0,1.7,,
28,1,True,0,15,1,32,0,,,,catch,0,,1,,0,0,1.7,,
29,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,1.33,,
30,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,1.18,,
31,2,True,0,15,1,5,0,,,,catch,0,,1,,0,0,1.84,,
32,2,True,0,15,0,35,1,,,,catch,0,,1,,0,0,1.57,,
33,2,True,0,15,0,40,1,,,,catch,0,,1,,0,0,1.27,,
34,2,True,0,14,0,28,1,,,,catch,0,,1,,0,0,1.36,,
35,2,True,0,14,0,19,1,,,,catch,0,,1,,0,0,1.4,,
36,2,True,1,13,1,40,1,,,,catch,0,,1,,0,0,2.38,,
37,2,True,0,13,0,29,1,,,,catch,0,,1,,0,0,1.45,,
38,2,True,1,12,1,9,1,,,,catch,0,,1,,0,0,1.57,,
39,2,True,1,12,1,35,1,,,,catch,0,,1,,0,0,1.7,,
40,2,True,1,11,1,50,1,,,,catch,0,,1,,0,0,1.71,,
41,2,True,0,11,1,5,0,,,,catch,0,,1,,0,0,1.42,,
42,2,True,1,12,1,50,1,,,,catch,0,,1,,0,0,1.31,,
43,2,True,0,12,0,23,1,,,,catch,0,,1,,0,0,1.55,,
44,2,True,1,11,0,23,0,,,,catch,0,,1,,0,0,2.68,,
45,2,True,1,12,1,50,1,,,,catch,0,,1,,0,0,1.5,,
46,2,True,1,12,1,50,1,,,,catch,0,,1,,0,0,1.17,,
47,2,True,1,11,1,50,1,,,,catch,0,,1,,0,0,1.27,,
48,2,True,0,11,1,31,0,,,,catch,0,,1,,0,0,1.26,,
49,2,True,0,12,1,17,0,,,,catch,0,,1,,0,0,1.04,,
50,2,True,0,13,1,3,0,,,,catch,0,,1,,0,0,1.63,,
51,2,True,1,14,1,24,1,,,,catch,0,,1,,0,0,1.38,,
52,2,True,1,14,1,50,1,,,,catch,0,,1,,0,0,1.23,,
53,2,True,0,13,0,17,1,,,,catch,0,,1,,0,0,39.16,,
54,2,True,1,13,1,50,1,,,,catch,0,,1,,0,0,1.11,,
55,2,True,1,12,1,17,1,,,,catch,0,,1,,0,0,0.89,,
56,2,True,1,12,1,4,1,,,,catch,0,,1,,0,0,1.71,,
57,2,True,1,11,1,23,1,,,,catch,0,,1,,0,0,1.11,,
58,2,True,0,11,0,15,1,,,,catch,0,,1,,0,0,2.06,,
59,2,True,1,10,1,21,1,,,,catch,0,,1,,0,0,0.94,,
60,2,True,1,10,1,50,1,,,,catch,0,,1,,0,0,1.28,,
61,3,False,1,9,1,7,1,1,50,1,forceblk4,2,2,0,1,1,0,3.13,10.55,11.55
62,3,False,1,9,1,16,1,1,16,1,forceblk4,1,1,0,1,1,0,1.7,3.39,4.39
63,3,False,0,9,1,14,0,1,13,0,forceblk4,2,2,0,1,0,0,1.46,1.26,2.26
64,3,False,1,9,0,10,0,0,7,0,forceblk4,1,1,0,0,0,0,5.11,4.04,5.04
65,3,False,1,9,1,36,1,1,34,1,forceblk4,1,1,0,0,0,0,2.0,2.24,3.25
66,3,False,0,9,1,22,0,1,21,0,forceblk4,2,2,0,1,0,0,1.52,1.11,2.11
67,3,False,0,9,1,6,0,0,7,1,forceblk4,2,2,0,0,1,0,2.13,3.49,4.5
68,3,False,1,9,1,14,1,1,12,1,forceblk4,1,1,0,1,1,0,1.35,1.02,2.02
69,3,False,0,9,0,50,1,0,50,1,forceblk4,1,1,0,0,1,0,2.08,1.95,2.95
70,3,False,1,9,1,22,1,1,24,1,forceblk4,2,2,0,1,1,0,1.62,1.04,2.04
71,3,False,1,9,1,20,1,1,25,1,forceblk4,2,2,0,1,1,0,1.3,0.96,1.96
72,3,False,0,9,1,22,0,1,20,0,forceblk4,1,1,0,0,1,0,1.33,2.2,3.2
73,3,False,1,9,1,17,1,1,21,1,forceblk4,1,1,0,1,1,0,1.57,0.88,1.89
74,3,False,1,9,1,22,1,0,16,0,forceblk4,2,2,0,0,0,0,1.16,1.62,2.62
75,3,False,1,9,0,18,0,1,21,1,forceblk4,2,2,0,1,1,0,1.71,1.72,2.72
76,3,False,1,9,1,17,1,1,11,1,forceblk4,1,1,0,1,1,0,1.06,1.42,2.42
77,3,False,1,9,0,35,0,0,39,0,forceblk4,1,1,0,1,1,0,1.24,1.23,2.24
78,3,False,0,9,1,21,0,1,21,0,forceblk4,2,2,0,1,0,0,1.46,0.97,1.98
