trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,20.65,,
2,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,6.3,,
3,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,8.59,,
4,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,2.94,,
5,1,True,1,14,1,27,1,,,,catch,0,,1,,0,0,2.6,,
6,1,True,1,14,1,37,1,,,,catch,0,,1,,0,0,2.33,,
7,1,True,1,13,1,8,1,,,,catch,0,,1,,0,0,3.72,,
8,1,True,1,13,0,6,0,,,,catch,0,,1,,0,0,3.73,,
9,1,True,0,14,0,2,1,,,,catch,0,,1,,0,0,3.87,,
10,1,True,1,14,1,5,1,,,,catch,0,,1,,0,0,6.4,,
11,1,True,1,13,0,3,0,,,,catch,0,,1,,0,0,4.24,,
12,1,True,0,14,1,21,0,,,,catch,0,,1,,0,0,2.79,,
13,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,2.18,,
14,1,True,1,15,1,40,1,,,,catch,0,,1,,0,0,5.79,,
15,1,True,1,14,1,45,1,,,,catch,0,,1,,0,0,2.69,,
16,1,True,1,14,1,32,1,,,,catch,0,,1,,0,0,7.28,,
17,1,True,0,13,0,17,1,,,,catch,0,,1,,0,0,2.63,,
18,1,True,1,13,1,31,1,,,,catch,0,,1,,0,0,2.2,,
19,1,True,0,12,1,39,0,,,,catch,0,,1,,0,0,2.41,,
20,1,True,0,13,0,16,1,,,,catch,0,,1,,0,0,3.42,,
21,1,True,0,13,0,7,1,,,,catch,0,,1,,0,0,3.54,,
22,1,True,0,12,1,22,0,,,,catch,0,,1,,0,0,3.01,,
23,1,True,1,13,0,5,0,,,,catch,0,,1,,0,0,2.98,,
24,1,True,1,14,1,7,1,,,,catch,0,,1,,0,0,5.43,,
25,1,True,0,14,0,9,1,,,,catch,0,,1,,0,0,2.39,,
26,1,True,1,13,1,28,1,,,,catch,0,,1,,0,0,2.14,,
27,1,True,0,13,1,18,0,,,,catch,0,,1,,0,0,2.3,,
28,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,3.88,,
29,1,True,1,14,1,41,1,,,,catch,0,,1,,0,0,1.95,,
30,1,True,0,13,0,26,1,,,,catch,0,,1,,0,0,2.11,,
31,2,True,1,13,1,7,1,,,,catch,0,,1,,0,0,5.33,,
32,2,True,1,12,1,8,1,,,,catch,0,,1,,0,0,2.25,,
33,2,True,1,12,1,17,1,,,,catch,0,,1,,0,0,1.69,,
34,2,True,1,11,1,9,1,,,,catch,0,,1,,0,0,3.48,,
35,2,True,1,11,1,34,1,,,,catch,0,,1,,0,0,1.66,,
36,2,True,0,10,1,18,0,,,,catch,0,,1,,0,0,2.51,,
37,2,True,0,11,1,7,0,,,,catch,0,,1,,0,0,3.46,,
38,2,True,1,12,1,16,1,,,,catch,0,,1,,0,0,3.22,,
39,2,True,1,12,1,38,1,,,,catch,0,,1,,0,0,2.16,,
40,2,True,0,11,1,6,0,,,,catch,0,,1,,0,0,3.98,,
41,2,True,0,12,1,15,0,,,,catch,0,,1,,0,0,3.31,,
42,2,True,0,13,1,9,0,,,,catch,0,,1,,0,0,6.12,,
43,2,True,0,14,1,6,0,,,,catch,0,,1,,0,0,3.86,,
44,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,7.14,,
45,2,True,0,15,0,25,1,,,,catch,0,,1,,0,0,3.08,,
46,2,True,1,14,0,5,0,,,,catch,0,,1,,0,0,5.44,,
47,2,True,0,15,0,36,1,,,,catch,0,,1,,0,0,1.87,,
48,2,True,0,15,0,30,1,,,,catch,0,,1,,0,0,2.89,,
49,2,True,0,14,0,28,1,,,,catch,0,,1,,0,0,3.88,,
50,2,True,1,14,0,3,0,,,,catch,0,,1,,0,0,3.82,,
51,2,True,1,15,1,43,1,,,,catch,0,,1,,0,0,2.02,,
52,2,True,1,15,1,24,1,,,,catch,0,,1,,0,0,2.66,,
53,2,True,0,14,0,11,1,,,,catch,0,,1,,0,0,3.63,,
54,2,True,0,14,0,27,1,,,,catch,0,,1,,0,0,2.18,,
55,2,True,0,13,0,45,1,,,,catch,0,,1,,0,0,2.2,,
56,2,True,1,13,1,48,1,,,,catch,0,,1,,0,0,2.13,,
57,2,True,0,12,0,49,1,,,,catch,0,,1,,0,0,1.9,,
58,2,True,1,12,1,3,1,,,,catch,0,,1,,0,0,3.53,,
59,2,True,0,11,1,9,0,,,,catch,0,,1,,0,0,3.36,,
60,2,True,0,12,1,48,0,,,,catch,0,,1,,0,0,2.43,,
61,3,False,1,13,1,7,1,1,19,1,forceblk4,2,2,0,1,1,0,4.25,5.35,6.36
62,3,False,1,13,1,35,1,1,25,1,forceblk4,1,1,0,0,0,0,2.18,16.2,17.21
63,3,False,1,13,0,3,0,1,2,1,forceblk4,1,1,0,1,1,0,5.06,9.13,10.13
64,3,False,0,13,1,10,0,0,2,1,forceblk4,2,2,0,0,1,0,3.05,23.12,24.12
65,3,False,1,13,1,36,1,1,48,1,forceblk4,2,2,0,1,1,0,2.01,3.22,4.22
66,3,False,1,13,1,36,1,1,44,1,forceblk4,1,1,0,1,1,0,2.84,4.6,5.61
67,3,False,0,13,1,23,0,1,36,0,forceblk4,1,1,0,1,0,0,5.71,2.23,3.24
68,3,False,1,13,1,44,1,1,50,1,forceblk4,2,2,0,1,1,0,2.13,1.8,2.81
69,3,False,0,13,1,37,0,1,50,0,forceblk4,1,1,0,1,0,0,2.34,2.06,3.07
70,3,False,0,13,1,17,0,1,12,0,forceblk4,2,2,0,0,1,0,4.45,10.99,11.99
71,3,False,0,13,0,10,1,0,3,1,forceblk4,1,1,0,1,0,0,2.89,5.63,6.63
72,3,False,1,13,1,24,1,1,12,1,forceblk4,2,2,0,0,0,0,2.35,5.75,6.76
73,3,False,0,13,0,21,1,0,35,1,forceblk4,1,1,0,0,1,0,2.42,2.31,3.33
74,3,False,0,13,0,4,1,0,23,1,forceblk4,2,2,0,0,1,0,3.27,2.31,3.31
75,3,False,0,13,1,9,0,1,6,0,forceblk4,1,1,0,0,1,0,2.61,2.74,3.75
76,3,False,1,13,1,21,1,1,42,1,forceblk4,2,2,0,1,1,0,1.81,2.58,3.6
77,3,False,0,13,0,12,1,0,1,1,forceblk4,1,1,0,1,0,0,3.38,4.99,5.99
78,3,False,0,13,1,39,0,1,36,0,forceblk4,2,2,0,0,1,0,1.92,6.84,7.85
79,3,False,0,13,0,18,1,0,34,1,forceblk4,2,2,0,0,1,0,2.01,1.57,2.59
80,3,False,0,13,0,4,1,1,5,0,forceblk4,1,1,0,1,0,0,3.11,2.88,3.88
81,3,False,1,13,1,45,1,1,50,1,forceblk4,2,2,0,1,1,0,2.89,1.44,2.44
82,3,False,0,13,1,6,0,0,2,1,forceblk4,2,2,0,0,1,0,3.72,5.38,6.39
83,3,False,0,13,1,4,0,0,6,1,forceblk4,1,1,0,0,1,0,5.65,2.28,3.3
84,3,False,1,13,1,38,1,1,49,1,forceblk4,1,1,0,1,1,0,1.66,1.67,2.67
85,3,False,1,13,1,28,1,0,3,0,forceblk4,2,2,0,0,0,0,2.69,7.49,8.5
86,3,False,0,13,0,24,1,0,15,1,forceblk4,2,2,0,1,0,0,1.99,7.43,8.44
87,3,False,0,13,0,13,1,0,29,1,forceblk4,1,1,0,0,1,0,2.3,2.01,3.03
88,3,False,1,13,1,13,1,1,27,1,forceblk4,2,2,0,1,1,0,2.83,2.13,3.14
89,3,False,0,13,0,34,1,0,50,1,forceblk4,1,1,0,0,1,0,2.12,1.89,2.9
90,3,False,1,13,1,36,1,1,50,1,forceblk4,2,2,0,1,1,0,1.46,1.46,2.47
91,3,False,0,13,1,6,0,1,2,0,forceblk4,1,1,0,0,1,0,2.72,4.04,5.05
92,3,False,1,13,1,42,1,1,15,1,forceblk4,1,1,0,0,0,0,1.67,5.54,6.54
93,3,False,1,13,1,48,1,1,50,1,forceblk4,2,2,0,1,1,0,2.83,1.84,2.85
94,3,False,1,13,1,49,1,1,50,1,forceblk4,1,1,0,1,1,0,1.75,1.64,2.64
95,3,False,1,13,0,2,0,1,9,1,forceblk4,2,2,0,1,1,0,4.08,2.26,3.27
96,3,False,0,13,1,32,0,1,2,0,forceblk4,1,1,0,0,1,0,2.97,4.85,5.87
97,3,False,1,13,1,29,1,1,46,1,forceblk4,2,2,0,1,1,0,2.1,1.89,2.89
98,3,False,1,13,1,48,1,1,50,1,forceblk4,2,2,0,1,1,0,1.92,1.65,2.66
99,3,False,1,13,1,47,1,1,50,1,forceblk4,1,1,0,1,1,0,1.64,1.53,2.55
100,3,False,0,13,1,20,0,1,8,0,forceblk4,1,1,0,0,1,0,2.65,3.97,4.97
101,3,False,0,13,0,3,1,0,12,1,forceblk4,2,2,0,0,1,0,4.38,1.74,2.74
102,3,False,1,13,1,35,1,1,49,1,forceblk4,1,1,0,1,1,0,1.69,1.35,2.36
103,3,False,1,13,1,38,1,1,50,1,forceblk4,2,2,0,1,1,0,1.58,3.3,4.31
104,3,False,0,13,0,3,1,0,10,1,forceblk4,1,1,0,0,1,0,3.91,1.63,2.65
105,3,False,1,13,1,33,1,1,47,1,forceblk4,1,1,0,1,1,0,1.67,1.39,2.39
106,3,False,0,13,0,2,1,0,8,1,forceblk4,2,2,0,0,1,0,6.16,1.31,2.32
107,3,False,0,13,0,24,1,0,39,1,forceblk4,1,1,0,0,1,0,1.7,1.83,2.84
108,3,False,1,13,1,19,1,1,14,1,forceblk4,2,2,0,0,0,0,1.72,3.22,4.22
109,3,False,0,13,0,19,1,0,6,1,forceblk4,1,1,0,1,0,0,2.14,3.68,4.69
110,3,False,0,13,0,20,1,0,35,1,forceblk4,2,2,0,0,1,0,1.72,1.71,2.72
111,3,False,1,13,1,19,1,1,37,1,forceblk4,1,1,0,1,1,0,2.33,1.54,2.55
112,3,False,0,13,0,27,1,0,44,1,forceblk4,2,2,0,0,1,0,1.67,1.78,2.79
113,3,False,0,13,1,30,0,1,12,0,forceblk4,1,1,0,0,1,0,3.62,4.05,5.05
114,3,False,0,13,0,43,1,0,50,1,forceblk4,2,2,0,0,1,0,2.67,2.08,3.08
115,3,False,0,13,0,6,1,0,19,1,forceblk4,2,2,0,0,1,0,2.55,1.76,2.77
116,3,False,0,13,1,24,0,1,7,0,forceblk4,1,1,0,0,1,0,2.68,10.29,11.29
117,3,False,1,13,1,45,1,1,41,1,forceblk4,1,1,0,0,0,0,1.84,3.7,4.7
118,3,False,0,13,1,33,0,1,31,0,forceblk4,2,2,0,0,1,0,1.79,4.02,5.02
119,3,False,0,13,1,16,0,1,5,0,forceblk4,2,2,0,0,1,0,1.94,7.69,8.69
120,3,False,0,13,1,15,0,1,3,0,forceblk4,1,1,0,0,1,0,1.89,4.72,5.73
121,4,False,1,13,1,7,1,1,18,1,change,1,1,0,1,1,0,5.26,2.39,4.9
122,4,False,0,13,1,9,0,0,3,1,force,2,2,0,0,1,0,2.59,3.54,4.54
