trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,12.9,,
2,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,2.61,,
3,1,True,1,15,0,25,0,,,,catch,0,,1,,0,0,3.62,,
4,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,9.12,,
5,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,4.74,,
6,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.18,,
7,1,True,1,15,0,15,0,,,,catch,0,,1,,0,0,1.57,,
8,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,1.15,,
9,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.62,,
10,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,1.95,,
11,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.8,,
12,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.88,,
13,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,1.4,,
14,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.83,,
15,1,True,1,14,0,33,0,,,,catch,0,,1,,0,0,1.72,,
16,1,True,0,15,1,37,0,,,,catch,0,,1,,0,0,1.77,,
17,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.52,,
18,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.68,,
19,1,True,0,14,0,15,1,,,,catch,0,,1,,0,0,1.88,,
20,1,True,0,14,0,41,1,,,,catch,0,,1,,0,0,2.73,,
21,1,True,1,13,0,30,0,,,,catch,0,,1,,0,0,1.87,,
22,1,True,1,14,1,35,1,,,,catch,0,,1,,0,0,1.6,,
23,1,True,1,14,0,17,0,,,,catch,0,,1,,0,0,2.03,,
24,1,True,0,15,0,19,1,,,,catch,0,,1,,0,0,1.53,,
25,1,True,1,15,0,19,0,,,,catch,0,,1,,0,0,1.63,,
26,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,1.39,,
27,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,2.37,,
28,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.65,,
29,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,3.58,,
30,1,True,1,14,0,3,0,,,,catch,0,,1,,0,0,1.87,,
31,2,True,0,15,1,11,0,,,,catch,0,,1,,0,0,1.72,,
32,2,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.55,,
33,2,True,1,15,1,4,1,,,,catch,0,,1,,0,0,1.77,,
34,2,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.5,,
35,2,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.26,,
36,2,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.89,,
37,2,True,0,14,1,1,0,,,,catch,0,,1,,0,0,1.69,,
38,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.39,,
39,2,True,1,15,0,21,0,,,,catch,0,,1,,0,0,1.51,,
40,2,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.9,,
41,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.68,,
42,2,True,1,14,0,18,0,,,,catch,0,,1,,0,0,1.93,,
43,2,True,1,15,0,15,0,,,,catch,0,,1,,0,0,1.29,,
44,2,True,1,15,1,1,1,,,,catch,0,,1,,0,0,3.2,,
45,2,True,0,15,1,27,0,,,,catch,0,,1,,0,0,1.69,,
46,2,True,1,15,1,1,1,,,,catch,0,,1,,0,0,3.0,,
47,2,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.98,,
48,2,True,0,14,0,44,1,,,,catch,0,,1,,0,0,2.88,,
49,2,True,1,14,1,2,1,,,,catch,0,,1,,0,0,2.93,,
50,2,True,1,13,1,21,1,,,,catch,0,,1,,0,0,1.77,,
51,2,True,1,13,0,1,0,,,,catch,0,,1,,0,0,2.96,,
52,2,True,0,14,0,10,1,,,,catch,0,,1,,0,0,1.52,,
53,2,True,0,14,0,7,1,,,,catch,0,,1,,0,0,2.57,,
54,2,True,0,13,0,2,1,,,,catch,0,,1,,0,0,2.3,,
55,2,True,0,13,0,1,1,,,,catch,0,,1,,0,0,6.78,,
56,2,True,0,12,0,4,1,,,,catch,0,,1,,0,0,2.31,,
57,2,True,0,12,0,33,1,,,,catch,0,,1,,0,0,2.42,,
58,2,True,0,11,0,14,1,,,,catch,0,,1,,0,0,2.59,,
59,2,True,0,11,0,1,1,,,,catch,0,,1,,0,0,2.29,,
60,2,True,1,10,1,8,1,,,,catch,0,,1,,0,0,1.95,,
61,3,False,1,10,0,2,0,0,34,0,forceblk4,2,2,0,0,0,0,4.86,5.51,6.52
62,3,False,1,10,1,6,1,0,12,0,forceblk4,1,1,0,0,0,0,3.4,10.3,11.32
63,3,False,0,10,1,5,0,1,6,0,forceblk4,2,2,0,0,1,0,2.86,4.13,5.14
64,3,False,1,10,0,13,0,0,6,0,forceblk4,1,1,0,1,1,0,1.81,8.51,9.52
65,3,False,1,10,0,5,0,1,8,1,forceblk4,2,2,0,1,1,0,2.08,5.11,6.13
66,3,False,1,10,0,32,0,0,48,0,forceblk4,1,1,0,0,0,0,3.02,2.46,3.48
67,3,False,0,10,0,34,1,0,46,1,forceblk4,2,2,0,0,1,0,2.14,2.46,3.46
68,3,False,0,10,0,37,1,0,33,1,forceblk4,1,1,0,0,1,0,2.09,4.28,5.3
69,3,False,1,10,0,40,0,0,8,0,forceblk4,2,2,0,1,1,0,2.12,5.0,6.01
70,3,False,0,10,0,23,1,0,30,1,forceblk4,1,1,0,0,1,0,2.81,3.14,4.16
71,3,False,1,10,0,35,0,0,1,0,forceblk4,2,2,0,1,1,0,2.22,4.98,6.0
72,3,False,0,10,0,32,1,0,37,1,forceblk4,1,1,0,0,1,0,1.64,3.9,4.9
73,3,False,1,10,0,34,0,1,2,1,forceblk4,2,2,0,1,1,0,1.75,2.88,3.89
74,3,False,1,10,0,17,0,0,13,0,forceblk4,1,1,0,1,1,0,1.55,4.61,5.63
75,3,False,1,10,0,23,0,1,2,1,forceblk4,2,2,0,1,1,0,1.47,3.6,4.6
76,3,False,0,10,0,28,1,0,23,1,forceblk4,1,1,0,1,0,0,1.6,2.75,3.76
77,3,False,1,10,0,7,0,0,2,0,forceblk4,1,1,0,1,1,0,1.89,5.1,6.11
78,3,False,1,10,0,44,0,0,50,0,forceblk4,2,2,0,0,0,0,3.13,2.63,3.65
79,3,False,1,10,0,1,0,0,16,0,forceblk4,2,2,0,0,0,0,1.94,1.71,2.72
80,3,False,1,10,1,2,1,1,5,1,forceblk4,1,1,0,1,1,0,11.88,1.58,2.6
81,3,False,1,10,0,10,0,1,2,1,forceblk4,2,2,0,1,1,0,1.36,1.9,2.9
82,3,False,0,10,0,42,1,0,22,1,forceblk4,1,1,0,1,0,0,2.49,3.82,4.84
83,3,False,0,10,0,39,1,0,49,1,forceblk4,2,2,0,0,1,0,2.34,2.37,3.38
84,3,False,1,10,0,21,0,0,29,0,forceblk4,1,1,0,0,0,0,1.83,2.88,3.89
85,3,False,0,10,0,7,1,0,1,1,forceblk4,1,1,0,1,0,0,1.67,2.91,3.92
86,3,False,1,10,0,6,0,0,29,0,forceblk4,2,2,0,0,0,0,1.73,2.61,3.63
