trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.17,,
2,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,0.79,,
3,1,True,0,15,1,22,0,,,,catch,0,,1,,0,0,1.1,,
4,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,0.79,,
5,1,True,0,15,1,21,0,,,,catch,0,,1,,0,0,0.83,,
6,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.0,,
7,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,9.2,,
8,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,0.89,,
9,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,1.1,,
10,1,True,0,14,1,28,0,,,,catch,0,,1,,0,0,1.0,,
11,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,0.87,,
12,1,True,0,15,0,18,1,,,,catch,0,,1,,0,0,1.09,,
13,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,0.91,,
14,1,True,0,14,1,30,0,,,,catch,0,,1,,0,0,0.68,,
15,1,True,0,15,0,22,1,,,,catch,0,,1,,0,0,2.28,,
16,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,0.81,,
17,1,True,0,14,0,26,1,,,,catch,0,,1,,0,0,1.07,,
18,1,True,1,14,1,24,1,,,,catch,0,,1,,0,0,0.85,,
19,1,True,1,13,1,25,1,,,,catch,0,,1,,0,0,0.63,,
20,1,True,0,13,0,20,1,,,,catch,0,,1,,0,0,1.56,,
21,1,True,1,12,1,17,1,,,,catch,0,,1,,0,0,1.66,,
22,1,True,0,12,0,12,1,,,,catch,0,,1,,0,0,1.43,,
23,1,True,0,11,1,14,0,,,,catch,0,,1,,0,0,0.88,,
24,1,True,1,12,0,18,0,,,,catch,0,,1,,0,0,1.44,,
25,1,True,0,13,0,26,1,,,,catch,0,,1,,0,0,1.42,,
26,1,True,0,13,0,25,1,,,,catch,0,,1,,0,0,1.51,,
27,1,True,0,12,0,26,1,,,,catch,0,,1,,0,0,1.54,,
28,1,True,1,12,1,22,1,,,,catch,0,,1,,0,0,1.04,,
29,1,True,0,11,0,21,1,,,,catch,0,,1,,0,0,0.86,,
30,1,True,1,11,1,30,1,,,,catch,0,,1,,0,0,1.21,,
31,2,True,1,10,1,17,1,,,,catch,0,,1,,0,0,1.08,,
32,2,True,1,10,1,20,1,,,,catch,0,,1,,0,0,0.73,,
33,2,True,1,9,1,29,1,,,,catch,0,,1,,0,0,0.93,,
34,2,True,0,9,0,19,1,,,,catch,0,,1,,0,0,1.2,,
35,2,True,0,8,0,28,1,,,,catch,0,,1,,0,0,0.99,,
36,2,True,0,8,0,15,1,,,,catch,0,,1,,0,0,1.09,,
37,2,True,1,7,1,23,1,,,,catch,0,,1,,0,0,0.83,,
38,2,True,1,7,1,35,1,,,,catch,0,,1,,0,0,0.88,,
39,2,True,1,6,1,23,1,,,,catch,0,,1,,0,0,0.75,,
40,2,True,0,6,0,17,1,,,,catch,0,,1,,0,0,0.86,,
41,2,True,1,5,0,24,0,,,,catch,0,,1,,0,0,1.25,,
42,2,True,1,6,1,27,1,,,,catch,0,,1,,0,0,1.3,,
43,2,True,0,6,0,25,1,,,,catch,0,,1,,0,0,1.25,,
44,2,True,0,5,0,15,1,,,,catch,0,,1,,0,0,1.18,,
45,2,True,1,5,0,23,0,,,,catch,0,,1,,0,0,0.89,,
46,2,True,1,6,0,20,0,,,,catch,0,,1,,0,0,0.92,,
47,2,True,1,7,1,33,1,,,,catch,0,,1,,0,0,0.85,,
48,2,True,0,7,0,16,1,,,,catch,0,,1,,0,0,1.13,,
49,2,True,0,6,0,26,1,,,,catch,0,,1,,0,0,1.08,,
50,2,True,0,6,1,27,0,,,,catch,0,,1,,0,0,0.86,,
51,2,True,0,7,1,24,0,,,,catch,0,,1,,0,0,1.04,,
52,2,True,0,8,0,18,1,,,,catch,0,,1,,0,0,1.39,,
53,2,True,0,8,1,24,0,,,,catch,0,,1,,0,0,1.7,,
54,2,True,1,9,1,20,1,,,,catch,0,,1,,0,0,1.06,,
55,2,True,0,9,0,17,1,,,,catch,0,,1,,0,0,1.11,,
56,2,True,1,8,0,26,0,,,,catch,0,,1,,0,0,1.26,,
57,2,True,1,9,1,24,1,,,,catch,0,,1,,0,0,0.89,,
58,2,True,1,9,1,28,1,,,,catch,0,,1,,0,0,1.13,,
59,2,True,1,8,1,28,1,,,,catch,0,,1,,0,0,0.86,,
60,2,True,0,8,0,21,1,,,,catch,0,,1,,0,0,0.91,,
61,3,False,0,7,0,22,1,0,28,1,forceblk4,1,1,0,0,1,0,1.28,0.99,2.0
62,3,False,0,7,1,15,0,0,7,1,forceblk4,1,1,0,0,1,0,1.5,1.04,2.04
63,3,False,0,7,0,16,1,1,12,0,forceblk4,2,2,0,1,0,0,1.02,0.88,1.89
64,3,False,0,7,0,14,1,0,18,1,forceblk4,1,1,0,0,1,0,1.11,1.04,2.04
65,3,False,1,7,0,18,0,0,28,0,forceblk4,2,2,0,1,1,0,1.23,0.86,1.86
66,3,False,0,7,1,30,0,1,42,0,forceblk4,2,2,0,1,0,0,0.9,0.87,1.87
67,3,False,1,7,1,19,1,1,12,1,forceblk4,1,1,0,0,0,0,1.21,1.19,2.19
68,3,False,1,7,1,33,1,1,28,1,forceblk4,1,1,0,0,0,0,1.17,1.52,2.53
69,3,False,1,7,1,35,1,1,50,1,forceblk4,2,2,0,1,1,0,0.93,0.77,1.77
70,3,False,0,7,1,20,0,1,16,0,forceblk4,2,2,0,0,1,0,1.71,1.25,2.25
71,3,False,1,7,0,15,0,0,20,0,forceblk4,2,2,0,0,0,0,1.09,0.49,1.49
72,3,False,0,7,1,26,0,1,19,0,forceblk4,1,1,0,0,1,0,1.1,1.12,2.12
73,3,False,0,7,1,21,0,0,6,1,forceblk4,1,1,0,0,1,0,0.79,1.07,2.07
74,3,False,0,7,1,13,0,0,12,1,forceblk4,1,1,0,0,1,0,1.15,1.33,2.34
75,3,False,0,7,1,19,0,0,19,1,forceblk4,2,2,0,0,1,0,1.09,0.83,1.84
76,3,False,1,7,1,31,1,1,42,1,forceblk4,2,2,0,1,1,0,1.06,1.36,2.36
77,3,False,1,7,1,40,1,1,50,1,forceblk4,1,1,0,1,1,0,0.84,1.1,2.1
78,3,False,0,7,1,20,0,1,26,0,forceblk4,2,2,0,1,0,0,1.09,0.51,1.51
79,3,False,1,7,1,32,1,1,46,1,forceblk4,2,2,0,1,1,0,0.83,0.81,1.81
80,3,False,1,7,0,17,0,1,19,1,forceblk4,1,1,0,1,1,0,0.97,0.86,1.86
81,3,False,1,7,1,21,1,1,31,1,forceblk4,1,1,0,1,1,0,0.8,0.68,1.69
82,3,False,0,7,1,23,0,1,30,0,forceblk4,2,2,0,0,1,0,1.33,0.52,1.52
83,3,False,1,7,1,27,1,1,32,1,forceblk4,1,1,0,1,1,0,0.9,0.85,1.85
84,3,False,1,7,1,24,1,1,47,1,forceblk4,1,1,0,1,1,0,1.24,1.08,2.09
85,3,False,1,7,1,26,1,1,31,1,forceblk4,2,2,0,0,0,0,0.97,1.0,2.0
86,3,False,0,7,1,24,0,1,11,0,forceblk4,2,2,0,0,1,0,0.62,1.96,2.96
87,3,False,0,7,1,30,0,1,37,0,forceblk4,1,1,0,1,0,0,0.63,0.47,1.47
88,3,False,1,7,0,9,0,0,17,0,forceblk4,2,2,0,0,0,0,1.21,1.02,2.02
89,3,False,0,7,1,13,0,1,18,0,forceblk4,1,1,0,1,0,0,2.23,0.64,1.64
90,3,False,0,7,0,27,1,0,34,1,forceblk4,2,2,0,0,1,0,1.72,2.42,3.43
91,3,False,1,7,1,16,1,1,24,1,forceblk4,2,2,0,1,1,0,51.99,0.88,1.89
92,3,False,0,7,0,11,1,1,10,0,forceblk4,1,1,0,1,0,0,1.49,1.52,2.52
93,3,False,1,7,1,22,1,1,29,1,forceblk4,1,1,0,1,1,0,1.15,0.76,1.76
94,3,False,1,7,1,27,1,1,22,1,forceblk4,1,1,0,0,0,0,0.81,1.15,2.15
95,3,False,1,7,1,31,1,1,39,1,forceblk4,2,2,0,0,0,0,0.84,0.82,1.82
96,3,False,0,7,1,35,0,1,32,0,forceblk4,1,1,0,0,1,0,0.92,0.93,1.93
97,3,False,1,7,1,39,1,1,42,1,forceblk4,2,2,0,1,1,0,2.51,5.58,6.58
98,3,False,0,7,1,19,0,1,32,0,forceblk4,2,2,0,1,0,0,1.22,4.24,5.25
99,3,False,0,7,1,23,0,1,29,0,forceblk4,2,2,0,1,0,0,1.29,1.17,2.17
100,3,False,1,7,1,27,1,1,40,1,forceblk4,1,1,0,1,1,0,1.17,0.49,1.5
101,3,False,1,7,1,33,1,1,26,1,forceblk4,2,2,0,0,0,0,2.02,0.95,1.95
102,3,False,0,7,1,18,0,0,9,1,forceblk4,1,1,0,0,1,0,1.22,1.06,2.06
103,3,False,1,7,1,32,1,1,44,1,forceblk4,1,1,0,1,1,0,0.86,0.81,1.81
104,3,False,1,7,1,40,1,1,45,1,forceblk4,2,2,0,0,0,0,1.05,0.7,1.7
105,3,False,1,7,1,45,1,1,50,1,forceblk4,1,1,0,0,0,0,0.91,0.8,1.8
106,3,False,0,7,1,11,0,1,19,0,forceblk4,2,2,0,0,1,0,1.3,0.78,1.79
107,3,False,0,7,0,10,1,0,19,1,forceblk4,1,1,0,0,1,0,1.13,0.58,1.58
108,3,False,0,7,1,31,0,1,41,0,forceblk4,2,2,0,0,1,0,0.84,0.78,1.78
109,3,False,1,7,1,39,1,1,42,1,forceblk4,1,1,0,1,1,0,0.77,0.89,1.89
110,3,False,0,7,1,8,0,1,12,0,forceblk4,2,2,0,1,0,0,1.2,1.09,2.1
111,3,False,1,7,1,21,1,1,27,1,forceblk4,1,1,0,1,1,0,1.03,0.84,1.84
112,3,False,0,7,1,27,0,1,19,0,forceblk4,2,2,0,0,1,0,0.57,0.87,1.87
113,3,False,0,7,1,21,0,1,25,0,forceblk4,2,2,0,1,0,0,0.63,1.01,2.01
114,3,False,1,7,1,25,1,1,32,1,forceblk4,1,1,0,1,1,0,0.95,0.4,1.4
115,3,False,1,7,1,25,1,1,32,1,forceblk4,2,2,0,1,1,0,1.22,0.88,1.88
116,3,False,0,7,1,24,0,1,17,0,forceblk4,1,1,0,0,1,0,1.49,1.19,2.19
