trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,16.25,,
2,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,5.76,,
3,1,True,1,15,1,29,1,,,,catch,0,,1,,0,0,4.17,,
4,1,True,0,14,1,22,0,,,,catch,0,,1,,0,0,3.17,,
5,1,True,0,15,0,24,1,,,,catch,0,,1,,0,0,3.96,,
6,1,True,0,15,0,21,1,,,,catch,0,,1,,0,0,3.64,,
7,1,True,1,14,1,25,1,,,,catch,0,,1,,0,0,2.87,,
8,1,True,0,14,1,18,0,,,,catch,0,,1,,0,0,3.39,,
9,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,2.84,,
10,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,10.09,,
11,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,4.03,,
12,1,True,1,14,1,19,1,,,,catch,0,,1,,0,0,2.41,,
13,1,True,0,13,1,23,0,,,,catch,0,,1,,0,0,2.38,,
14,1,True,1,14,0,29,0,,,,catch,0,,1,,0,0,6.41,,
15,1,True,1,15,1,24,1,,,,catch,0,,1,,0,0,2.8,,
16,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,3.21,,
17,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,3.03,,
18,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,4.21,,
19,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,3.94,,
20,1,True,0,14,0,11,1,,,,catch,0,,1,,0,0,2.5,,
21,1,True,1,14,1,18,1,,,,catch,0,,1,,0,0,3.4,,
22,1,True,1,13,1,30,1,,,,catch,0,,1,,0,0,1.98,,
23,1,True,1,13,0,13,0,,,,catch,0,,1,,0,0,3.12,,
24,1,True,0,14,0,26,1,,,,catch,0,,1,,0,0,2.79,,
25,1,True,0,14,1,13,0,,,,catch,0,,1,,0,0,2.99,,
26,1,True,0,15,1,25,0,,,,catch,0,,1,,0,0,2.29,,
27,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,5.54,,
28,1,True,0,15,1,24,0,,,,catch,0,,1,,0,0,3.67,,
29,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.64,,
30,1,True,1,15,0,10,0,,,,catch,0,,1,,0,0,3.91,,
31,2,True,0,15,1,13,0,,,,catch,0,,1,,0,0,3.16,,
32,2,True,0,15,0,16,1,,,,catch,0,,1,,0,0,2.99,,
33,2,True,1,15,1,19,1,,,,catch,0,,1,,0,0,3.24,,
34,2,True,0,14,1,14,0,,,,catch,0,,1,,0,0,2.87,,
35,2,True,0,15,0,27,1,,,,catch,0,,1,,0,0,5.3,,
36,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,3.7,,
37,2,True,1,14,1,9,1,,,,catch,0,,1,,0,0,2.24,,
38,2,True,0,14,1,20,0,,,,catch,0,,1,,0,0,4.58,,
39,2,True,0,15,1,18,0,,,,catch,0,,1,,0,0,2.37,,
40,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,2.19,,
41,2,True,1,15,0,19,0,,,,catch,0,,1,,0,0,2.48,,
42,2,True,0,15,0,7,1,,,,catch,0,,1,,0,0,4.18,,
43,2,True,0,15,1,12,0,,,,catch,0,,1,,0,0,3.15,,
44,2,True,0,15,1,14,0,,,,catch,0,,1,,0,0,4.91,,
45,2,True,1,15,1,19,1,,,,catch,0,,1,,0,0,3.08,,
46,2,True,1,15,0,25,0,,,,catch,0,,1,,0,0,3.34,,
47,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.71,,
48,2,True,0,15,0,21,1,,,,catch,0,,1,,0,0,3.46,,
49,2,True,0,14,0,19,1,,,,catch,0,,1,,0,0,2.77,,
50,2,True,1,14,1,16,1,,,,catch,0,,1,,0,0,2.08,,
51,2,True,0,13,1,16,0,,,,catch,0,,1,,0,0,3.67,,
52,2,True,0,14,0,10,1,,,,catch,0,,1,,0,0,2.01,,
53,2,True,0,14,0,29,1,,,,catch,0,,1,,0,0,2.37,,
54,2,True,0,13,0,15,1,,,,catch,0,,1,,0,0,2.68,,
55,2,True,0,13,1,15,0,,,,catch,0,,1,,0,0,3.71,,
56,2,True,1,14,0,15,0,,,,catch,0,,1,,0,0,2.92,,
57,2,True,0,15,0,13,1,,,,catch,0,,1,,0,0,2.54,,
58,2,True,1,15,1,13,1,,,,catch,0,,1,,0,0,3.23,,
59,2,True,0,14,1,22,0,,,,catch,0,,1,,0,0,3.32,,
60,2,True,1,15,0,9,0,,,,catch,0,,1,,0,0,3.01,,
61,3,False,1,15,1,18,1,1,25,1,forceblk4,1,1,0,1,1,0,6.94,21.65,22.66
62,3,False,1,15,1,20,1,1,23,1,forceblk4,2,2,0,1,1,0,5.43,7.31,8.31
63,3,False,0,15,0,21,1,0,18,1,forceblk4,1,1,0,0,1,0,2.65,4.36,5.36
64,3,False,0,15,1,22,0,0,18,1,forceblk4,2,2,0,0,1,0,3.71,7.55,8.56
65,3,False,0,15,0,18,1,0,31,1,forceblk4,2,2,0,0,1,0,3.84,4.75,5.75
66,3,False,0,15,1,19,0,1,6,0,forceblk4,1,1,0,0,1,0,3.49,4.98,5.99
67,3,False,1,15,1,17,1,1,34,1,forceblk4,2,2,0,1,1,0,4.01,4.37,5.38
68,3,False,1,15,0,24,0,1,28,1,forceblk4,1,1,0,1,1,0,2.47,5.08,6.09
69,3,False,1,15,1,21,1,1,35,1,forceblk4,1,1,0,1,1,0,2.15,3.57,4.59
70,3,False,1,15,1,17,1,1,43,1,forceblk4,2,2,0,1,1,0,2.66,3.64,4.65
71,3,False,0,15,1,17,0,0,8,1,forceblk4,1,1,0,0,1,0,2.14,6.47,7.49
72,3,False,1,15,0,13,0,1,28,1,forceblk4,2,2,0,1,1,0,3.42,4.86,5.88
73,3,False,0,15,1,19,0,0,29,1,forceblk4,2,2,0,0,1,0,3.05,5.46,6.48
74,3,False,1,15,0,31,0,0,44,0,forceblk4,2,2,0,0,0,0,4.4,3.3,4.31
75,3,False,0,15,1,14,0,1,10,0,forceblk4,1,1,0,0,1,0,8.66,4.38,5.38
76,3,False,0,15,1,15,0,0,11,1,forceblk4,2,2,0,0,1,0,12.19,4.34,5.36
77,3,False,1,15,1,25,1,0,19,0,forceblk4,1,1,0,0,0,0,3.09,5.87,6.89
78,3,False,1,15,1,15,1,1,32,1,forceblk4,1,1,0,1,1,0,31.23,3.23,4.24
79,3,False,1,15,1,21,1,1,35,1,forceblk4,2,2,0,1,1,0,3.75,3.17,4.19
80,3,False,0,15,0,12,1,1,8,0,forceblk4,2,2,0,1,0,0,3.41,6.64,7.64
81,3,False,1,15,0,14,0,0,29,0,forceblk4,1,1,0,0,0,0,3.91,3.49,4.49
82,3,False,0,15,1,13,0,1,32,0,forceblk4,2,2,0,1,0,0,2.02,2.79,3.8
83,3,False,0,15,1,27,0,1,24,0,forceblk4,1,1,0,1,0,0,2.3,7.51,8.52
84,3,False,1,15,1,14,1,1,10,1,forceblk4,1,1,0,1,1,0,3.36,4.0,5.01
85,3,False,1,15,1,17,1,1,42,1,forceblk4,1,1,0,1,1,0,1.9,2.76,3.77
86,3,False,0,15,1,16,0,1,34,0,forceblk4,2,2,0,1,0,0,2.27,2.55,3.56
87,3,False,1,15,1,25,1,1,33,1,forceblk4,2,2,0,1,1,0,2.02,5.51,6.53
88,3,False,1,15,0,7,0,1,3,1,forceblk4,1,1,0,1,1,0,3.9,3.5,4.51
89,3,False,0,15,1,7,0,1,7,0,forceblk4,2,2,0,0,1,0,2.39,4.3,5.31
90,3,False,0,15,1,14,0,0,15,1,forceblk4,1,1,0,0,1,0,2.45,4.03,5.03
91,3,False,0,15,0,5,1,0,33,1,forceblk4,2,2,0,0,1,0,4.81,3.82,4.83
92,3,False,1,15,1,13,1,1,37,1,forceblk4,1,1,0,1,1,0,2.26,2.89,3.9
93,3,False,1,15,1,16,1,1,41,1,forceblk4,2,2,0,1,1,0,2.45,3.58,4.6
94,3,False,0,15,1,14,0,1,8,0,forceblk4,1,1,0,0,1,0,1.81,3.52,4.53
95,3,False,0,15,1,17,0,1,2,0,forceblk4,2,2,0,0,1,0,2.27,5.94,6.95
96,3,False,1,15,0,23,0,1,20,1,forceblk4,1,1,0,1,1,0,2.83,4.61,5.62
97,3,False,0,15,1,19,0,0,16,1,forceblk4,1,1,0,0,1,0,2.27,3.82,4.84
98,3,False,0,15,1,14,0,0,22,1,forceblk4,2,2,0,0,1,0,3.77,3.32,4.33
99,3,False,0,15,0,15,1,0,37,1,forceblk4,1,1,0,0,1,0,2.53,3.37,4.39
100,3,False,0,15,0,16,1,0,32,1,forceblk4,2,2,0,0,1,0,2.79,3.77,4.78
101,3,False,1,15,1,16,1,1,40,1,forceblk4,1,1,0,1,1,0,3.58,2.69,3.7
102,3,False,0,15,1,10,0,0,31,1,forceblk4,2,2,0,0,1,0,4.26,3.28,4.3
103,3,False,0,15,0,12,1,0,33,1,forceblk4,1,1,0,0,1,0,2.16,3.23,4.25
104,3,False,0,15,0,11,1,0,37,1,forceblk4,2,2,0,0,1,0,3.37,2.85,3.86
105,3,False,1,15,1,11,1,1,43,1,forceblk4,1,1,0,1,1,0,3.71,3.6,4.62
106,3,False,0,15,1,24,0,0,14,1,forceblk4,2,2,0,0,1,0,2.16,5.66,6.67
107,3,False,1,15,1,12,1,1,37,1,forceblk4,2,2,0,1,1,0,3.37,3.43,4.46
108,3,False,1,15,0,8,0,1,20,1,forceblk4,1,1,0,1,1,0,3.18,2.97,3.98
109,3,False,1,15,1,16,1,0,22,0,forceblk4,2,2,0,0,0,0,2.64,4.16,5.17
110,3,False,1,15,1,16,1,0,6,0,forceblk4,1,1,0,0,0,0,1.98,5.37,6.39
111,3,False,1,15,1,22,1,1,40,1,forceblk4,1,1,0,1,1,0,2.92,6.53,7.55
112,3,False,1,15,1,35,1,1,45,1,forceblk4,2,2,0,1,1,0,4.75,3.61,4.62
113,3,False,0,15,0,31,1,1,16,0,forceblk4,1,1,0,1,0,0,3.71,3.3,4.31
114,3,False,0,15,0,19,1,1,5,0,forceblk4,2,2,0,1,0,0,3.39,5.26,6.28
115,3,False,1,15,1,28,1,1,43,1,forceblk4,2,2,0,1,1,0,3.2,3.62,4.63
116,3,False,1,15,1,11,1,0,24,0,forceblk4,2,2,0,0,0,0,44.22,4.08,5.1
117,3,False,1,15,1,28,1,1,40,1,forceblk4,1,1,0,1,1,0,2.86,2.42,3.43
118,3,False,1,15,1,23,1,1,42,1,forceblk4,2,2,0,1,1,0,2.27,2.35,3.37
119,3,False,1,15,0,9,0,0,11,0,forceblk4,1,1,0,0,0,0,2.72,6.02,7.03
120,3,False,1,15,1,23,1,1,40,1,forceblk4,1,1,0,1,1,0,2.58,2.75,3.77
121,4,False,0,15,1,28,0,1,38,0,force,2,2,0,1,0,0,3.99,9.85,10.87
122,4,False,0,15,1,26,0,1,34,0,change,1,2,1,1,0,0,3.09,3.59,6.1
123,4,False,1,15,1,19,1,1,38,1,force,1,1,0,1,1,0,3.26,4.37,5.38
124,4,False,0,15,0,18,1,0,33,1,force,2,2,0,0,1,0,2.83,3.22,4.24
125,4,False,1,15,1,19,1,1,15,1,force,1,1,0,0,0,0,2.25,4.41,5.42
126,4,False,1,15,1,17,1,1,40,1,change,1,1,0,1,1,0,2.4,2.24,4.76
127,4,False,0,15,0,15,1,0,25,1,change,1,1,0,0,1,0,3.2,3.42,5.96
128,4,False,0,15,1,20,0,1,36,0,change,1,2,1,1,0,0,2.97,2.91,5.43
129,4,False,1,15,1,18,1,1,15,1,change,1,1,0,0,0,0,2.02,3.06,5.57
130,4,False,0,15,0,21,1,0,41,1,change,1,1,0,0,1,0,2.69,3.33,5.86
131,4,False,0,15,1,19,0,1,12,0,change,1,2,1,0,1,0,3.29,3.7,6.22
132,4,False,0,15,1,22,0,1,7,0,change,1,1,0,0,1,0,1.87,4.01,6.52
133,4,False,1,15,1,32,1,0,18,0,change,1,1,0,0,0,0,2.47,4.68,7.19
134,4,False,1,15,1,20,1,1,43,1,change,1,1,0,1,1,0,2.65,3.33,5.87
135,4,False,0,15,0,31,1,0,41,1,force,1,1,0,0,1,0,2.37,3.34,4.35
136,4,False,0,15,0,14,1,0,37,1,force,2,2,0,0,1,0,2.53,2.38,3.39
137,4,False,1,15,0,17,0,0,6,0,change,2,1,1,1,1,0,3.12,4.3,6.82
138,4,False,1,15,1,29,1,1,9,1,change,1,2,1,0,0,0,1.89,3.33,5.84
139,4,False,0,15,1,15,0,0,14,1,change,1,1,0,0,1,0,2.58,4.95,7.46
140,4,False,0,15,1,30,0,1,13,0,change,1,2,1,0,1,0,2.59,4.82,7.33
141,4,False,1,15,1,29,1,0,19,0,force,2,2,0,0,0,0,4.26,3.1,4.1
142,4,False,0,15,1,33,0,1,20,0,change,1,2,1,0,1,0,2.15,4.98,7.5
143,4,False,1,15,1,39,1,1,44,1,force,1,1,0,1,1,0,2.53,3.28,4.29
144,4,False,0,15,1,37,0,0,30,1,change,2,1,1,0,1,0,2.97,3.65,6.19
145,4,False,1,15,1,24,1,1,46,1,force,2,2,0,1,1,0,3.0,3.63,4.63
146,4,False,1,15,0,20,0,1,34,1,change,1,2,1,1,1,0,2.71,3.67,6.18
147,4,False,1,15,1,20,1,1,45,1,force,2,2,0,1,1,0,1.84,3.42,4.43
148,4,False,1,15,1,43,1,1,28,1,change,1,2,1,0,0,0,2.5,3.14,5.65
149,4,False,0,15,0,14,1,0,40,1,change,1,1,0,0,1,0,2.55,3.44,5.95
