trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,19.03,,
2,1,True,1,15,0,12,0,,,,catch,0,,1,,0,0,3.31,,
3,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,2.12,,
4,1,True,1,15,0,16,0,,,,catch,0,,1,,0,0,2.34,,
5,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,2.44,,
6,1,True,0,15,0,24,1,,,,catch,0,,1,,0,0,2.17,,
7,1,True,0,14,1,17,0,,,,catch,0,,1,,0,0,2.97,,
8,1,True,1,15,0,19,0,,,,catch,0,,1,,0,0,2.33,,
9,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,1.98,,
10,1,True,1,15,1,21,1,,,,catch,0,,1,,0,0,1.93,,
11,1,True,1,14,1,25,1,,,,catch,0,,1,,0,0,2.03,,
12,1,True,0,14,0,28,1,,,,catch,0,,1,,0,0,2.01,,
13,1,True,1,13,1,7,1,,,,catch,0,,1,,0,0,2.87,,
14,1,True,1,13,0,25,0,,,,catch,0,,1,,0,0,1.95,,
15,1,True,1,14,1,27,1,,,,catch,0,,1,,0,0,1.69,,
16,1,True,1,14,0,22,0,,,,catch,0,,1,,0,0,2.23,,
17,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,2.02,,
18,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.47,,
19,1,True,1,14,0,21,0,,,,catch,0,,1,,0,0,2.54,,
20,1,True,1,15,1,32,1,,,,catch,0,,1,,0,0,2.28,,
21,1,True,1,15,0,15,0,,,,catch,0,,1,,0,0,2.18,,
22,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,1.72,,
23,1,True,0,15,0,30,1,,,,catch,0,,1,,0,0,1.79,,
24,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,1.78,,
25,1,True,1,14,1,37,1,,,,catch,0,,1,,0,0,2.26,,
26,1,True,1,13,1,33,1,,,,catch,0,,1,,0,0,2.02,,
27,1,True,0,13,0,23,1,,,,catch,0,,1,,0,0,1.81,,
28,1,True,1,12,1,25,1,,,,catch,0,,1,,0,0,2.21,,
29,1,True,1,12,1,18,1,,,,catch,0,,1,,0,0,2.0,,
30,1,True,0,11,1,16,0,,,,catch,0,,1,,0,0,1.29,,
31,2,True,0,12,0,12,1,,,,catch,0,,1,,0,0,2.5,,
32,2,True,1,12,0,22,0,,,,catch,0,,1,,0,0,1.58,,
33,2,True,0,13,0,15,1,,,,catch,0,,1,,0,0,1.78,,
34,2,True,0,13,0,30,1,,,,catch,0,,1,,0,0,3.07,,
35,2,True,1,12,1,21,1,,,,catch,0,,1,,0,0,1.72,,
36,2,True,0,12,1,13,0,,,,catch,0,,1,,0,0,1.85,,
37,2,True,1,13,1,16,1,,,,catch,0,,1,,0,0,1.32,,
38,2,True,1,13,0,23,0,,,,catch,0,,1,,0,0,2.07,,
39,2,True,1,14,1,26,1,,,,catch,0,,1,,0,0,1.61,,
40,2,True,0,14,0,11,1,,,,catch,0,,1,,0,0,2.81,,
41,2,True,1,13,1,21,1,,,,catch,0,,1,,0,0,2.46,,
42,2,True,0,13,0,19,1,,,,catch,0,,1,,0,0,2.09,,
43,2,True,0,12,1,19,0,,,,catch,0,,1,,0,0,2.19,,
44,2,True,1,13,1,26,1,,,,catch,0,,1,,0,0,2.08,,
45,2,True,0,13,0,25,1,,,,catch,0,,1,,0,0,1.7,,
46,2,True,1,12,1,35,1,,,,catch,0,,1,,0,0,1.72,,
47,2,True,1,12,0,9,0,,,,catch,0,,1,,0,0,1.89,,
48,2,True,1,13,1,24,1,,,,catch,0,,1,,0,0,1.71,,
49,2,True,0,13,1,10,0,,,,catch,0,,1,,0,0,1.76,,
50,2,True,0,14,0,36,1,,,,catch,0,,1,,0,0,2.19,,
51,2,True,1,14,1,42,1,,,,catch,0,,1,,0,0,1.92,,
52,2,True,1,13,1,21,1,,,,catch,0,,1,,0,0,1.81,,
53,2,True,0,13,0,30,1,,,,catch,0,,1,,0,0,1.79,,
54,2,True,0,12,1,11,0,,,,catch,0,,1,,0,0,1.88,,
55,2,True,0,13,0,17,1,,,,catch,0,,1,,0,0,2.36,,
56,2,True,0,13,0,33,1,,,,catch,0,,1,,0,0,1.63,,
57,2,True,1,12,1,28,1,,,,catch,0,,1,,0,0,1.68,,
58,2,True,1,12,1,24,1,,,,catch,0,,1,,0,0,1.9,,
59,2,True,1,11,1,27,1,,,,catch,0,,1,,0,0,1.54,,
60,2,True,0,11,0,16,1,,,,catch,0,,1,,0,0,1.96,,
