trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,8.38,,
2,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,4.85,,
3,1,True,1,15,0,27,0,,,,catch,0,,1,,0,0,3.27,,
4,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.47,,
5,1,True,1,15,0,20,0,,,,catch,0,,1,,0,0,4.46,,
6,1,True,1,15,1,31,1,,,,catch,0,,1,,0,0,3.33,,
7,1,True,1,15,0,39,0,,,,catch,0,,1,,0,0,2.11,,
8,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,3.51,,
9,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,1.77,,
10,1,True,0,14,0,33,1,,,,catch,0,,1,,0,0,3.18,,
11,1,True,1,14,0,34,0,,,,catch,0,,1,,0,0,2.28,,
12,1,True,0,15,1,28,0,,,,catch,0,,1,,0,0,2.05,,
13,1,True,1,15,1,31,1,,,,catch,0,,1,,0,0,2.43,,
14,1,True,0,15,0,35,1,,,,catch,0,,1,,0,0,2.05,,
15,1,True,1,14,0,40,0,,,,catch,0,,1,,0,0,2.09,,
16,1,True,0,15,1,23,0,,,,catch,0,,1,,0,0,1.58,,
17,1,True,0,15,0,38,1,,,,catch,0,,1,,0,0,1.74,,
18,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,2.11,,
19,1,True,0,14,0,32,1,,,,catch,0,,1,,0,0,2.35,,
20,1,True,1,14,1,14,1,,,,catch,0,,1,,0,0,52.86,,
21,1,True,1,13,0,10,0,,,,catch,0,,1,,0,0,1.8,,
22,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,1.91,,
23,1,True,0,14,0,8,1,,,,catch,0,,1,,0,0,2.93,,
24,1,True,0,13,0,35,1,,,,catch,0,,1,,0,0,2.3,,
25,1,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.85,,
26,1,True,0,12,0,28,1,,,,catch,0,,1,,0,0,2.08,,
27,1,True,1,12,1,21,1,,,,catch,0,,1,,0,0,1.97,,
28,1,True,0,11,0,29,1,,,,catch,0,,1,,0,0,2.32,,
