trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,18.24,,
2,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,4.32,,
3,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,16.07,,
4,1,True,0,14,1,12,0,,,,catch,0,,1,,0,0,12.42,,
5,1,True,1,15,0,20,0,,,,catch,0,,1,,0,0,7.55,,
6,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,6.59,,
7,1,True,1,15,0,19,0,,,,catch,0,,1,,0,0,11.71,,
8,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,4.36,,
9,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.55,,
10,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.13,,
11,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,1.77,,
12,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.79,,
13,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.2,,
14,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,1.79,,
15,1,True,1,14,0,29,0,,,,catch,0,,1,,0,0,2.63,,
16,1,True,0,15,0,19,1,,,,catch,0,,1,,0,0,1.94,,
17,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,1.91,,
18,1,True,1,14,0,22,0,,,,catch,0,,1,,0,0,1.32,,
19,1,True,1,15,0,27,0,,,,catch,0,,1,,0,0,6.23,,
20,1,True,1,15,0,19,0,,,,catch,0,,1,,0,0,1.35,,
21,1,True,1,15,0,12,0,,,,catch,0,,1,,0,0,1.36,,
22,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.29,,
23,1,True,1,15,1,17,1,,,,catch,0,,1,,0,0,1.69,,
24,1,True,0,14,1,23,0,,,,catch,0,,1,,0,0,1.89,,
25,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,3.33,,
26,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.47,,
27,1,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.81,,
28,1,True,1,14,0,15,0,,,,catch,0,,1,,0,0,1.73,,
29,1,True,1,15,0,11,0,,,,catch,0,,1,,0,0,1.72,,
30,1,True,1,15,0,22,0,,,,catch,0,,1,,0,0,1.45,,
31,2,True,1,15,1,22,1,,,,catch,0,,1,,0,0,2.11,,
32,2,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.56,,
33,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.36,,
34,2,True,0,15,0,14,1,,,,catch,0,,1,,0,0,1.66,,
35,2,True,1,14,1,21,1,,,,catch,0,,1,,0,0,1.4,,
36,2,True,1,14,1,23,1,,,,catch,0,,1,,0,0,1.14,,
37,2,True,0,13,1,27,0,,,,catch,0,,1,,0,0,1.03,,
38,2,True,1,14,1,21,1,,,,catch,0,,1,,0,0,1.17,,
39,2,True,1,14,1,14,1,,,,catch,0,,1,,0,0,1.36,,
40,2,True,1,13,0,13,0,,,,catch,0,,1,,0,0,2.44,,
41,2,True,0,14,0,10,1,,,,catch,0,,1,,0,0,1.19,,
42,2,True,1,14,0,13,0,,,,catch,0,,1,,0,0,1.38,,
43,2,True,0,15,1,20,0,,,,catch,0,,1,,0,0,1.15,,
44,2,True,1,15,1,17,1,,,,catch,0,,1,,0,0,1.39,,
45,2,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.24,,
46,2,True,0,14,0,21,1,,,,catch,0,,1,,0,0,1.88,,
47,2,True,0,14,0,33,1,,,,catch,0,,1,,0,0,1.84,,
48,2,True,0,13,0,24,1,,,,catch,0,,1,,0,0,2.0,,
49,2,True,0,13,1,26,0,,,,catch,0,,1,,0,0,1.9,,
50,2,True,0,14,0,24,1,,,,catch,0,,1,,0,0,1.8,,
51,2,True,0,14,0,14,1,,,,catch,0,,1,,0,0,2.15,,
52,2,True,1,13,1,21,1,,,,catch,0,,1,,0,0,2.02,,
53,2,True,0,13,0,16,1,,,,catch,0,,1,,0,0,1.43,,
54,2,True,0,12,0,21,1,,,,catch,0,,1,,0,0,1.45,,
55,2,True,1,12,0,12,0,,,,catch,0,,1,,0,0,1.27,,
56,2,True,1,13,1,14,1,,,,catch,0,,1,,0,0,1.59,,
57,2,True,0,13,0,18,1,,,,catch,0,,1,,0,0,1.4,,
58,2,True,0,12,0,22,1,,,,catch,0,,1,,0,0,1.73,,
59,2,True,0,12,0,12,1,,,,catch,0,,1,,0,0,1.37,,
60,2,True,0,11,0,20,1,,,,catch,0,,1,,0,0,1.25,,
61,3,False,0,11,0,20,1,0,21,1,forceblk4,1,1,0,0,1,0,2.38,9.61,10.62
62,3,False,0,11,0,20,1,0,19,1,forceblk4,2,2,0,0,1,0,1.81,4.56,5.57
63,3,False,0,11,0,20,1,0,18,1,forceblk4,1,1,0,1,0,0,1.38,2.25,3.26
64,3,False,1,11,1,25,1,1,24,1,forceblk4,1,1,0,1,1,0,2.14,7.0,8.01
65,3,False,0,11,0,20,1,0,20,1,forceblk4,2,2,0,1,0,0,1.51,1.05,2.06
66,3,False,0,11,0,24,1,0,23,1,forceblk4,2,2,0,0,1,0,1.49,1.79,2.8
67,3,False,1,11,0,14,0,0,14,0,forceblk4,2,2,0,0,0,0,1.58,2.71,3.72
68,3,False,0,11,0,13,1,0,13,1,forceblk4,1,1,0,0,1,0,1.43,0.93,1.93
69,3,False,1,11,1,18,1,1,18,1,forceblk4,1,1,0,0,0,0,1.71,1.08,2.09
70,3,False,0,11,1,23,0,1,23,0,forceblk4,1,1,0,0,1,0,1.81,1.4,2.42
71,3,False,1,11,0,14,0,0,14,0,forceblk4,2,2,0,0,0,0,1.46,1.18,2.19
72,3,False,1,11,1,17,1,1,17,1,forceblk4,2,2,0,1,1,0,1.79,0.91,1.92
73,3,False,1,11,1,18,1,1,19,1,forceblk4,1,1,0,1,1,0,1.45,0.93,1.95
74,3,False,1,11,0,17,0,0,17,0,forceblk4,2,2,0,1,1,0,2.41,1.03,2.03
75,3,False,1,11,1,23,1,1,22,1,forceblk4,2,2,0,1,1,0,1.35,0.96,1.96
76,3,False,1,11,1,19,1,1,19,1,forceblk4,1,1,0,1,1,0,1.82,1.24,2.25
77,3,False,1,11,1,20,1,1,20,1,forceblk4,2,2,0,1,1,0,1.27,0.99,2.01
78,3,False,0,11,1,11,0,1,11,0,forceblk4,1,1,0,0,1,0,1.26,1.17,2.17
79,3,False,1,11,1,18,1,1,18,1,forceblk4,1,1,0,1,1,0,1.32,1.53,2.55
80,3,False,1,11,1,22,1,1,22,1,forceblk4,1,1,0,1,1,0,1.35,1.37,2.38
81,3,False,1,11,1,26,1,1,26,1,forceblk4,2,2,0,1,1,0,1.7,1.0,2.01
82,3,False,1,11,1,22,1,1,22,1,forceblk4,1,1,0,0,0,0,1.52,1.06,2.06
83,3,False,0,11,1,18,0,1,17,0,forceblk4,2,2,0,1,0,0,1.23,0.75,1.75
84,3,False,1,11,1,22,1,1,22,1,forceblk4,2,2,0,1,1,0,1.26,0.94,1.95
85,3,False,1,11,1,25,1,1,25,1,forceblk4,1,1,0,1,1,0,1.32,1.01,2.02
86,3,False,1,11,1,26,1,1,26,1,forceblk4,2,2,0,0,0,0,1.24,1.08,2.08
87,3,False,0,11,1,28,0,1,28,0,forceblk4,1,1,0,1,0,0,1.8,1.38,2.39
88,3,False,1,11,1,23,1,1,23,1,forceblk4,2,2,0,1,1,0,1.23,0.84,1.84
89,3,False,0,11,1,19,0,1,19,0,forceblk4,1,1,0,0,1,0,1.97,1.11,2.11
90,3,False,0,11,0,19,1,0,19,1,forceblk4,2,2,0,0,1,0,1.61,0.83,1.83
91,3,False,0,11,1,15,0,1,15,0,forceblk4,2,2,0,0,1,0,1.67,0.96,1.97
92,3,False,1,11,1,17,1,1,17,1,forceblk4,1,1,0,1,1,0,1.38,1.37,2.38
93,3,False,0,11,1,22,0,1,22,0,forceblk4,1,1,0,1,0,0,1.73,0.82,1.83
94,3,False,0,11,1,11,0,1,11,0,forceblk4,2,2,0,0,1,0,1.4,1.37,2.38
95,3,False,1,11,1,11,1,1,11,1,forceblk4,1,1,0,1,1,0,1.34,1.13,2.13
96,3,False,1,11,1,12,1,1,12,1,forceblk4,2,2,0,1,1,0,1.76,0.92,1.93
97,3,False,0,11,1,16,0,1,16,0,forceblk4,1,1,0,0,1,0,1.25,1.18,2.18
98,3,False,1,11,1,16,1,1,16,1,forceblk4,2,2,0,1,1,0,1.17,1.22,2.22
99,3,False,1,11,1,19,1,1,19,1,forceblk4,1,1,0,1,1,0,1.59,0.93,1.93
100,3,False,0,11,0,19,1,0,19,1,forceblk4,2,2,0,0,1,0,1.4,1.23,2.24
101,3,False,0,11,1,16,0,1,16,0,forceblk4,1,1,0,0,1,0,1.62,0.72,1.73
102,3,False,1,11,1,13,1,1,13,1,forceblk4,2,2,0,1,1,0,2.15,1.31,2.31
103,3,False,1,11,1,16,1,1,16,1,forceblk4,1,1,0,0,0,0,1.52,0.95,1.96
104,3,False,1,11,1,18,1,1,18,1,forceblk4,1,1,0,0,0,0,1.26,0.81,1.82
105,3,False,0,11,0,21,1,0,21,1,forceblk4,2,2,0,1,0,0,2.02,0.83,1.83
106,3,False,1,11,1,23,1,1,23,1,forceblk4,2,2,0,1,1,0,1.85,0.77,1.79
107,3,False,1,11,1,23,1,1,23,1,forceblk4,1,1,0,0,0,0,1.24,0.75,1.75
