trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,21,0,,,,catch,0,,1,,0,0,44.14,,
2,1,True,0,15,1,21,0,,,,catch,0,,1,,0,0,9.19,,
3,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,5.0,,
4,1,True,1,15,0,22,0,,,,catch,0,,1,,0,0,8.28,,
5,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,12.11,,
6,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,4.8,,
7,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,5.27,,
8,1,True,1,15,0,33,0,,,,catch,0,,1,,0,0,4.88,,
9,1,True,1,15,0,27,0,,,,catch,0,,1,,0,0,37.21,,
10,1,True,0,15,0,32,1,,,,catch,0,,1,,0,0,28.42,,
11,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,5.32,,
12,1,True,1,14,0,36,0,,,,catch,0,,1,,0,0,10.16,,
13,1,True,1,15,0,12,0,,,,catch,0,,1,,0,0,2.9,,
14,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,5.45,,
15,1,True,1,15,0,25,0,,,,catch,0,,1,,0,0,35.95,,
16,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,3.54,,
17,1,True,1,15,0,35,0,,,,catch,0,,1,,0,0,5.33,,
18,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,4.23,,
19,1,True,1,15,0,23,0,,,,catch,0,,1,,0,0,5.11,,
20,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,24.36,,
21,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,3.33,,
22,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,26.86,,
23,1,True,1,14,1,35,1,,,,catch,0,,1,,0,0,1.98,,
24,1,True,1,13,0,16,0,,,,catch,0,,1,,0,0,2.4,,
25,1,True,0,14,1,4,0,,,,catch,0,,1,,0,0,1.29,,
26,1,True,1,15,0,28,0,,,,catch,0,,1,,0,0,1.39,,
27,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.59,,
28,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,1.94,,
29,1,True,1,14,0,33,0,,,,catch,0,,1,,0,0,1.32,,
30,1,True,1,15,0,21,0,,,,catch,0,,1,,0,0,1.0,,
31,2,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.98,,
32,2,True,1,15,0,22,0,,,,catch,0,,1,,0,0,9.05,,
33,2,True,0,15,0,22,1,,,,catch,0,,1,,0,0,3.03,,
34,2,True,1,15,0,26,0,,,,catch,0,,1,,0,0,12.37,,
35,2,True,1,15,1,27,1,,,,catch,0,,1,,0,0,1.64,,
36,2,True,0,15,0,8,1,,,,catch,0,,1,,0,0,4.35,,
37,2,True,0,14,1,22,0,,,,catch,0,,1,,0,0,5.03,,
38,2,True,0,15,1,30,0,,,,catch,0,,1,,0,0,1.23,,
39,2,True,1,15,0,31,0,,,,catch,0,,1,,0,0,2.2,,
40,2,True,0,15,0,18,1,,,,catch,0,,1,,0,0,4.31,,
41,2,True,0,15,1,11,0,,,,catch,0,,1,,0,0,2.67,,
42,2,True,1,15,0,17,0,,,,catch,0,,1,,0,0,2.56,,
43,2,True,0,15,0,27,1,,,,catch,0,,1,,0,0,1.8,,
44,2,True,1,15,0,8,0,,,,catch,0,,1,,0,0,1.99,,
45,2,True,0,15,1,15,0,,,,catch,0,,1,,0,0,1.17,,
46,2,True,1,15,0,27,0,,,,catch,0,,1,,0,0,1.18,,
47,2,True,1,15,0,9,0,,,,catch,0,,1,,0,0,1.04,,
48,2,True,1,15,0,22,0,,,,catch,0,,1,,0,0,1.26,,
49,2,True,0,15,1,18,0,,,,catch,0,,1,,0,0,1.36,,
50,2,True,1,15,1,29,1,,,,catch,0,,1,,0,0,1.5,,
51,2,True,1,15,0,5,0,,,,catch,0,,1,,0,0,1.26,,
52,2,True,0,15,1,22,0,,,,catch,0,,1,,0,0,1.87,,
53,2,True,0,15,0,26,1,,,,catch,0,,1,,0,0,2.21,,
54,2,True,1,15,0,22,0,,,,catch,0,,1,,0,0,1.71,,
55,2,True,1,15,1,21,1,,,,catch,0,,1,,0,0,1.88,,
56,2,True,0,15,0,20,1,,,,catch,0,,1,,0,0,1.41,,
57,2,True,0,14,0,20,1,,,,catch,0,,1,,0,0,1.59,,
58,2,True,0,14,1,22,0,,,,catch,0,,1,,0,0,1.69,,
59,2,True,1,15,1,25,1,,,,catch,0,,1,,0,0,2.2,,
60,2,True,1,15,0,30,0,,,,catch,0,,1,,0,0,2.42,,
61,3,False,0,15,1,22,0,0,11,1,forceblk4,2,2,0,0,1,0,12.73,9.99,10.99
62,3,False,0,15,0,25,1,0,25,1,forceblk4,2,2,0,0,1,0,3.35,7.42,8.42
63,3,False,1,15,1,23,1,1,21,1,forceblk4,1,1,0,1,1,0,2.19,5.06,6.06
64,3,False,1,15,0,25,0,0,25,0,forceblk4,2,2,0,0,0,0,2.87,2.05,3.06
65,3,False,1,15,0,9,0,1,11,1,forceblk4,1,1,0,1,1,0,15.96,3.09,4.09
66,3,False,1,15,1,19,1,0,5,0,forceblk4,2,2,0,0,0,0,25.26,2.85,3.86
67,3,False,0,15,1,23,0,1,22,0,forceblk4,1,1,0,0,1,0,2.85,2.75,3.75
68,3,False,1,15,0,18,0,0,9,0,forceblk4,1,1,0,1,1,0,1.88,3.08,4.08
69,3,False,1,15,1,18,1,1,18,1,forceblk4,2,2,0,1,1,0,1.85,2.35,3.35
70,3,False,1,15,0,17,0,1,15,1,forceblk4,1,1,0,1,1,0,1.42,2.83,3.83
71,3,False,1,15,0,30,0,1,7,1,forceblk4,2,2,0,1,1,0,50.14,2.8,3.8
72,3,False,1,15,0,17,0,1,5,1,forceblk4,2,2,0,1,1,0,3.55,2.29,3.3
73,3,False,1,15,1,17,1,1,17,1,forceblk4,1,1,0,0,0,0,1.16,2.12,3.12
74,3,False,1,15,0,16,0,0,15,0,forceblk4,2,2,0,1,1,0,4.23,2.57,3.58
75,3,False,1,15,1,17,1,1,17,1,forceblk4,1,1,0,1,1,0,1.56,1.09,2.1
76,3,False,0,15,0,21,1,0,21,1,forceblk4,2,2,0,0,1,0,0.87,1.45,2.46
77,3,False,0,15,0,21,1,1,4,0,forceblk4,1,1,0,1,0,0,3.39,1.69,2.69
78,3,False,0,15,1,21,0,1,22,0,forceblk4,2,2,0,0,1,0,5.51,3.98,4.98
79,3,False,0,15,1,19,0,0,22,1,forceblk4,2,2,0,0,1,0,2.07,1.65,2.65
80,3,False,1,15,1,21,1,1,21,1,forceblk4,1,1,0,1,1,0,5.23,1.19,2.19
81,3,False,0,15,0,21,1,1,18,0,forceblk4,2,2,0,1,0,0,1.61,2.49,3.5
82,3,False,1,15,1,21,1,1,21,1,forceblk4,1,1,0,1,1,0,1.85,1.33,2.33
83,3,False,0,15,0,18,1,1,15,0,forceblk4,2,2,0,1,0,0,1.46,2.15,3.15
84,3,False,1,15,1,17,1,1,17,1,forceblk4,1,1,0,1,1,0,1.62,1.21,2.21
85,3,False,0,15,0,25,1,0,25,1,forceblk4,1,1,0,0,1,0,1.76,1.41,2.41
86,3,False,1,15,1,23,1,1,23,1,forceblk4,1,1,0,1,1,0,2.2,1.3,2.3
87,3,False,0,15,0,25,1,0,25,1,forceblk4,2,2,0,0,1,0,1.41,1.65,2.66
88,3,False,1,15,0,25,0,1,12,1,forceblk4,1,1,0,1,1,0,1.63,1.92,2.92
89,3,False,1,15,0,20,0,0,19,0,forceblk4,2,2,0,1,1,0,2.13,2.07,3.07
