trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,24.76,,
2,1,True,1,15,0,40,0,,,,catch,0,,1,,0,0,16.46,,
3,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,5.95,,
4,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,5.75,,
5,1,True,0,14,1,25,0,,,,catch,0,,1,,0,0,3.01,,
6,1,True,0,15,1,26,0,,,,catch,0,,1,,0,0,2.62,,
7,1,True,0,15,1,38,0,,,,catch,0,,1,,0,0,3.36,,
8,1,True,0,15,1,39,0,,,,catch,0,,1,,0,0,6.15,,
9,1,True,0,15,0,47,1,,,,catch,0,,1,,0,0,3.85,,
10,1,True,0,15,0,45,1,,,,catch,0,,1,,0,0,2.25,,
11,1,True,1,14,0,46,0,,,,catch,0,,1,,0,0,2.1,,
12,1,True,1,15,0,40,0,,,,catch,0,,1,,0,0,2.15,,
13,1,True,1,15,0,42,0,,,,catch,0,,1,,0,0,2.94,,
14,1,True,0,15,1,38,0,,,,catch,0,,1,,0,0,2.73,,
15,1,True,1,15,0,43,0,,,,catch,0,,1,,0,0,2.4,,
16,1,True,0,15,0,39,1,,,,catch,0,,1,,0,0,2.22,,
17,1,True,1,15,0,38,0,,,,catch,0,,1,,0,0,2.1,,
18,1,True,0,15,0,41,1,,,,catch,0,,1,,0,0,1.98,,
19,1,True,0,15,0,39,1,,,,catch,0,,1,,0,0,1.79,,
20,1,True,1,14,0,39,0,,,,catch,0,,1,,0,0,1.72,,
21,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,2.07,,
22,1,True,1,15,0,39,0,,,,catch,0,,1,,0,0,1.9,,
23,1,True,0,15,0,36,1,,,,catch,0,,1,,0,0,1.7,,
24,1,True,0,15,0,38,1,,,,catch,0,,1,,0,0,1.99,,
25,1,True,1,14,0,43,0,,,,catch,0,,1,,0,0,3.25,,
26,1,True,0,15,0,38,1,,,,catch,0,,1,,0,0,3.64,,
27,1,True,1,15,1,41,1,,,,catch,0,,1,,0,0,1.99,,
28,1,True,0,14,1,41,0,,,,catch,0,,1,,0,0,1.97,,
29,1,True,0,15,0,38,1,,,,catch,0,,1,,0,0,1.96,,
30,1,True,0,15,0,41,1,,,,catch,0,,1,,0,0,1.76,,
31,2,True,0,14,0,43,1,,,,catch,0,,1,,0,0,2.26,,
32,2,True,1,14,0,45,0,,,,catch,0,,1,,0,0,3.03,,
33,2,True,0,15,0,42,1,,,,catch,0,,1,,0,0,1.87,,
34,2,True,0,15,0,44,1,,,,catch,0,,1,,0,0,1.56,,
35,2,True,0,14,0,42,1,,,,catch,0,,1,,0,0,1.81,,
36,2,True,0,14,0,44,1,,,,catch,0,,1,,0,0,2.19,,
37,2,True,1,13,0,43,0,,,,catch,0,,1,,0,0,1.74,,
38,2,True,0,14,0,42,1,,,,catch,0,,1,,0,0,1.95,,
39,2,True,1,14,0,43,0,,,,catch,0,,1,,0,0,1.62,,
40,2,True,1,15,0,41,0,,,,catch,0,,1,,0,0,1.83,,
41,2,True,0,15,1,36,0,,,,catch,0,,1,,0,0,1.87,,
42,2,True,1,15,0,37,0,,,,catch,0,,1,,0,0,2.51,,
43,2,True,1,15,0,3,0,,,,catch,0,,1,,0,0,1.93,,
44,2,True,1,15,0,33,0,,,,catch,0,,1,,0,0,2.63,,
45,2,True,0,15,1,46,0,,,,catch,0,,1,,0,0,2.86,,
46,2,True,0,15,1,3,0,,,,catch,0,,1,,0,0,3.56,,
47,2,True,1,15,0,41,0,,,,catch,0,,1,,0,0,1.74,,
48,2,True,1,15,0,41,0,,,,catch,0,,1,,0,0,3.3,,
49,2,True,0,15,0,43,1,,,,catch,0,,1,,0,0,1.85,,
50,2,True,0,15,0,43,1,,,,catch,0,,1,,0,0,2.03,,
51,2,True,0,14,0,42,1,,,,catch,0,,1,,0,0,1.56,,
52,2,True,0,14,1,42,0,,,,catch,0,,1,,0,0,2.11,,
53,2,True,1,15,0,40,0,,,,catch,0,,1,,0,0,1.97,,
54,2,True,0,15,0,44,1,,,,catch,0,,1,,0,0,1.8,,
