trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,28.12,,
2,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,3.47,,
3,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.12,,
4,1,True,1,14,1,8,1,,,,catch,0,,1,,0,0,4.18,,
5,1,True,1,14,0,14,0,,,,catch,0,,1,,0,0,1.98,,
6,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,1.77,,
7,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.1,,
8,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.81,,
9,1,True,0,14,1,6,0,,,,catch,0,,1,,0,0,2.01,,
10,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.64,,
11,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,1.99,,
12,1,True,0,14,0,21,1,,,,catch,0,,1,,0,0,1.7,,
13,1,True,1,14,0,17,0,,,,catch,0,,1,,0,0,1.69,,
14,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.57,,
15,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,2.01,,
16,1,True,1,14,0,11,0,,,,catch,0,,1,,0,0,2.94,,
17,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,2.07,,
18,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,1.8,,
19,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,3.34,,
20,1,True,1,15,0,10,0,,,,catch,0,,1,,0,0,2.17,,
21,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.05,,
22,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,2.53,,
23,1,True,0,14,0,7,1,,,,catch,0,,1,,0,0,2.66,,
24,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.74,,
25,1,True,0,13,0,21,1,,,,catch,0,,1,,0,0,2.93,,
26,1,True,1,13,1,16,1,,,,catch,0,,1,,0,0,2.24,,
27,1,True,1,12,0,14,0,,,,catch,0,,1,,0,0,3.3,,
28,1,True,0,13,0,2,1,,,,catch,0,,1,,0,0,2.87,,
29,1,True,1,13,1,5,1,,,,catch,0,,1,,0,0,1.31,,
30,1,True,1,12,1,13,1,,,,catch,0,,1,,0,0,1.67,,
31,2,True,0,12,0,5,1,,,,catch,0,,1,,0,0,1.84,,
32,2,True,0,11,1,14,0,,,,catch,0,,1,,0,0,2.77,,
33,2,True,1,12,1,32,1,,,,catch,0,,1,,0,0,2.59,,
34,2,True,0,12,1,8,0,,,,catch,0,,1,,0,0,2.35,,
35,2,True,1,13,1,4,1,,,,catch,0,,1,,0,0,2.58,,
36,2,True,0,13,1,9,0,,,,catch,0,,1,,0,0,2.34,,
37,2,True,0,14,1,8,0,,,,catch,0,,1,,0,0,3.09,,
38,2,True,0,15,0,5,1,,,,catch,0,,1,,0,0,2.23,,
39,2,True,0,15,1,4,0,,,,catch,0,,1,,0,0,2.71,,
40,2,True,0,15,0,7,1,,,,catch,0,,1,,0,0,1.6,,
41,2,True,0,15,0,5,1,,,,catch,0,,1,,0,0,1.46,,
42,2,True,1,14,0,31,0,,,,catch,0,,1,,0,0,2.67,,
43,2,True,1,15,0,3,0,,,,catch,0,,1,,0,0,1.31,,
44,2,True,1,15,0,8,0,,,,catch,0,,1,,0,0,1.46,,
45,2,True,1,15,0,7,0,,,,catch,0,,1,,0,0,1.69,,
46,2,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.56,,
47,2,True,0,15,1,10,0,,,,catch,0,,1,,0,0,1.41,,
48,2,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.63,,
49,2,True,1,15,0,10,0,,,,catch,0,,1,,0,0,1.43,,
50,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.35,,
