trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,29.55,,
2,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,6.74,,
3,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,11.98,,
4,1,True,0,15,0,42,1,,,,catch,0,,1,,0,0,14.43,,
5,1,True,0,14,0,17,1,,,,catch,0,,1,,0,0,19.49,,
6,1,True,1,14,1,20,1,,,,catch,0,,1,,0,0,3.04,,
7,1,True,1,13,1,20,1,,,,catch,0,,1,,0,0,1.82,,
8,1,True,1,13,0,21,0,,,,catch,0,,1,,0,0,1.78,,
9,1,True,1,14,1,33,1,,,,catch,0,,1,,0,0,3.15,,
10,1,True,0,14,1,33,0,,,,catch,0,,1,,0,0,1.61,,
11,1,True,1,15,1,31,1,,,,catch,0,,1,,0,0,1.41,,
12,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,1.64,,
13,1,True,1,14,1,39,1,,,,catch,0,,1,,0,0,1.53,,
14,1,True,0,14,0,35,1,,,,catch,0,,1,,0,0,1.76,,
15,1,True,0,13,0,11,1,,,,catch,0,,1,,0,0,2.67,,
16,1,True,0,13,1,21,0,,,,catch,0,,1,,0,0,2.14,,
17,1,True,1,14,1,27,1,,,,catch,0,,1,,0,0,2.09,,
18,1,True,1,14,1,4,1,,,,catch,0,,1,,0,0,3.12,,
19,1,True,0,13,1,33,0,,,,catch,0,,1,,0,0,1.96,,
20,1,True,1,14,1,28,1,,,,catch,0,,1,,0,0,1.48,,
21,1,True,1,14,1,36,1,,,,catch,0,,1,,0,0,1.36,,
22,1,True,1,13,1,38,1,,,,catch,0,,1,,0,0,1.37,,
23,1,True,0,13,1,24,0,,,,catch,0,,1,,0,0,2.08,,
24,1,True,1,14,0,20,0,,,,catch,0,,1,,0,0,1.32,,
25,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.47,,
26,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,1.14,,
27,1,True,1,14,1,27,1,,,,catch,0,,1,,0,0,1.13,,
28,1,True,0,14,1,31,0,,,,catch,0,,1,,0,0,1.36,,
29,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,1.85,,
30,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,1.4,,
31,2,True,1,15,0,18,0,,,,catch,0,,1,,0,0,1.24,,
32,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.32,,
33,2,True,1,15,1,43,1,,,,catch,0,,1,,0,0,2.08,,
34,2,True,0,14,0,19,1,,,,catch,0,,1,,0,0,1.46,,
35,2,True,1,14,1,18,1,,,,catch,0,,1,,0,0,1.41,,
36,2,True,1,13,1,34,1,,,,catch,0,,1,,0,0,1.24,,
37,2,True,1,13,1,13,1,,,,catch,0,,1,,0,0,2.16,,
38,2,True,0,12,0,22,1,,,,catch,0,,1,,0,0,3.39,,
39,2,True,1,12,1,16,1,,,,catch,0,,1,,0,0,1.22,,
40,2,True,0,11,1,39,0,,,,catch,0,,1,,0,0,1.45,,
41,2,True,0,12,1,25,0,,,,catch,0,,1,,0,0,1.78,,
42,2,True,1,13,0,13,0,,,,catch,0,,1,,0,0,2.02,,
43,2,True,0,14,1,13,0,,,,catch,0,,1,,0,0,1.41,,
44,2,True,1,15,1,11,1,,,,catch,0,,1,,0,0,4.11,,
45,2,True,1,15,1,26,1,,,,catch,0,,1,,0,0,1.61,,
46,2,True,1,14,1,41,1,,,,catch,0,,1,,0,0,1.74,,
47,2,True,0,14,0,40,1,,,,catch,0,,1,,0,0,2.23,,
