trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,50,0,,,,catch,0,,1,,0,0,19.81,,
2,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,20.99,,
3,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,6.38,,
4,1,True,0,14,0,34,1,,,,catch,0,,1,,0,0,4.03,,
5,1,True,1,14,1,11,1,,,,catch,0,,1,,0,0,5.65,,
6,1,True,1,13,0,35,0,,,,catch,0,,1,,0,0,4.15,,
7,1,True,1,14,1,36,1,,,,catch,0,,1,,0,0,4.3,,
8,1,True,1,14,0,38,0,,,,catch,0,,1,,0,0,2.85,,
9,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,10.05,,
10,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,2.12,,
11,1,True,1,14,1,47,1,,,,catch,0,,1,,0,0,2.84,,
12,1,True,1,14,1,47,1,,,,catch,0,,1,,0,0,3.51,,
13,1,True,0,13,0,42,1,,,,catch,0,,1,,0,0,3.65,,
14,1,True,1,13,1,43,1,,,,catch,0,,1,,0,0,2.89,,
15,1,True,1,12,0,50,0,,,,catch,0,,1,,0,0,2.65,,
16,1,True,0,13,0,28,1,,,,catch,0,,1,,0,0,3.97,,
17,1,True,1,13,1,2,1,,,,catch,0,,1,,0,0,6.3,,
18,1,True,0,12,0,45,1,,,,catch,0,,1,,0,0,3.01,,
19,1,True,1,12,1,20,1,,,,catch,0,,1,,0,0,3.81,,
20,1,True,1,11,0,38,0,,,,catch,0,,1,,0,0,2.19,,
21,1,True,0,12,0,41,1,,,,catch,0,,1,,0,0,6.03,,
22,1,True,1,12,1,44,1,,,,catch,0,,1,,0,0,2.31,,
23,1,True,1,11,0,23,0,,,,catch,0,,1,,0,0,2.59,,
24,1,True,0,12,0,36,1,,,,catch,0,,1,,0,0,2.13,,
25,1,True,0,12,0,43,1,,,,catch,0,,1,,0,0,2.47,,
26,1,True,1,11,0,42,0,,,,catch,0,,1,,0,0,2.23,,
27,1,True,1,12,0,41,0,,,,catch,0,,1,,0,0,2.37,,
28,1,True,1,13,1,33,1,,,,catch,0,,1,,0,0,4.32,,
29,1,True,0,13,0,40,1,,,,catch,0,,1,,0,0,2.13,,
30,1,True,0,12,0,41,1,,,,catch,0,,1,,0,0,1.98,,
31,2,True,0,12,0,43,1,,,,catch,0,,1,,0,0,5.79,,
32,2,True,0,11,0,42,1,,,,catch,0,,1,,0,0,2.61,,
33,2,True,0,11,0,50,1,,,,catch,0,,1,,0,0,2.34,,
34,2,True,1,10,1,33,1,,,,catch,0,,1,,0,0,2.28,,
35,2,True,1,10,0,42,0,,,,catch,0,,1,,0,0,2.89,,
36,2,True,1,11,1,8,1,,,,catch,0,,1,,0,0,2.77,,
37,2,True,0,11,0,18,1,,,,catch,0,,1,,0,0,1.89,,
38,2,True,0,10,1,22,0,,,,catch,0,,1,,0,0,2.04,,
39,2,True,1,11,0,38,0,,,,catch,0,,1,,0,0,2.0,,
40,2,True,0,12,1,34,0,,,,catch,0,,1,,0,0,5.56,,
41,2,True,1,13,0,35,0,,,,catch,0,,1,,0,0,2.77,,
42,2,True,1,14,0,48,0,,,,catch,0,,1,,0,0,2.71,,
43,2,True,0,15,0,34,1,,,,catch,0,,1,,0,0,2.42,,
44,2,True,1,15,1,35,1,,,,catch,0,,1,,0,0,1.79,,
45,2,True,1,14,0,35,0,,,,catch,0,,1,,0,0,1.94,,
46,2,True,0,15,1,40,0,,,,catch,0,,1,,0,0,1.83,,
47,2,True,0,15,0,41,1,,,,catch,0,,1,,0,0,2.2,,
48,2,True,0,15,0,5,1,,,,catch,0,,1,,0,0,2.65,,
49,2,True,1,14,0,27,0,,,,catch,0,,1,,0,0,2.45,,
50,2,True,0,15,1,42,0,,,,catch,0,,1,,0,0,1.75,,
