trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,45,1,,,,catch,0,,1,,0,0,26.59,,
2,1,True,1,15,1,21,1,,,,catch,0,,1,,0,0,10.8,,
3,1,True,0,15,0,22,1,,,,catch,0,,1,,0,0,7.98,,
4,1,True,0,14,1,9,0,,,,catch,0,,1,,0,0,3.78,,
5,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.92,,
6,1,True,0,15,0,28,1,,,,catch,0,,1,,0,0,2.17,,
7,1,True,0,14,0,30,1,,,,catch,0,,1,,0,0,5.51,,
8,1,True,1,14,1,28,1,,,,catch,0,,1,,0,0,1.47,,
9,1,True,0,13,1,26,0,,,,catch,0,,1,,0,0,1.43,,
10,1,True,1,14,0,24,0,,,,catch,0,,1,,0,0,1.79,,
11,1,True,0,15,0,21,1,,,,catch,0,,1,,0,0,1.94,,
12,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,2.01,,
13,1,True,0,14,1,17,0,,,,catch,0,,1,,0,0,4.26,,
14,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.15,,
15,1,True,0,15,0,21,1,,,,catch,0,,1,,0,0,1.83,,
16,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,1.86,,
17,1,True,0,14,1,18,0,,,,catch,0,,1,,0,0,1.72,,
18,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.73,,
19,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,1.42,,
20,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,1.6,,
21,1,True,1,15,0,16,0,,,,catch,0,,1,,0,0,1.35,,
22,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,1.1,,
23,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,3.25,,
24,1,True,0,14,0,10,1,,,,catch,0,,1,,0,0,2.55,,
25,1,True,1,14,0,13,0,,,,catch,0,,1,,0,0,1.49,,
26,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,2.27,,
27,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.87,,
28,1,True,1,14,1,15,1,,,,catch,0,,1,,0,0,2.0,,
29,1,True,1,14,1,9,1,,,,catch,0,,1,,0,0,3.95,,
30,1,True,1,13,0,14,0,,,,catch,0,,1,,0,0,1.73,,
31,2,True,1,14,0,12,0,,,,catch,0,,1,,0,0,2.11,,
32,2,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.46,,
33,2,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.56,,
34,2,True,1,14,0,13,0,,,,catch,0,,1,,0,0,1.41,,
35,2,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.0,,
36,2,True,0,15,0,12,1,,,,catch,0,,1,,0,0,1.57,,
37,2,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.51,,
38,2,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.42,,
39,2,True,1,14,0,13,0,,,,catch,0,,1,,0,0,1.47,,
40,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.9,,
41,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.49,,
42,2,True,1,14,1,11,1,,,,catch,0,,1,,0,0,1.91,,
43,2,True,1,14,0,12,0,,,,catch,0,,1,,0,0,1.69,,
44,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.52,,
45,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.38,,
46,2,True,0,14,0,13,1,,,,catch,0,,1,,0,0,1.59,,
47,2,True,1,14,0,19,0,,,,catch,0,,1,,0,0,1.26,,
48,2,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.47,,
49,2,True,1,15,0,11,0,,,,catch,0,,1,,0,0,1.66,,
50,2,True,0,15,1,11,0,,,,catch,0,,1,,0,0,1.5,,
51,2,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.46,,
52,2,True,0,15,0,15,1,,,,catch,0,,1,,0,0,2.63,,
53,2,True,0,14,1,15,0,,,,catch,0,,1,,0,0,1.71,,
54,2,True,0,15,0,12,1,,,,catch,0,,1,,0,0,1.31,,
55,2,True,1,15,0,16,0,,,,catch,0,,1,,0,0,7.93,,
56,2,True,1,15,1,11,1,,,,catch,0,,1,,0,0,1.86,,
57,2,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.65,,
58,2,True,1,14,1,10,1,,,,catch,0,,1,,0,0,1.57,,
59,2,True,1,14,1,11,1,,,,catch,0,,1,,0,0,1.41,,
60,2,True,0,13,0,9,1,,,,catch,0,,1,,0,0,1.65,,
61,3,False,1,13,0,19,0,1,16,1,forceblk4,2,2,0,1,1,0,3.28,3.91,4.92
62,3,False,1,13,0,19,0,0,19,0,forceblk4,1,1,0,0,0,0,1.65,2.32,3.32
