trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,14.29,,
2,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,5.0,,
3,1,True,1,15,0,3,0,,,,catch,0,,1,,0,0,4.92,,
4,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,8.32,,
5,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.86,,
6,1,True,1,14,0,6,0,,,,catch,0,,1,,0,0,4.11,,
7,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,33.36,,
8,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,6.18,,
9,1,True,1,15,0,13,0,,,,catch,0,,1,,0,0,3.86,,
10,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,7.47,,
11,1,True,0,15,0,26,1,,,,catch,0,,1,,0,0,3.1,,
12,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,2.86,,
13,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.93,,
14,1,True,0,13,1,6,0,,,,catch,0,,1,,0,0,4.73,,
15,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,5.42,,
16,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,2.55,,
17,1,True,1,13,0,12,0,,,,catch,0,,1,,0,0,2.53,,
18,1,True,0,14,0,3,1,,,,catch,0,,1,,0,0,4.34,,
19,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,2.72,,
20,1,True,1,13,1,4,1,,,,catch,0,,1,,0,0,2.75,,
21,1,True,0,13,0,1,1,,,,catch,0,,1,,0,0,3.41,,
22,1,True,1,12,1,15,1,,,,catch,0,,1,,0,0,3.2,,
23,1,True,1,12,1,23,1,,,,catch,0,,1,,0,0,2.09,,
24,1,True,0,11,1,1,0,,,,catch,0,,1,,0,0,3.16,,
25,1,True,1,12,1,13,1,,,,catch,0,,1,,0,0,2.8,,
26,1,True,0,12,1,10,0,,,,catch,0,,1,,0,0,2.59,,
27,1,True,0,13,0,4,1,,,,catch,0,,1,,0,0,3.38,,
28,1,True,1,13,1,3,1,,,,catch,0,,1,,0,0,3.38,,
29,1,True,1,12,1,4,1,,,,catch,0,,1,,0,0,4.94,,
30,1,True,0,12,1,11,0,,,,catch,0,,1,,0,0,3.93,,
31,2,True,1,13,1,16,1,,,,catch,0,,1,,0,0,2.45,,
32,2,True,1,13,1,4,1,,,,catch,0,,1,,0,0,3.43,,
33,2,True,0,12,1,7,0,,,,catch,0,,1,,0,0,2.53,,
34,2,True,0,13,0,1,1,,,,catch,0,,1,,0,0,5.09,,
35,2,True,1,13,1,10,1,,,,catch,0,,1,,0,0,2.68,,
36,2,True,0,12,0,12,1,,,,catch,0,,1,,0,0,3.48,,
37,2,True,1,12,1,25,1,,,,catch,0,,1,,0,0,1.89,,
38,2,True,1,11,1,30,1,,,,catch,0,,1,,0,0,2.08,,
39,2,True,1,11,1,15,1,,,,catch,0,,1,,0,0,1.76,,
40,2,True,0,10,1,7,0,,,,catch,0,,1,,0,0,2.88,,
41,2,True,0,11,1,9,0,,,,catch,0,,1,,0,0,2.41,,
42,2,True,0,12,1,2,0,,,,catch,0,,1,,0,0,2.94,,
43,2,True,0,13,0,6,1,,,,catch,0,,1,,0,0,2.27,,
44,2,True,1,13,0,3,0,,,,catch,0,,1,,0,0,3.08,,
45,2,True,0,14,1,6,0,,,,catch,0,,1,,0,0,2.27,,
46,2,True,0,15,1,7,0,,,,catch,0,,1,,0,0,1.87,,
47,2,True,0,15,0,2,1,,,,catch,0,,1,,0,0,3.4,,
48,2,True,1,15,0,2,0,,,,catch,0,,1,,0,0,2.87,,
49,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,5.76,,
50,2,True,0,15,1,5,0,,,,catch,0,,1,,0,0,5.17,,
