trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,48,1,,,,catch,0,,1,,0,0,42.18,,
2,1,True,0,15,0,49,1,,,,catch,0,,1,,0,0,10.73,,
3,1,True,0,15,0,48,1,,,,catch,0,,1,,0,0,20.82,,
4,1,True,1,14,1,47,1,,,,catch,0,,1,,0,0,6.02,,
5,1,True,1,14,0,48,0,,,,catch,0,,1,,0,0,9.23,,
6,1,True,0,15,1,49,0,,,,catch,0,,1,,0,0,10.57,,
7,1,True,0,15,0,36,1,,,,catch,0,,1,,0,0,6.35,,
8,1,True,1,15,1,36,1,,,,catch,0,,1,,0,0,5.19,,
9,1,True,1,14,1,30,1,,,,catch,0,,1,,0,0,4.0,,
10,1,True,0,14,0,34,1,,,,catch,0,,1,,0,0,4.55,,
11,1,True,0,13,0,34,1,,,,catch,0,,1,,0,0,4.46,,
12,1,True,1,13,1,25,1,,,,catch,0,,1,,0,0,2.49,,
13,1,True,1,12,0,33,0,,,,catch,0,,1,,0,0,4.5,,
14,1,True,0,13,0,32,1,,,,catch,0,,1,,0,0,2.52,,
15,1,True,0,13,1,25,0,,,,catch,0,,1,,0,0,11.03,,
16,1,True,0,14,0,28,1,,,,catch,0,,1,,0,0,2.03,,
17,1,True,1,14,1,28,1,,,,catch,0,,1,,0,0,1.9,,
18,1,True,1,13,1,23,1,,,,catch,0,,1,,0,0,2.45,,
19,1,True,1,13,1,28,1,,,,catch,0,,1,,0,0,1.89,,
20,1,True,1,12,1,36,1,,,,catch,0,,1,,0,0,2.42,,
21,1,True,0,12,0,37,1,,,,catch,0,,1,,0,0,5.04,,
22,1,True,1,11,1,29,1,,,,catch,0,,1,,0,0,1.79,,
23,1,True,1,11,1,30,1,,,,catch,0,,1,,0,0,1.59,,
24,1,True,0,10,0,29,1,,,,catch,0,,1,,0,0,1.99,,
25,1,True,1,10,1,35,1,,,,catch,0,,1,,0,0,2.85,,
26,1,True,0,9,0,31,1,,,,catch,0,,1,,0,0,3.23,,
27,1,True,1,9,1,32,1,,,,catch,0,,1,,0,0,1.66,,
28,1,True,0,8,1,33,0,,,,catch,0,,1,,0,0,1.54,,
29,1,True,1,9,1,32,1,,,,catch,0,,1,,0,0,1.58,,
30,1,True,1,9,1,29,1,,,,catch,0,,1,,0,0,1.74,,
31,2,True,0,8,1,29,0,,,,catch,0,,1,,0,0,2.6,,
32,2,True,1,9,1,27,1,,,,catch,0,,1,,0,0,2.98,,
33,2,True,1,9,1,24,1,,,,catch,0,,1,,0,0,4.38,,
34,2,True,1,8,1,30,1,,,,catch,0,,1,,0,0,2.91,,
35,2,True,1,8,1,31,1,,,,catch,0,,1,,0,0,2.48,,
36,2,True,1,7,1,32,1,,,,catch,0,,1,,0,0,2.49,,
37,2,True,1,7,1,30,1,,,,catch,0,,1,,0,0,2.26,,
38,2,True,1,6,1,30,1,,,,catch,0,,1,,0,0,4.02,,
39,2,True,0,6,1,27,0,,,,catch,0,,1,,0,0,2.69,,
40,2,True,0,7,1,31,0,,,,catch,0,,1,,0,0,3.72,,
41,2,True,1,8,1,33,1,,,,catch,0,,1,,0,0,1.67,,
42,2,True,0,8,0,28,1,,,,catch,0,,1,,0,0,3.17,,
43,2,True,1,7,1,26,1,,,,catch,0,,1,,0,0,6.28,,
44,2,True,1,7,1,34,1,,,,catch,0,,1,,0,0,3.28,,
45,2,True,0,6,0,23,1,,,,catch,0,,1,,0,0,6.62,,
46,2,True,0,6,1,24,0,,,,catch,0,,1,,0,0,3.85,,
47,2,True,0,7,0,26,1,,,,catch,0,,1,,0,0,10.23,,
48,2,True,0,7,1,22,0,,,,catch,0,,1,,0,0,4.47,,
49,2,True,0,8,1,24,0,,,,catch,0,,1,,0,0,3.93,,
