trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,9.25,,
2,1,True,1,15,0,3,0,,,,catch,0,,1,,0,0,7.31,,
3,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,3.29,,
4,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,5.47,,
5,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.31,,
6,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.95,,
7,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.9,,
8,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,2.26,,
9,1,True,1,14,0,2,0,,,,catch,0,,1,,0,0,1.88,,
10,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.99,,
11,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.83,,
12,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.78,,
13,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.61,,
14,1,True,0,14,1,3,0,,,,catch,0,,1,,0,0,1.81,,
15,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,1.7,,
16,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.95,,
17,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.94,,
18,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.68,,
19,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.91,,
20,1,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.61,,
21,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.76,,
22,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.73,,
23,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.72,,
24,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.62,,
25,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.75,,
26,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.41,,
27,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.45,,
28,1,True,1,14,1,3,1,,,,catch,0,,1,,0,0,1.41,,
29,1,True,1,14,0,1,0,,,,catch,0,,1,,0,0,1.73,,
30,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.5,,
31,2,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.98,,
32,2,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.59,,
33,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.65,,
34,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.79,,
35,2,True,1,14,1,3,1,,,,catch,0,,1,,0,0,1.69,,
36,2,True,0,14,1,2,0,,,,catch,0,,1,,0,0,2.17,,
37,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.7,,
38,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.11,,
39,2,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.91,,
40,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.72,,
41,2,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.68,,
42,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.8,,
43,2,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.72,,
44,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.75,,
45,2,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.99,,
46,2,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.55,,
47,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.55,,
48,2,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.71,,
49,2,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.6,,
50,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.5,,
51,2,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.95,,
52,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.45,,
53,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.52,,
54,2,True,1,14,0,1,0,,,,catch,0,,1,,0,0,1.45,,
55,2,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.81,,
56,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.66,,
57,2,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.47,,
58,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.65,,
59,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.49,,
60,2,True,0,14,0,2,1,,,,catch,0,,1,,0,0,1.48,,
61,3,False,1,14,1,2,1,1,3,1,forceblk4,2,2,0,0,0,0,2.69,4.92,5.93
62,3,False,1,14,1,3,1,1,2,1,forceblk4,2,2,0,1,1,0,2.28,2.76,3.77
63,3,False,0,14,1,2,0,1,2,0,forceblk4,1,1,0,1,0,0,1.99,3.05,4.05
64,3,False,1,14,0,2,0,0,1,0,forceblk4,2,2,0,0,0,0,1.88,2.61,3.61
65,3,False,0,14,1,3,0,1,3,0,forceblk4,1,1,0,0,1,0,1.89,2.47,3.47
66,3,False,1,14,0,1,0,0,1,0,forceblk4,1,1,0,0,0,0,1.8,2.4,3.41
67,3,False,0,14,1,4,0,1,2,0,forceblk4,2,2,0,0,1,0,1.75,2.05,3.06
68,3,False,0,14,0,3,1,0,2,1,forceblk4,1,1,0,0,1,0,3.79,2.34,3.35
69,3,False,0,14,0,2,1,0,1,1,forceblk4,2,2,0,0,1,0,2.9,2.33,3.33
70,3,False,0,14,0,2,1,0,1,1,forceblk4,1,1,0,1,0,0,1.96,1.84,2.85
71,3,False,0,14,1,3,0,1,3,0,forceblk4,2,2,0,0,1,0,1.95,2.61,3.62
72,3,False,1,14,1,3,1,1,2,1,forceblk4,1,1,0,1,1,0,2.02,2.44,3.45
73,3,False,0,14,1,2,0,1,2,0,forceblk4,2,2,0,1,0,0,2.03,2.25,3.25
74,3,False,1,14,1,3,1,1,3,1,forceblk4,2,2,0,1,1,0,1.76,2.14,3.15
75,3,False,0,14,0,2,1,0,2,1,forceblk4,1,1,0,0,1,0,1.85,1.71,2.71
76,3,False,1,14,1,3,1,1,3,1,forceblk4,1,1,0,0,0,0,1.77,1.74,2.74
77,3,False,1,14,1,3,1,1,3,1,forceblk4,2,2,0,1,1,0,1.61,1.24,2.24
78,3,False,1,14,0,1,0,0,1,0,forceblk4,2,2,0,1,1,0,1.7,1.77,2.78
79,3,False,0,14,1,2,0,1,2,0,forceblk4,1,1,0,0,1,0,1.93,2.01,3.02
80,3,False,0,14,0,4,1,0,3,1,forceblk4,1,1,0,0,1,0,1.65,2.88,3.89
81,3,False,0,14,0,3,1,0,3,1,forceblk4,2,2,0,0,1,0,1.76,2.15,3.16
82,3,False,1,14,1,3,1,1,3,1,forceblk4,1,1,0,1,1,0,1.94,1.64,2.65
83,3,False,0,14,1,3,0,1,3,0,forceblk4,2,2,0,0,1,0,1.73,1.62,2.63
84,3,False,0,14,0,3,1,0,2,1,forceblk4,1,1,0,0,1,0,1.79,1.92,2.92
85,3,False,1,14,1,3,1,1,3,1,forceblk4,2,2,0,1,1,0,2.22,1.54,2.55
