trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,5.0,,
2,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.29,,
3,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,5.76,,
4,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,1.45,,
5,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.85,,
6,1,True,1,14,1,15,1,,,,catch,0,,1,,0,0,1.76,,
7,1,True,0,14,0,3,1,,,,catch,0,,1,,0,0,2.16,,
8,1,True,0,13,1,5,0,,,,catch,0,,1,,0,0,1.46,,
9,1,True,1,14,0,8,0,,,,catch,0,,1,,0,0,1.44,,
10,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,1.61,,
11,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.89,,
12,1,True,0,14,1,6,0,,,,catch,0,,1,,0,0,1.65,,
13,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,1.58,,
14,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,1.77,,
15,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.88,,
16,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.9,,
17,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,1.49,,
18,1,True,1,14,1,6,1,,,,catch,0,,1,,0,0,1.56,,
19,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,1.48,,
20,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,1.7,,
21,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.73,,
22,1,True,0,14,0,11,1,,,,catch,0,,1,,0,0,1.56,,
23,1,True,1,14,1,5,1,,,,catch,0,,1,,0,0,1.47,,
24,1,True,0,13,1,5,0,,,,catch,0,,1,,0,0,1.34,,
25,1,True,1,14,1,6,1,,,,catch,0,,1,,0,0,2.06,,
26,1,True,1,14,1,7,1,,,,catch,0,,1,,0,0,1.27,,
27,1,True,0,13,1,8,0,,,,catch,0,,1,,0,0,1.19,,
28,1,True,0,14,1,4,0,,,,catch,0,,1,,0,0,2.05,,
29,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.7,,
30,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.42,,
31,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.52,,
32,2,True,0,15,0,38,1,,,,catch,0,,1,,0,0,2.16,,
33,2,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.45,,
34,2,True,1,14,0,14,0,,,,catch,0,,1,,0,0,1.36,,
35,2,True,0,15,0,14,1,,,,catch,0,,1,,0,0,1.41,,
36,2,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.46,,
37,2,True,1,14,0,9,0,,,,catch,0,,1,,0,0,1.42,,
38,2,True,1,15,0,3,0,,,,catch,0,,1,,0,0,1.53,,
39,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.98,,
40,2,True,1,15,1,4,1,,,,catch,0,,1,,0,0,1.48,,
41,2,True,1,15,0,16,0,,,,catch,0,,1,,0,0,1.53,,
42,2,True,1,15,1,4,1,,,,catch,0,,1,,0,0,1.51,,
43,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,1.42,,
44,2,True,1,14,0,7,0,,,,catch,0,,1,,0,0,1.55,,
45,2,True,1,15,1,6,1,,,,catch,0,,1,,0,0,1.28,,
46,2,True,1,15,0,18,0,,,,catch,0,,1,,0,0,1.39,,
47,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.81,,
48,2,True,1,15,1,7,1,,,,catch,0,,1,,0,0,1.31,,
49,2,True,1,14,0,3,0,,,,catch,0,,1,,0,0,1.94,,
50,2,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.4,,
51,2,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.38,,
52,2,True,1,14,0,1,0,,,,catch,0,,1,,0,0,1.64,,
53,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.82,,
54,2,True,0,15,0,23,1,,,,catch,0,,1,,0,0,1.46,,
55,2,True,0,15,1,5,0,,,,catch,0,,1,,0,0,1.49,,
56,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.39,,
57,2,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.35,,
58,2,True,1,14,0,10,0,,,,catch,0,,1,,0,0,1.24,,
59,2,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.43,,
60,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,2.02,,
61,3,False,0,14,1,6,0,1,8,0,forceblk4,2,2,0,1,0,0,2.14,4.48,5.49
62,3,False,0,14,0,23,1,0,29,1,forceblk4,1,1,0,0,1,0,1.63,1.5,2.5
63,3,False,0,14,1,3,0,0,2,1,forceblk4,2,2,0,0,1,0,2.44,2.93,3.93
64,3,False,1,14,1,6,1,0,2,0,forceblk4,1,1,0,0,0,0,1.61,2.34,3.35
65,3,False,1,14,0,4,0,1,4,1,forceblk4,2,2,0,1,1,0,1.52,1.69,2.7
66,3,False,1,14,1,6,1,1,8,1,forceblk4,1,1,0,1,1,0,1.43,1.39,2.39
67,3,False,0,14,0,22,1,0,27,1,forceblk4,2,2,0,0,1,0,2.03,1.16,2.17
68,3,False,0,14,0,5,1,0,9,1,forceblk4,1,1,0,0,1,0,1.97,1.34,2.34
69,3,False,1,14,1,5,1,1,12,1,forceblk4,2,2,0,1,1,0,1.75,1.23,2.24
70,3,False,1,14,1,16,1,1,20,1,forceblk4,1,1,0,1,1,0,1.53,1.8,2.81
71,3,False,1,14,1,25,1,1,31,1,forceblk4,1,1,0,1,1,0,1.92,1.46,2.47
72,3,False,1,14,1,22,1,1,33,1,forceblk4,2,2,0,1,1,0,1.66,1.25,2.26
73,3,False,0,14,1,18,0,1,7,0,forceblk4,1,1,0,0,1,0,1.38,1.93,2.94
74,3,False,1,14,1,25,1,1,30,1,forceblk4,2,2,0,1,1,0,1.56,0.99,2.0
75,3,False,1,14,1,26,1,1,29,1,forceblk4,1,1,0,1,1,0,1.38,1.0,2.01
76,3,False,0,14,0,8,1,0,2,1,forceblk4,2,2,0,1,0,0,1.52,2.09,3.09
77,3,False,1,14,1,26,1,1,33,1,forceblk4,2,2,0,1,1,0,1.48,1.29,2.3
78,3,False,1,14,1,26,1,1,26,1,forceblk4,1,1,0,1,1,0,1.58,1.66,2.66
79,3,False,1,14,1,31,1,1,5,1,forceblk4,2,2,0,0,0,0,1.19,1.78,2.79
80,3,False,0,14,0,9,1,0,1,1,forceblk4,1,1,0,1,0,0,1.37,1.53,2.53
81,3,False,1,14,1,16,1,1,4,1,forceblk4,2,2,0,0,0,0,1.41,1.37,2.37
82,3,False,1,14,1,17,1,1,22,1,forceblk4,1,1,0,1,1,0,1.25,1.29,2.3
83,3,False,1,14,0,6,0,0,11,0,forceblk4,2,2,0,0,0,0,1.48,1.25,2.26
84,3,False,0,14,0,21,1,0,23,1,forceblk4,1,1,0,0,1,0,1.5,1.34,2.35
85,3,False,0,14,1,10,0,1,4,0,forceblk4,2,2,0,0,1,0,1.41,1.89,2.9
86,3,False,1,14,0,7,0,0,2,0,forceblk4,1,1,0,1,1,0,1.31,1.44,2.44
87,3,False,0,14,0,21,1,0,3,1,forceblk4,2,2,0,1,0,0,1.75,1.8,2.81
88,3,False,1,14,1,14,1,1,16,1,forceblk4,1,1,0,1,1,0,1.58,1.67,2.67
89,3,False,0,14,0,28,1,0,20,1,forceblk4,1,1,0,1,0,0,1.56,1.35,2.36
90,3,False,0,14,1,4,0,0,4,1,forceblk4,2,2,0,0,1,0,1.97,1.42,2.42
91,3,False,0,14,0,10,1,0,13,1,forceblk4,1,1,0,0,1,0,1.52,1.45,2.46
92,3,False,0,14,0,12,1,0,16,1,forceblk4,2,2,0,0,1,0,1.32,1.3,2.3
93,3,False,0,14,0,15,1,0,18,1,forceblk4,1,1,0,0,1,0,1.24,1.3,2.3
94,3,False,1,14,1,5,1,1,14,1,forceblk4,2,2,0,1,1,0,1.51,1.92,2.93
95,3,False,0,14,0,9,1,0,5,1,forceblk4,1,1,0,1,0,0,1.4,1.38,2.39
96,3,False,1,14,1,9,1,1,15,1,forceblk4,2,2,0,1,1,0,1.58,1.21,2.22
97,3,False,0,14,0,15,1,0,23,1,forceblk4,1,1,0,0,1,0,1.43,1.12,2.12
98,3,False,0,14,0,7,1,0,12,1,forceblk4,2,2,0,0,1,0,1.99,1.37,2.37
99,3,False,0,14,0,14,1,0,5,1,forceblk4,1,1,0,1,0,0,1.23,1.36,2.36
100,3,False,0,14,0,22,1,0,26,1,forceblk4,2,2,0,0,1,0,1.37,1.09,2.1
101,3,False,0,14,1,5,0,0,2,1,forceblk4,2,2,0,0,1,0,1.62,2.94,3.95
102,3,False,0,14,1,12,0,1,6,0,forceblk4,1,1,0,0,1,0,1.85,1.38,2.39
103,3,False,0,14,1,8,0,1,11,0,forceblk4,2,2,0,1,0,0,1.42,1.8,2.8
104,3,False,1,14,1,7,1,1,10,1,forceblk4,1,1,0,1,1,0,1.25,1.29,2.3
105,3,False,0,14,1,9,0,1,4,0,forceblk4,2,2,0,0,1,0,1.28,1.43,2.44
106,3,False,0,14,0,6,1,0,10,1,forceblk4,1,1,0,0,1,0,1.48,1.3,2.31
107,3,False,0,14,1,6,0,1,2,0,forceblk4,2,2,0,0,1,0,1.44,1.64,2.65
108,3,False,1,14,0,4,0,0,9,0,forceblk4,1,1,0,0,0,0,1.45,1.1,2.11
109,3,False,0,14,0,8,1,0,13,1,forceblk4,2,2,0,0,1,0,1.41,1.42,2.43
110,3,False,1,14,1,8,1,1,17,1,forceblk4,1,1,0,1,1,0,1.53,1.07,2.08
111,3,False,0,14,0,4,1,1,4,0,forceblk4,2,2,0,1,0,0,1.32,2.26,3.27
112,3,False,0,14,0,21,1,0,27,1,forceblk4,1,1,0,0,1,0,1.77,1.92,2.93
113,3,False,0,14,0,23,1,0,27,1,forceblk4,1,1,0,0,1,0,1.33,1.83,2.83
114,3,False,0,14,1,4,0,1,15,0,forceblk4,2,2,0,1,0,0,1.56,1.15,2.16
115,3,False,1,14,1,17,1,1,19,1,forceblk4,1,1,0,1,1,0,1.14,1.47,2.47
116,3,False,1,14,1,18,1,1,21,1,forceblk4,2,2,0,1,1,0,1.24,1.2,2.21
117,3,False,0,14,0,4,1,0,19,1,forceblk4,1,1,0,0,1,0,1.69,1.94,2.95
