trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,23,1,,,,catch,0,,1,,0,0,9.97,,
2,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,5.51,,
3,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,7.45,,
4,1,True,1,15,0,24,0,,,,catch,0,,1,,0,0,3.67,,
5,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,3.0,,
6,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,4.14,,
7,1,True,1,14,1,10,1,,,,catch,0,,1,,0,0,4.97,,
8,1,True,0,14,1,11,0,,,,catch,0,,1,,0,0,3.43,,
9,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,4.8,,
10,1,True,0,15,1,37,0,,,,catch,0,,1,,0,0,2.98,,
11,1,True,1,15,0,26,0,,,,catch,0,,1,,0,0,4.43,,
12,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,2.29,,
13,1,True,1,15,1,32,1,,,,catch,0,,1,,0,0,2.54,,
14,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,6.1,,
15,1,True,1,15,0,16,0,,,,catch,0,,1,,0,0,4.01,,
16,1,True,0,15,0,32,1,,,,catch,0,,1,,0,0,3.22,,
17,1,True,1,15,1,42,1,,,,catch,0,,1,,0,0,2.49,,
18,1,True,0,14,1,25,0,,,,catch,0,,1,,0,0,5.47,,
19,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,3.51,,
20,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,3.92,,
21,1,True,0,14,0,50,1,,,,catch,0,,1,,0,0,3.38,,
22,1,True,1,14,1,46,1,,,,catch,0,,1,,0,0,2.86,,
23,1,True,1,13,1,50,1,,,,catch,0,,1,,0,0,3.7,,
24,1,True,0,13,0,35,1,,,,catch,0,,1,,0,0,4.36,,
25,1,True,1,12,1,46,1,,,,catch,0,,1,,0,0,2.47,,
26,1,True,0,12,1,33,0,,,,catch,0,,1,,0,0,2.95,,
27,1,True,1,13,1,44,1,,,,catch,0,,1,,0,0,2.17,,
28,1,True,1,13,1,48,1,,,,catch,0,,1,,0,0,2.19,,
29,1,True,0,12,0,8,1,,,,catch,0,,1,,0,0,4.1,,
30,1,True,0,12,0,15,1,,,,catch,0,,1,,0,0,3.08,,
31,2,True,1,11,1,12,1,,,,catch,0,,1,,0,0,13.73,,
32,2,True,0,11,1,8,0,,,,catch,0,,1,,0,0,2.79,,
33,2,True,1,12,1,23,1,,,,catch,0,,1,,0,0,2.07,,
34,2,True,0,12,0,11,1,,,,catch,0,,1,,0,0,3.15,,
35,2,True,0,11,0,8,1,,,,catch,0,,1,,0,0,4.05,,
36,2,True,0,11,1,7,0,,,,catch,0,,1,,0,0,4.19,,
37,2,True,0,12,0,48,1,,,,catch,0,,1,,0,0,3.16,,
38,2,True,0,12,0,49,1,,,,catch,0,,1,,0,0,3.56,,
39,2,True,1,11,1,24,1,,,,catch,0,,1,,0,0,5.47,,
40,2,True,0,11,0,44,1,,,,catch,0,,1,,0,0,2.83,,
41,2,True,1,10,0,9,0,,,,catch,0,,1,,0,0,4.67,,
42,2,True,0,11,1,6,0,,,,catch,0,,1,,0,0,4.41,,
43,2,True,1,12,0,12,0,,,,catch,0,,1,,0,0,3.9,,
44,2,True,1,13,0,6,0,,,,catch,0,,1,,0,0,4.21,,
45,2,True,0,14,0,48,1,,,,catch,0,,1,,0,0,2.63,,
46,2,True,1,14,1,3,1,,,,catch,0,,1,,0,0,4.08,,
47,2,True,0,13,1,42,0,,,,catch,0,,1,,0,0,2.76,,
48,2,True,1,14,1,48,1,,,,catch,0,,1,,0,0,1.87,,
49,2,True,1,14,1,49,1,,,,catch,0,,1,,0,0,2.39,,
50,2,True,0,13,1,49,0,,,,catch,0,,1,,0,0,3.42,,
51,2,True,1,14,1,48,1,,,,catch,0,,1,,0,0,3.26,,
52,2,True,1,14,1,8,1,,,,catch,0,,1,,0,0,2.88,,
53,2,True,0,13,1,3,0,,,,catch,0,,1,,0,0,4.97,,
54,2,True,1,14,1,14,1,,,,catch,0,,1,,0,0,2.44,,
55,2,True,1,14,1,45,1,,,,catch,0,,1,,0,0,2.54,,
56,2,True,0,13,1,45,0,,,,catch,0,,1,,0,0,1.92,,
57,2,True,1,14,1,23,1,,,,catch,0,,1,,0,0,2.19,,
58,2,True,1,14,0,18,0,,,,catch,0,,1,,0,0,2.87,,
59,2,True,1,15,1,47,1,,,,catch,0,,1,,0,0,2.24,,
60,2,True,1,15,1,32,1,,,,catch,0,,1,,0,0,3.22,,
61,3,False,0,14,1,13,0,1,13,0,forceblk4,1,1,0,0,1,0,2.68,5.01,6.02
62,3,False,0,14,0,10,1,0,40,1,forceblk4,2,2,0,0,1,0,2.93,3.41,4.41
63,3,False,0,14,1,3,0,0,8,1,forceblk4,1,1,0,0,1,0,3.04,3.31,4.31
64,3,False,1,14,0,26,0,0,26,0,forceblk4,1,1,0,0,0,0,4.7,4.48,5.48
65,3,False,0,14,1,7,0,1,7,0,forceblk4,2,2,0,0,1,0,2.87,3.95,4.96
66,3,False,0,14,0,37,1,0,44,1,forceblk4,2,2,0,0,1,0,3.26,2.29,3.29
67,3,False,0,14,1,19,0,1,5,0,forceblk4,1,1,0,0,1,0,3.61,3.86,4.86
68,3,False,0,14,0,16,1,1,23,0,forceblk4,2,2,0,1,0,0,2.74,3.89,4.89
69,3,False,0,14,1,9,0,1,9,0,forceblk4,1,1,0,0,1,0,2.95,2.01,3.01
70,3,False,0,14,0,12,1,0,35,1,forceblk4,2,2,0,0,1,0,2.14,2.33,3.33
71,3,False,1,14,1,39,1,1,39,1,forceblk4,1,1,0,1,1,0,4.25,2.12,3.13
72,3,False,1,14,1,25,1,1,25,1,forceblk4,1,1,0,1,1,0,2.12,1.76,2.77
73,3,False,0,14,0,43,1,0,47,1,forceblk4,2,2,0,0,1,0,2.6,2.26,3.27
74,3,False,1,14,1,10,1,1,35,1,forceblk4,2,2,0,1,1,0,2.59,2.8,3.8
75,3,False,0,14,1,36,0,1,36,0,forceblk4,1,1,0,0,1,0,2.23,2.48,3.49
76,3,False,1,14,1,33,1,1,39,1,forceblk4,2,2,0,1,1,0,2.6,2.5,3.51
