trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,4.39,,
2,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,3.18,,
3,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,2.67,,
4,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,2.66,,
5,1,True,1,14,0,14,0,,,,catch,0,,1,,0,0,2.73,,
6,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,2.97,,
7,1,True,0,15,1,13,0,,,,catch,0,,1,,0,0,2.46,,
8,1,True,1,15,0,12,0,,,,catch,0,,1,,0,0,2.29,,
9,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.26,,
10,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.29,,
11,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,2.87,,
12,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.19,,
13,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,2.17,,
14,1,True,1,15,1,17,1,,,,catch,0,,1,,0,0,2.54,,
15,1,True,1,14,0,16,0,,,,catch,0,,1,,0,0,2.35,,
16,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,2.06,,
17,1,True,1,15,1,17,1,,,,catch,0,,1,,0,0,2.03,,
18,1,True,1,15,0,20,0,,,,catch,0,,1,,0,0,2.24,,
19,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,1.93,,
20,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,3.46,,
21,1,True,0,14,1,13,0,,,,catch,0,,1,,0,0,3.18,,
22,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.09,,
23,1,True,1,15,0,12,0,,,,catch,0,,1,,0,0,2.1,,
24,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.88,,
25,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,2.37,,
26,1,True,0,15,0,22,1,,,,catch,0,,1,,0,0,2.32,,
27,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,2.01,,
28,1,True,1,14,1,10,1,,,,catch,0,,1,,0,0,2.19,,
29,1,True,1,14,0,10,0,,,,catch,0,,1,,0,0,1.93,,
30,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,2.38,,
31,2,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.02,,
32,2,True,1,14,0,12,0,,,,catch,0,,1,,0,0,2.4,,
33,2,True,0,15,1,21,0,,,,catch,0,,1,,0,0,2.18,,
34,2,True,1,15,1,13,1,,,,catch,0,,1,,0,0,2.1,,
35,2,True,1,15,0,17,0,,,,catch,0,,1,,0,0,2.12,,
36,2,True,0,15,1,11,0,,,,catch,0,,1,,0,0,2.3,,
37,2,True,1,15,0,12,0,,,,catch,0,,1,,0,0,1.96,,
38,2,True,1,15,1,17,1,,,,catch,0,,1,,0,0,2.08,,
39,2,True,0,15,1,15,0,,,,catch,0,,1,,0,0,2.29,,
40,2,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.89,,
41,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.93,,
42,2,True,0,14,1,15,0,,,,catch,0,,1,,0,0,1.99,,
43,2,True,1,15,0,14,0,,,,catch,0,,1,,0,0,1.89,,
44,2,True,1,15,1,19,1,,,,catch,0,,1,,0,0,2.92,,
45,2,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.96,,
46,2,True,0,14,0,18,1,,,,catch,0,,1,,0,0,1.93,,
47,2,True,1,14,0,21,0,,,,catch,0,,1,,0,0,1.86,,
48,2,True,0,15,1,8,0,,,,catch,0,,1,,0,0,2.13,,
49,2,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.94,,
50,2,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.64,,
51,2,True,0,15,0,16,1,,,,catch,0,,1,,0,0,2.0,,
52,2,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.0,,
53,2,True,0,14,1,13,0,,,,catch,0,,1,,0,0,2.01,,
54,2,True,0,15,0,14,1,,,,catch,0,,1,,0,0,1.98,,
55,2,True,0,15,1,12,0,,,,catch,0,,1,,0,0,1.89,,
56,2,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.81,,
57,2,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.92,,
58,2,True,1,14,1,15,1,,,,catch,0,,1,,0,0,1.84,,
59,2,True,0,14,0,17,1,,,,catch,0,,1,,0,0,2.24,,
60,2,True,0,13,0,25,1,,,,catch,0,,1,,0,0,2.04,,
61,3,False,1,13,1,14,1,1,15,1,forceblk4,1,1,0,1,1,0,4.75,2.9,3.9
