trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,11.65,,
2,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.52,,
3,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.17,,
4,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,2.2,,
5,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,1.62,,
6,1,True,1,15,0,11,0,,,,catch,0,,1,,0,0,1.73,,
7,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,0.91,,
8,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,0.9,,
9,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,0.98,,
10,1,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.18,,
11,1,True,1,14,0,10,0,,,,catch,0,,1,,0,0,0.85,,
12,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,1.1,,
13,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,2.38,,
14,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.4,,
15,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.43,,
16,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.11,,
17,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.2,,
18,1,True,0,14,0,11,1,,,,catch,0,,1,,0,0,1.33,,
19,1,True,0,14,0,23,1,,,,catch,0,,1,,0,0,1.96,,
20,1,True,0,13,0,10,1,,,,catch,0,,1,,0,0,1.29,,
21,1,True,1,13,0,6,0,,,,catch,0,,1,,0,0,1.83,,
22,1,True,1,14,0,6,0,,,,catch,0,,1,,0,0,1.27,,
23,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.67,,
24,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.03,,
25,1,True,1,14,0,12,0,,,,catch,0,,1,,0,0,1.37,,
