trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,48,0,,,,catch,0,,1,,0,0,7.05,,
2,1,True,1,15,1,31,1,,,,catch,0,,1,,0,0,4.67,,
3,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,2.99,,
4,1,True,1,14,1,20,1,,,,catch,0,,1,,0,0,2.62,,
5,1,True,1,14,1,18,1,,,,catch,0,,1,,0,0,1.58,,
6,1,True,0,13,1,17,0,,,,catch,0,,1,,0,0,1.44,,
7,1,True,0,14,0,9,1,,,,catch,0,,1,,0,0,1.66,,
8,1,True,0,14,0,14,1,,,,catch,0,,1,,0,0,1.83,,
9,1,True,1,13,0,15,0,,,,catch,0,,1,,0,0,2.25,,
10,1,True,0,14,1,6,0,,,,catch,0,,1,,0,0,1.61,,
11,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,13.84,,
12,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.74,,
13,1,True,0,14,1,17,0,,,,catch,0,,1,,0,0,2.0,,
14,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,2.37,,
15,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,2.03,,
16,1,True,1,15,0,33,0,,,,catch,0,,1,,0,0,1.81,,
17,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,2.39,,
18,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,1.82,,
19,1,True,1,15,0,21,0,,,,catch,0,,1,,0,0,2.12,,
20,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.53,,
21,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,1.53,,
22,1,True,1,15,0,20,0,,,,catch,0,,1,,0,0,1.8,,
23,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,1.7,,
24,1,True,1,15,0,14,0,,,,catch,0,,1,,0,0,1.61,,
25,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,2.01,,
26,1,True,1,15,0,31,0,,,,catch,0,,1,,0,0,1.85,,
27,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,1.89,,
28,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.74,,
29,1,True,1,15,0,24,0,,,,catch,0,,1,,0,0,1.57,,
30,1,True,1,15,0,16,0,,,,catch,0,,1,,0,0,2.16,,
31,2,True,1,15,0,14,0,,,,catch,0,,1,,0,0,2.15,,
32,2,True,1,15,0,16,0,,,,catch,0,,1,,0,0,2.37,,
33,2,True,0,15,1,12,0,,,,catch,0,,1,,0,0,1.72,,
34,2,True,1,15,0,12,0,,,,catch,0,,1,,0,0,1.69,,
35,2,True,1,15,0,11,0,,,,catch,0,,1,,0,0,1.58,,
36,2,True,1,15,1,47,1,,,,catch,0,,1,,0,0,3.11,,
37,2,True,1,15,1,47,1,,,,catch,0,,1,,0,0,1.7,,
38,2,True,1,14,0,31,0,,,,catch,0,,1,,0,0,2.51,,
39,2,True,1,15,1,43,1,,,,catch,0,,1,,0,0,2.05,,
40,2,True,0,15,1,38,0,,,,catch,0,,1,,0,0,2.26,,
41,2,True,1,15,1,34,1,,,,catch,0,,1,,0,0,3.07,,
42,2,True,1,15,1,38,1,,,,catch,0,,1,,0,0,1.93,,
43,2,True,0,14,1,37,0,,,,catch,0,,1,,0,0,2.29,,
44,2,True,0,15,1,28,0,,,,catch,0,,1,,0,0,1.95,,
45,2,True,1,15,1,35,1,,,,catch,0,,1,,0,0,2.52,,
46,2,True,0,15,1,36,0,,,,catch,0,,1,,0,0,1.96,,
47,2,True,1,15,1,27,1,,,,catch,0,,1,,0,0,1.81,,
48,2,True,1,15,1,36,1,,,,catch,0,,1,,0,0,2.2,,
49,2,True,0,14,1,33,0,,,,catch,0,,1,,0,0,2.02,,
50,2,True,1,15,1,31,1,,,,catch,0,,1,,0,0,1.6,,
51,2,True,1,15,1,32,1,,,,catch,0,,1,,0,0,2.0,,
52,2,True,1,14,1,34,1,,,,catch,0,,1,,0,0,1.5,,
53,2,True,0,14,1,36,0,,,,catch,0,,1,,0,0,1.45,,
54,2,True,1,15,1,36,1,,,,catch,0,,1,,0,0,1.91,,
55,2,True,1,15,1,35,1,,,,catch,0,,1,,0,0,1.5,,
56,2,True,1,14,1,38,1,,,,catch,0,,1,,0,0,1.86,,
57,2,True,0,14,1,38,0,,,,catch,0,,1,,0,0,2.56,,
58,2,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.29,,
59,2,True,1,15,1,34,1,,,,catch,0,,1,,0,0,2.12,,
60,2,True,1,14,1,36,1,,,,catch,0,,1,,0,0,1.76,,
61,3,False,1,14,1,16,1,1,16,1,forceblk4,1,1,0,1,1,0,5.52,11.51,12.53
62,3,False,0,14,1,18,0,0,12,1,forceblk4,2,2,0,0,1,0,2.05,3.79,4.82
63,3,False,0,14,0,18,1,1,11,0,forceblk4,1,1,0,1,0,0,2.62,3.4,4.42
64,3,False,1,14,1,13,1,1,13,1,forceblk4,2,2,0,1,1,0,1.86,8.03,9.05
65,3,False,0,14,1,14,0,1,14,0,forceblk4,1,1,0,0,1,0,1.96,5.65,6.67
66,3,False,1,14,1,15,1,1,15,1,forceblk4,2,2,0,1,1,0,1.82,2.67,3.69
67,3,False,1,14,1,15,1,1,16,1,forceblk4,1,1,0,1,1,0,2.26,2.35,3.37
68,3,False,0,14,1,17,0,1,19,0,forceblk4,2,2,0,1,0,0,1.75,2.0,3.01
69,3,False,0,14,1,16,0,0,7,1,forceblk4,1,1,0,0,1,0,1.77,2.42,3.43
70,3,False,1,14,1,9,1,1,15,1,forceblk4,2,2,0,1,1,0,2.33,2.05,3.08
71,3,False,0,14,1,24,0,0,11,1,forceblk4,1,1,0,0,1,0,2.07,2.41,3.43
72,3,False,1,14,1,23,1,0,7,0,forceblk4,2,2,0,0,0,0,3.07,2.25,3.26
73,3,False,0,14,1,12,0,1,18,0,forceblk4,1,1,0,0,1,0,2.28,3.35,4.36
74,3,False,1,14,1,11,1,1,22,1,forceblk4,2,2,0,1,1,0,1.72,3.28,4.3
75,3,False,0,14,1,19,0,1,23,0,forceblk4,1,1,0,1,0,0,2.0,1.58,2.6
76,3,False,0,14,1,23,0,0,16,1,forceblk4,2,2,0,0,1,0,1.93,1.81,2.83
77,3,False,0,14,1,18,0,1,23,0,forceblk4,1,1,0,1,0,0,2.41,3.03,4.05
78,3,False,0,14,1,18,0,1,30,0,forceblk4,2,2,0,1,0,0,1.84,2.0,3.02
79,3,False,0,14,1,24,0,0,13,1,forceblk4,1,1,0,0,1,0,1.62,1.9,2.92
80,3,False,1,14,0,8,0,0,19,0,forceblk4,1,1,0,0,0,0,1.62,1.91,2.92
81,3,False,0,14,1,14,0,1,16,0,forceblk4,2,2,0,0,1,0,1.57,1.97,2.98
82,3,False,1,14,1,19,1,0,13,0,forceblk4,1,1,0,0,0,0,1.62,1.99,3.0
83,3,False,1,14,1,18,1,1,25,1,forceblk4,2,2,0,1,1,0,1.52,1.5,2.51
84,3,False,0,14,1,26,0,1,21,0,forceblk4,2,2,0,0,1,0,1.98,1.77,2.78
85,3,False,0,14,1,20,0,1,15,0,forceblk4,1,1,0,0,1,0,1.27,2.55,3.57
86,3,False,0,14,1,18,0,1,9,0,forceblk4,2,2,0,0,1,0,1.79,1.58,2.58
87,3,False,1,14,1,19,1,1,30,1,forceblk4,1,1,0,1,1,0,2.21,2.6,3.61
88,3,False,1,14,1,23,1,0,3,0,forceblk4,1,1,0,0,0,0,1.78,2.21,3.23
89,3,False,1,14,1,14,1,1,24,1,forceblk4,2,2,0,1,1,0,1.4,2.15,3.16
90,3,False,1,14,1,20,1,1,26,1,forceblk4,2,2,0,1,1,0,1.89,1.47,2.49
91,3,False,0,14,1,22,0,1,30,0,forceblk4,1,1,0,1,0,0,1.7,1.57,2.58
92,3,False,0,14,1,21,0,0,10,1,forceblk4,2,2,0,0,1,0,3.49,2.9,3.9
93,3,False,0,14,0,11,1,1,13,0,forceblk4,1,1,0,1,0,0,2.67,2.17,3.18
94,3,False,0,14,1,11,0,0,8,1,forceblk4,2,2,0,0,1,0,1.64,1.74,2.75
95,3,False,0,14,0,12,1,0,18,1,forceblk4,1,1,0,0,1,0,1.65,1.73,2.74
96,3,False,1,14,0,18,0,1,13,1,forceblk4,2,2,0,1,1,0,1.54,2.32,3.33
97,3,False,1,14,1,12,1,1,19,1,forceblk4,1,1,0,1,1,0,4.01,1.57,2.6
98,3,False,1,14,1,17,1,1,20,1,forceblk4,2,2,0,1,1,0,1.84,1.89,2.92
99,3,False,0,14,1,18,0,1,21,0,forceblk4,1,1,0,1,0,0,1.82,1.96,2.97
100,3,False,0,14,1,13,0,0,10,1,forceblk4,2,2,0,0,1,0,1.76,2.35,3.36
101,3,False,0,14,0,9,1,0,17,1,forceblk4,1,1,0,0,1,0,1.83,1.82,2.82
102,3,False,1,14,0,18,0,1,14,1,forceblk4,2,2,0,1,1,0,1.52,1.36,2.37
103,3,False,1,14,1,15,1,1,20,1,forceblk4,1,1,0,1,1,0,1.77,2.18,3.19
104,3,False,0,14,1,18,0,0,9,1,forceblk4,2,2,0,0,1,0,2.0,2.17,3.17
105,3,False,0,14,0,14,1,0,14,1,forceblk4,1,1,0,0,1,0,2.26,2.3,3.33
106,3,False,1,14,0,14,0,1,12,1,forceblk4,2,2,0,1,1,0,1.49,2.0,3.01
107,3,False,0,14,1,14,0,1,14,0,forceblk4,1,1,0,0,1,0,1.6,2.96,3.97
108,3,False,1,14,1,14,1,1,22,1,forceblk4,2,2,0,1,1,0,1.58,4.39,5.4
109,3,False,0,14,1,21,0,0,11,1,forceblk4,1,1,0,0,1,0,1.45,2.7,3.72
110,3,False,0,14,0,10,1,0,10,1,forceblk4,1,1,0,0,1,0,2.21,4.16,5.18
111,3,False,0,14,0,23,1,1,6,0,forceblk4,2,2,0,0,1,0,3.01,1.52,2.53
112,3,False,1,14,0,14,0,1,13,1,forceblk4,2,2,0,1,1,0,2.38,1.84,2.85
113,3,False,0,14,1,11,0,1,17,0,forceblk4,1,1,0,1,0,0,1.83,1.99,3.01
114,3,False,0,14,1,12,0,0,13,1,forceblk4,2,2,0,0,1,0,1.49,1.97,2.98
115,3,False,0,14,0,11,1,0,11,1,forceblk4,1,1,0,0,1,0,1.83,1.91,2.92
116,3,False,0,14,0,14,1,0,20,1,forceblk4,2,2,0,0,1,0,1.74,4.04,5.04
117,3,False,1,14,0,17,0,1,15,1,forceblk4,1,1,0,1,1,0,7.83,5.59,6.6
118,3,False,0,14,1,14,0,1,14,0,forceblk4,1,1,0,0,1,0,1.79,3.94,4.95
119,3,False,0,14,1,11,0,1,20,0,forceblk4,2,2,0,1,0,0,1.32,2.84,3.85
120,3,False,1,14,1,19,1,0,10,0,forceblk4,2,2,0,0,0,0,1.6,1.65,2.67
121,4,False,0,14,0,19,1,0,22,1,force,1,1,0,0,1,0,3.23,5.03,6.04
122,4,False,1,14,0,18,0,0,25,0,force,2,2,0,0,0,0,2.02,1.96,2.97
123,4,False,1,14,0,18,0,0,27,0,change,1,1,0,0,0,0,1.61,4.01,6.52
124,4,False,0,14,0,20,1,0,19,1,force,1,1,0,0,1,0,1.93,2.05,3.06
125,4,False,1,14,0,14,0,1,14,1,change,2,2,0,1,1,0,1.86,2.17,4.7
126,4,False,0,14,1,17,0,1,17,0,force,1,1,0,1,0,0,1.88,3.13,4.14
127,4,False,0,14,1,17,0,0,13,1,force,2,2,0,0,1,0,1.88,2.8,3.81
128,4,False,1,14,0,13,0,1,11,1,force,1,1,0,1,1,0,1.73,1.65,2.66
129,4,False,1,14,1,17,1,1,7,1,force,2,2,0,1,1,0,6.91,4.05,5.06
130,4,False,0,14,1,13,0,1,13,0,change,2,2,0,0,1,0,1.73,2.36,4.89
131,4,False,0,14,1,25,0,1,25,0,change,2,2,0,1,0,0,2.15,2.39,4.92
132,4,False,1,14,1,20,1,1,20,1,force,2,2,0,1,1,0,1.61,1.93,2.95
133,4,False,0,14,1,29,0,0,12,1,change,1,1,0,0,1,0,1.78,3.23,5.75
134,4,False,0,14,0,22,1,0,22,1,force,1,1,0,0,1,0,2.09,2.99,4.0
135,4,False,1,14,0,19,0,1,19,1,change,2,2,0,1,1,0,2.21,2.34,4.87
136,4,False,1,14,1,27,1,0,12,0,change,1,1,0,0,0,0,1.8,2.33,4.84
137,4,False,1,14,1,27,1,1,27,1,change,1,1,0,1,1,0,1.59,2.18,4.7
138,4,False,1,14,1,23,1,0,11,0,change,2,2,0,0,0,0,1.95,2.97,5.48
139,4,False,0,14,1,24,0,1,24,0,force,2,2,0,1,0,0,2.78,2.23,3.23
140,4,False,1,14,1,24,1,1,24,1,change,1,1,0,1,1,0,1.52,1.94,4.47
141,4,False,1,14,1,30,1,1,30,1,change,1,1,0,1,1,0,1.73,2.09,4.61
142,4,False,1,14,1,28,1,1,28,1,change,1,1,0,1,1,0,1.57,1.77,4.31
143,4,False,1,14,1,31,1,1,31,1,change,1,1,0,1,1,0,1.66,1.73,4.27
144,4,False,0,14,1,31,0,0,13,1,change,1,1,0,0,1,0,1.8,2.12,4.65
145,4,False,1,14,0,27,0,1,11,1,change,1,1,0,1,1,0,2.39,1.89,4.41
146,4,False,1,14,1,22,1,1,22,1,change,2,2,0,1,1,0,1.84,1.84,4.37
147,4,False,0,14,1,24,0,0,11,1,force,1,1,0,0,1,0,2.3,1.93,2.94
148,4,False,0,14,0,24,1,0,24,1,change,1,1,0,0,1,0,1.87,1.93,4.45
149,4,False,0,14,0,20,1,0,20,1,change,2,2,0,0,1,0,1.93,2.12,4.63
150,4,False,1,14,0,19,0,1,13,1,change,1,1,0,1,1,0,1.8,2.08,4.6
151,4,False,1,14,1,21,1,1,23,1,force,2,2,0,1,1,0,1.51,1.98,2.99
152,4,False,0,14,1,27,0,1,27,0,change,2,2,0,1,0,0,2.06,2.76,5.28
153,4,False,0,14,1,23,0,1,27,0,change,1,1,0,1,0,0,1.85,2.1,4.63
154,4,False,0,14,1,21,0,0,16,1,change,2,2,0,0,1,0,1.77,2.19,4.71
155,4,False,0,14,0,23,1,1,20,0,change,2,2,0,1,0,0,1.75,2.72,5.25
156,4,False,1,14,1,26,1,1,26,1,change,1,1,0,1,1,0,1.54,1.93,4.47
157,4,False,1,14,1,27,1,1,28,1,force,1,1,0,1,1,0,2.49,2.19,3.2
158,4,False,0,14,1,32,0,0,11,1,force,2,2,0,0,1,0,2.05,1.91,2.92
159,4,False,1,14,1,26,1,0,12,0,change,2,2,0,0,0,0,1.69,1.88,4.4
160,4,False,0,14,1,26,0,0,11,1,change,2,2,0,0,1,0,2.47,2.2,4.73
161,4,False,0,14,1,26,0,1,26,0,change,2,2,0,1,0,0,2.13,1.66,4.18
162,4,False,1,14,1,25,1,1,29,1,change,2,2,0,1,1,0,1.7,2.18,4.7
163,4,False,1,14,1,28,1,1,30,1,force,2,2,0,1,1,0,2.3,2.02,3.04
164,4,False,0,14,1,26,0,0,14,1,change,2,2,0,0,1,0,1.56,2.21,4.73
165,4,False,1,14,0,15,0,1,20,1,change,1,1,0,1,1,0,1.4,2.53,5.04
166,4,False,1,14,1,15,1,0,10,0,change,1,1,0,0,0,0,2.69,2.11,4.63
167,4,False,0,14,1,18,0,1,23,0,change,1,2,1,1,0,0,1.51,1.67,4.19
168,4,False,0,14,1,19,0,0,14,1,change,1,1,0,0,1,0,2.53,2.72,5.25
169,4,False,0,14,1,19,0,0,19,1,change,1,2,1,0,1,0,1.35,1.99,4.5
170,4,False,1,14,1,11,1,0,9,0,change,1,2,1,0,0,0,1.86,1.51,4.04
171,4,False,1,14,1,15,1,0,15,0,force,1,1,0,0,0,0,1.66,1.98,2.99
172,4,False,0,14,1,13,0,0,20,1,change,1,2,1,0,1,0,1.7,2.19,4.71
