trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,22.29,,
2,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,11.31,,
3,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,18.01,,
4,1,True,1,15,0,12,0,,,,catch,0,,1,,0,0,17.13,,
5,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,16.22,,
6,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,12.93,,
7,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,9.45,,
8,1,True,1,14,1,9,1,,,,catch,0,,1,,0,0,13.98,,
9,1,True,1,14,1,9,1,,,,catch,0,,1,,0,0,10.73,,
10,1,True,1,13,1,9,1,,,,catch,0,,1,,0,0,10.26,,
11,1,True,1,13,0,6,0,,,,catch,0,,1,,0,0,14.62,,
12,1,True,1,14,0,6,0,,,,catch,0,,1,,0,0,8.97,,
13,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,10.25,,
14,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,14.68,,
15,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,11.76,,
16,1,True,1,15,0,6,0,,,,catch,0,,1,,0,0,17.47,,
17,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,4.75,,
18,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,11.66,,
19,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,6.2,,
20,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,6.19,,
21,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,10.4,,
22,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,5.46,,
23,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,8.43,,
24,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,10.84,,
25,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,4.58,,
26,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,4.45,,
27,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,13.73,,
28,1,True,1,14,0,4,0,,,,catch,0,,1,,0,0,6.06,,
29,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,3.47,,
30,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,2.6,,
31,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,14.99,,
32,2,True,1,15,1,5,1,,,,catch,0,,1,,0,0,4.95,,
33,2,True,0,14,0,5,1,,,,catch,0,,1,,0,0,3.48,,
34,2,True,1,14,1,5,1,,,,catch,0,,1,,0,0,4.74,,
35,2,True,0,13,1,5,0,,,,catch,0,,1,,0,0,5.43,,
36,2,True,1,14,1,5,1,,,,catch,0,,1,,0,0,4.65,,
37,2,True,0,14,0,4,1,,,,catch,0,,1,,0,0,7.25,,
38,2,True,0,13,1,5,0,,,,catch,0,,1,,0,0,5.74,,
39,2,True,0,14,1,4,0,,,,catch,0,,1,,0,0,6.71,,
40,2,True,1,15,1,5,1,,,,catch,0,,1,,0,0,3.71,,
41,2,True,1,15,0,3,0,,,,catch,0,,1,,0,0,4.06,,
42,2,True,1,15,1,5,1,,,,catch,0,,1,,0,0,4.97,,
43,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,4.03,,
44,2,True,0,14,0,4,1,,,,catch,0,,1,,0,0,3.78,,
45,2,True,1,14,1,4,1,,,,catch,0,,1,,0,0,4.5,,
46,2,True,0,13,0,4,1,,,,catch,0,,1,,0,0,3.09,,
47,2,True,0,13,0,4,1,,,,catch,0,,1,,0,0,4.45,,
48,2,True,0,12,0,4,1,,,,catch,0,,1,,0,0,3.45,,
49,2,True,1,12,0,3,0,,,,catch,0,,1,,0,0,3.8,,
50,2,True,1,13,0,3,0,,,,catch,0,,1,,0,0,3.41,,
51,2,True,1,14,0,3,0,,,,catch,0,,1,,0,0,3.13,,
52,2,True,1,15,1,4,1,,,,catch,0,,1,,0,0,4.99,,
53,2,True,1,15,0,3,0,,,,catch,0,,1,,0,0,3.72,,
54,2,True,1,15,1,4,1,,,,catch,0,,1,,0,0,3.56,,
55,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,2.82,,
56,2,True,0,14,1,4,0,,,,catch,0,,1,,0,0,4.19,,
57,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.94,,
58,2,True,0,15,1,5,0,,,,catch,0,,1,,0,0,3.5,,
59,2,True,0,15,1,4,0,,,,catch,0,,1,,0,0,3.53,,
60,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.81,,
61,3,False,0,15,0,4,1,0,6,1,forceblk4,2,2,0,0,1,0,5.73,6.16,7.17
62,3,False,0,15,0,5,1,0,6,1,forceblk4,1,1,0,0,1,0,5.17,7.02,8.03
63,3,False,1,15,0,4,0,0,5,0,forceblk4,1,1,0,0,0,0,3.07,3.75,4.75
64,3,False,1,15,0,3,0,1,2,1,forceblk4,2,2,0,1,1,0,3.15,5.45,6.46
