trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,3.52,,
2,1,True,0,15,1,13,0,,,,catch,0,,1,,0,0,0.96,,
3,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.24,,
4,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,1.22,,
5,1,True,0,14,0,25,1,,,,catch,0,,1,,0,0,1.14,,
6,1,True,0,14,0,32,1,,,,catch,0,,1,,0,0,0.8,,
7,1,True,0,13,0,21,1,,,,catch,0,,1,,0,0,1.18,,
8,1,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.2,,
9,1,True,1,12,1,33,1,,,,catch,0,,1,,0,0,0.99,,
10,1,True,0,12,0,37,1,,,,catch,0,,1,,0,0,1.24,,
11,1,True,0,11,0,41,1,,,,catch,0,,1,,0,0,1.06,,
12,1,True,1,11,1,26,1,,,,catch,0,,1,,0,0,0.97,,
13,1,True,1,10,1,26,1,,,,catch,0,,1,,0,0,1.1,,
14,1,True,1,10,0,30,0,,,,catch,0,,1,,0,0,1.22,,
15,1,True,0,11,1,23,0,,,,catch,0,,1,,0,0,1.13,,
16,1,True,1,12,0,23,0,,,,catch,0,,1,,0,0,0.72,,
17,1,True,0,13,0,44,1,,,,catch,0,,1,,0,0,1.43,,
18,1,True,1,13,1,28,1,,,,catch,0,,1,,0,0,1.1,,
19,1,True,1,12,1,26,1,,,,catch,0,,1,,0,0,0.87,,
20,1,True,1,12,1,27,1,,,,catch,0,,1,,0,0,0.95,,
21,1,True,1,11,1,28,1,,,,catch,0,,1,,0,0,0.94,,
22,1,True,1,11,0,29,0,,,,catch,0,,1,,0,0,1.1,,
23,1,True,1,12,0,32,0,,,,catch,0,,1,,0,0,1.06,,
24,1,True,0,13,0,29,1,,,,catch,0,,1,,0,0,0.75,,
25,1,True,0,13,0,37,1,,,,catch,0,,1,,0,0,0.76,,
26,1,True,1,12,1,25,1,,,,catch,0,,1,,0,0,0.97,,
27,1,True,0,12,1,23,0,,,,catch,0,,1,,0,0,0.94,,
28,1,True,0,13,0,25,1,,,,catch,0,,1,,0,0,1.01,,
29,1,True,1,13,0,44,0,,,,catch,0,,1,,0,0,0.83,,
30,1,True,0,14,0,45,1,,,,catch,0,,1,,0,0,1.0,,
31,2,True,0,14,0,27,1,,,,catch,0,,1,,0,0,1.26,,
32,2,True,1,13,1,38,1,,,,catch,0,,1,,0,0,1.4,,
33,2,True,0,13,0,47,1,,,,catch,0,,1,,0,0,1.48,,
34,2,True,0,12,0,48,1,,,,catch,0,,1,,0,0,1.54,,
35,2,True,0,12,0,38,1,,,,catch,0,,1,,0,0,1.01,,
36,2,True,1,11,1,26,1,,,,catch,0,,1,,0,0,0.86,,
37,2,True,0,11,0,43,1,,,,catch,0,,1,,0,0,0.89,,
38,2,True,1,10,1,25,1,,,,catch,0,,1,,0,0,0.84,,
39,2,True,0,10,0,49,1,,,,catch,0,,1,,0,0,1.18,,
40,2,True,1,9,0,42,0,,,,catch,0,,1,,0,0,0.99,,
41,2,True,0,10,0,38,1,,,,catch,0,,1,,0,0,1.02,,
42,2,True,0,10,0,45,1,,,,catch,0,,1,,0,0,0.91,,
43,2,True,0,9,0,41,1,,,,catch,0,,1,,0,0,0.82,,
44,2,True,0,9,0,34,1,,,,catch,0,,1,,0,0,115.81,,
45,2,True,0,8,1,24,0,,,,catch,0,,1,,0,0,1.06,,
46,2,True,0,9,1,21,0,,,,catch,0,,1,,0,0,0.78,,
47,2,True,1,10,0,29,0,,,,catch,0,,1,,0,0,0.9,,
48,2,True,0,11,1,11,0,,,,catch,0,,1,,0,0,0.77,,
49,2,True,1,12,1,11,1,,,,catch,0,,1,,0,0,1.02,,
50,2,True,1,12,1,22,1,,,,catch,0,,1,,0,0,0.75,,
51,2,True,0,11,0,27,1,,,,catch,0,,1,,0,0,0.83,,
52,2,True,0,11,0,31,1,,,,catch,0,,1,,0,0,0.83,,
53,2,True,0,10,0,39,1,,,,catch,0,,1,,0,0,1.19,,
54,2,True,0,10,1,27,0,,,,catch,0,,1,,0,0,1.53,,
55,2,True,1,11,0,26,0,,,,catch,0,,1,,0,0,1.26,,
56,2,True,1,12,1,18,1,,,,catch,0,,1,,0,0,0.87,,
57,2,True,1,12,1,12,1,,,,catch,0,,1,,0,0,0.68,,
58,2,True,0,11,0,37,1,,,,catch,0,,1,,0,0,1.15,,
59,2,True,1,11,1,10,1,,,,catch,0,,1,,0,0,0.99,,
60,2,True,1,10,1,15,1,,,,catch,0,,1,,0,0,0.67,,
61,3,False,0,10,0,24,1,0,24,1,forceblk4,1,1,0,1,0,0,1.09,1.34,2.35
62,3,False,1,10,1,14,1,1,31,1,forceblk4,2,2,0,1,1,0,0.95,1.27,2.27
63,3,False,0,10,0,39,1,0,35,1,forceblk4,2,2,0,1,0,0,1.07,1.05,2.05
64,3,False,1,10,1,38,1,1,35,1,forceblk4,1,1,0,1,1,0,1.03,0.85,1.86
65,3,False,1,10,1,35,1,1,35,1,forceblk4,1,1,0,1,1,0,0.8,0.63,1.63
66,3,False,0,10,0,21,1,0,21,1,forceblk4,1,1,0,0,1,0,2.05,0.97,1.97
67,3,False,1,10,1,30,1,1,30,1,forceblk4,2,2,0,1,1,0,0.76,1.02,2.02
68,3,False,1,10,0,7,0,0,6,0,forceblk4,2,2,0,0,0,0,1.83,0.83,1.83
69,3,False,1,10,1,25,1,1,23,1,forceblk4,1,1,0,0,0,0,1.27,0.73,1.74
70,3,False,0,10,0,39,1,0,39,1,forceblk4,2,2,0,1,0,0,0.86,0.88,1.88
71,3,False,0,10,0,41,1,0,41,1,forceblk4,1,1,0,0,1,0,0.84,0.9,1.91
72,3,False,0,10,0,47,1,0,46,1,forceblk4,2,2,0,0,1,0,1.11,0.92,1.92
73,3,False,1,10,1,28,1,1,28,1,forceblk4,1,1,0,1,1,0,1.15,1.03,2.04
74,3,False,1,10,0,37,0,0,40,0,forceblk4,2,2,0,0,0,0,1.13,0.63,1.63
75,3,False,1,10,1,25,1,1,25,1,forceblk4,2,2,0,1,1,0,0.72,0.54,1.55
76,3,False,1,10,1,27,1,1,27,1,forceblk4,1,1,0,1,1,0,0.89,0.72,1.72
77,3,False,0,10,0,46,1,0,45,1,forceblk4,1,1,0,0,1,0,1.37,0.88,1.88
78,3,False,1,10,1,30,1,1,30,1,forceblk4,2,2,0,1,1,0,1.14,0.78,1.78
79,3,False,0,10,0,48,1,0,46,1,forceblk4,2,2,0,0,1,0,1.2,0.88,1.89
80,3,False,1,10,0,47,0,0,44,0,forceblk4,1,1,0,1,1,0,1.03,0.51,1.51
81,3,False,1,10,0,29,0,0,9,0,forceblk4,1,1,0,0,0,0,0.7,0.85,1.86
82,3,False,1,10,1,35,1,1,34,1,forceblk4,2,2,0,1,1,0,1.43,0.68,1.69
83,3,False,0,10,1,34,0,1,36,0,forceblk4,1,1,0,1,0,0,1.21,0.47,1.47
84,3,False,1,10,1,31,1,1,27,1,forceblk4,2,2,0,1,1,0,1.16,0.4,1.4
85,3,False,1,10,1,15,1,1,19,1,forceblk4,1,1,0,1,1,0,1.07,0.55,1.55
86,3,False,1,10,1,23,1,1,24,1,forceblk4,2,2,0,0,0,0,0.8,0.57,1.57
87,3,False,1,10,0,25,0,0,20,0,forceblk4,1,1,0,1,1,0,1.25,0.62,1.62
88,3,False,1,10,1,16,1,1,17,1,forceblk4,2,2,0,1,1,0,1.32,1.23,2.23
