trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,22,1,,,,catch,0,,1,,0,0,36.68,,
2,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,14.0,,
3,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,8.41,,
4,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,2.89,,
5,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.84,,
6,1,True,1,15,1,17,1,,,,catch,0,,1,,0,0,3.07,,
7,1,True,0,14,1,19,0,,,,catch,0,,1,,0,0,3.05,,
8,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,5.25,,
9,1,True,1,15,0,24,0,,,,catch,0,,1,,0,0,2.9,,
10,1,True,1,15,0,19,0,,,,catch,0,,1,,0,0,3.07,,
11,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,6.31,,
12,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.52,,
13,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,2.82,,
14,1,True,0,14,1,14,0,,,,catch,0,,1,,0,0,3.32,,
15,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.35,,
16,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,2.02,,
17,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,2.25,,
18,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.77,,
19,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.55,,
20,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.87,,
21,1,True,0,14,1,8,0,,,,catch,0,,1,,0,0,7.96,,
22,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.71,,
23,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,2.57,,
24,1,True,0,15,1,18,0,,,,catch,0,,1,,0,0,1.73,,
25,1,True,0,15,1,13,0,,,,catch,0,,1,,0,0,1.8,,
26,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,1.77,,
27,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,2.72,,
28,1,True,1,15,0,17,0,,,,catch,0,,1,,0,0,2.41,,
29,1,True,0,15,1,16,0,,,,catch,0,,1,,0,0,2.71,,
30,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.84,,
31,2,True,0,15,0,11,1,,,,catch,0,,1,,0,0,2.19,,
32,2,True,1,14,1,12,1,,,,catch,0,,1,,0,0,2.65,,
33,2,True,0,14,0,19,1,,,,catch,0,,1,,0,0,2.36,,
34,2,True,0,13,0,15,1,,,,catch,0,,1,,0,0,1.96,,
35,2,True,0,13,0,14,1,,,,catch,0,,1,,0,0,1.59,,
36,2,True,0,12,0,12,1,,,,catch,0,,1,,0,0,1.58,,
37,2,True,1,12,1,12,1,,,,catch,0,,1,,0,0,1.71,,
38,2,True,1,11,0,19,0,,,,catch,0,,1,,0,0,2.57,,
39,2,True,1,12,1,14,1,,,,catch,0,,1,,0,0,1.54,,
40,2,True,1,12,1,14,1,,,,catch,0,,1,,0,0,1.74,,
41,2,True,0,11,1,15,0,,,,catch,0,,1,,0,0,1.71,,
42,2,True,1,12,1,21,1,,,,catch,0,,1,,0,0,1.91,,
43,2,True,0,12,1,17,0,,,,catch,0,,1,,0,0,2.69,,
44,2,True,0,13,0,18,1,,,,catch,0,,1,,0,0,2.11,,
45,2,True,1,13,1,19,1,,,,catch,0,,1,,0,0,2.12,,
46,2,True,1,12,1,9,1,,,,catch,0,,1,,0,0,2.75,,
47,2,True,1,12,1,21,1,,,,catch,0,,1,,0,0,1.71,,
48,2,True,1,11,1,21,1,,,,catch,0,,1,,0,0,1.62,,
49,2,True,1,11,1,21,1,,,,catch,0,,1,,0,0,1.43,,
50,2,True,1,10,1,25,1,,,,catch,0,,1,,0,0,1.83,,
51,2,True,1,10,1,27,1,,,,catch,0,,1,,0,0,1.5,,
52,2,True,1,9,1,25,1,,,,catch,0,,1,,0,0,1.67,,
53,2,True,0,9,1,8,0,,,,catch,0,,1,,0,0,2.88,,
54,2,True,0,10,1,14,0,,,,catch,0,,1,,0,0,2.92,,
55,2,True,1,11,1,5,1,,,,catch,0,,1,,0,0,3.06,,
56,2,True,1,11,1,20,1,,,,catch,0,,1,,0,0,1.72,,
57,2,True,1,10,0,14,0,,,,catch,0,,1,,0,0,1.81,,
58,2,True,0,11,0,13,1,,,,catch,0,,1,,0,0,1.52,,
59,2,True,0,11,0,12,1,,,,catch,0,,1,,0,0,3.51,,
60,2,True,0,10,0,27,1,,,,catch,0,,1,,0,0,2.47,,
61,3,False,1,10,1,13,1,1,13,1,forceblk4,2,2,0,1,1,0,5.53,11.66,12.68
62,3,False,0,10,1,11,0,1,11,0,forceblk4,1,1,0,1,0,0,2.89,2.25,3.26
63,3,False,0,10,1,3,0,1,14,0,forceblk4,2,2,0,1,0,0,5.83,3.68,4.68
64,3,False,0,10,1,8,0,1,8,0,forceblk4,1,1,0,0,1,0,2.54,2.95,3.96
65,3,False,0,10,0,11,1,0,20,1,forceblk4,2,2,0,0,1,0,2.18,2.59,3.59
66,3,False,1,10,1,8,1,1,8,1,forceblk4,1,1,0,0,0,0,2.22,3.76,4.77
67,3,False,0,10,1,14,0,0,13,1,forceblk4,2,2,0,0,1,0,2.3,2.04,3.05
68,3,False,1,10,0,16,0,1,15,1,forceblk4,1,1,0,1,1,0,2.59,2.35,3.35
69,3,False,0,10,0,11,1,0,16,1,forceblk4,2,2,0,0,1,0,3.02,4.92,5.93
70,3,False,1,10,0,16,0,1,15,1,forceblk4,2,2,0,1,1,0,2.69,1.28,2.28
71,3,False,1,10,1,15,1,1,15,1,forceblk4,1,1,0,0,0,0,1.52,1.77,2.78
72,3,False,1,10,1,17,1,1,17,1,forceblk4,2,2,0,1,1,0,2.48,1.68,2.68
73,3,False,1,10,1,17,1,1,17,1,forceblk4,1,1,0,1,1,0,1.97,1.43,2.43
74,3,False,1,10,1,6,1,1,6,1,forceblk4,1,1,0,0,0,0,4.08,3.43,4.43
75,3,False,1,10,1,15,1,0,11,0,forceblk4,2,2,0,0,0,0,1.6,2.77,3.78
76,3,False,0,10,1,13,0,1,13,0,forceblk4,2,2,0,1,0,0,2.02,1.4,2.4
77,3,False,1,10,1,19,1,1,19,1,forceblk4,1,1,0,1,1,0,2.05,1.5,2.5
78,3,False,1,10,0,16,0,0,15,0,forceblk4,2,2,0,1,1,0,2.77,3.41,4.42
79,3,False,1,10,1,18,1,1,18,1,forceblk4,1,1,0,0,0,0,1.82,2.62,3.64
80,3,False,0,10,0,16,1,0,16,1,forceblk4,2,2,0,0,1,0,1.68,2.88,3.88
81,3,False,0,10,0,19,1,0,18,1,forceblk4,1,1,0,0,1,0,1.65,1.78,2.78
82,3,False,0,10,0,26,1,0,26,1,forceblk4,1,1,0,0,1,0,1.97,1.93,2.94
83,3,False,1,10,1,19,1,1,19,1,forceblk4,2,2,0,1,1,0,2.74,1.42,2.42
84,3,False,1,10,1,23,1,1,24,1,forceblk4,2,2,0,1,1,0,1.6,2.9,3.9
85,3,False,1,10,0,18,0,0,18,0,forceblk4,1,1,0,1,1,0,2.04,2.46,3.46
86,3,False,0,10,1,19,0,1,19,0,forceblk4,2,2,0,1,0,0,1.72,1.68,2.7
87,3,False,1,10,1,24,1,1,24,1,forceblk4,1,1,0,1,1,0,1.93,1.68,2.68
88,3,False,0,10,0,18,1,0,18,1,forceblk4,1,1,0,0,1,0,3.01,2.13,3.14
89,3,False,1,10,1,22,1,1,22,1,forceblk4,2,2,0,1,1,0,1.79,1.58,2.59
90,3,False,1,10,0,13,0,0,13,0,forceblk4,1,1,0,0,0,0,2.64,1.7,2.71
91,3,False,0,10,1,10,0,0,12,1,forceblk4,2,2,0,0,1,0,2.18,2.46,3.46
92,3,False,1,10,1,17,1,0,14,0,forceblk4,2,2,0,0,0,0,2.08,1.92,2.93
93,3,False,1,10,1,12,1,1,12,1,forceblk4,1,1,0,1,1,0,1.96,1.47,2.47
94,3,False,1,10,0,16,0,0,15,0,forceblk4,1,1,0,1,1,0,2.15,2.29,3.3
95,3,False,1,10,0,14,0,1,15,1,forceblk4,2,2,0,1,1,0,2.14,2.14,3.14
96,3,False,0,10,0,17,1,1,15,0,forceblk4,2,2,0,1,0,0,1.79,3.4,4.4
97,3,False,1,10,0,18,0,0,18,0,forceblk4,1,1,0,0,0,0,2.11,2.04,3.04
98,3,False,0,10,0,19,1,0,19,1,forceblk4,2,2,0,0,1,0,2.14,1.56,2.56
99,3,False,0,10,0,16,1,0,16,1,forceblk4,1,1,0,0,1,0,3.23,2.69,3.71
100,3,False,1,10,1,17,1,1,17,1,forceblk4,2,2,0,1,1,0,1.66,1.86,2.86
101,3,False,0,10,1,9,0,1,9,0,forceblk4,1,1,0,1,0,0,3.14,1.26,2.27
102,3,False,0,10,1,7,0,0,7,1,forceblk4,2,2,0,0,1,0,1.68,2.79,3.8
103,3,False,0,10,1,10,0,1,10,0,forceblk4,1,1,0,0,1,0,2.93,1.87,2.88
104,3,False,1,10,1,8,1,1,8,1,forceblk4,2,2,0,0,0,0,2.24,4.52,5.52
105,3,False,0,10,1,7,0,1,7,0,forceblk4,1,1,0,0,1,0,3.03,2.53,3.54
106,3,False,1,10,1,14,1,1,14,1,forceblk4,2,2,0,1,1,0,2.16,1.78,2.79
107,3,False,1,10,1,8,1,1,8,1,forceblk4,1,1,0,1,1,0,2.03,1.93,2.94
108,3,False,1,10,1,8,1,1,8,1,forceblk4,2,2,0,1,1,0,1.82,2.17,3.17
109,3,False,0,10,0,23,1,0,23,1,forceblk4,1,1,0,0,1,0,2.09,1.6,2.6
110,3,False,1,10,1,15,1,1,15,1,forceblk4,1,1,0,1,1,0,2.15,1.35,2.37
111,3,False,1,10,1,13,1,1,13,1,forceblk4,2,2,0,1,1,0,1.95,1.54,2.54
112,3,False,0,10,0,16,1,0,15,1,forceblk4,1,1,0,0,1,0,2.06,1.66,2.66
113,3,False,0,10,1,15,0,1,6,0,forceblk4,1,1,0,0,1,0,1.76,8.28,9.28
114,3,False,1,10,1,8,1,1,7,1,forceblk4,2,2,0,1,1,0,1.91,2.72,3.73
115,3,False,1,10,1,14,1,1,14,1,forceblk4,1,1,0,1,1,0,1.41,3.84,4.84
116,3,False,1,10,1,14,1,1,14,1,forceblk4,2,2,0,1,1,0,1.51,1.5,2.5
117,3,False,1,10,1,11,1,1,11,1,forceblk4,1,1,0,1,1,0,5.18,2.93,3.94
118,3,False,1,10,1,8,1,0,9,0,forceblk4,2,2,0,0,0,0,3.37,3.94,4.95
119,3,False,0,10,1,13,0,1,13,0,forceblk4,1,1,0,1,0,0,2.25,1.67,2.67
120,3,False,1,10,1,15,1,1,15,1,forceblk4,2,2,0,0,0,0,3.16,2.81,3.82
121,4,False,1,10,1,12,1,1,12,1,change,2,2,0,0,0,0,2.77,2.35,4.86
122,4,False,0,10,1,8,0,1,8,0,force,2,2,0,1,0,0,2.39,1.63,2.64
123,4,False,0,10,1,14,0,1,14,0,force,1,1,0,0,1,0,3.25,2.24,3.26
124,4,False,1,10,1,11,1,0,11,0,change,2,1,1,0,0,0,2.19,2.33,4.85
125,4,False,0,10,1,10,0,0,11,1,change,2,2,0,0,1,0,3.1,4.06,6.59
126,4,False,0,10,1,18,0,1,18,0,force,1,1,0,0,1,0,2.14,2.14,3.14
127,4,False,0,10,1,7,0,1,7,0,force,2,2,0,0,1,0,1.76,2.52,3.53
128,4,False,0,10,1,10,0,1,10,0,change,2,1,1,1,0,0,2.44,1.77,4.28
129,4,False,1,10,0,15,0,0,15,0,change,2,2,0,0,0,0,2.28,1.46,3.97
130,4,False,0,10,1,9,0,0,9,1,change,2,1,1,0,1,0,3.56,3.05,5.56
131,4,False,1,10,1,13,1,1,14,1,change,2,1,1,1,1,0,2.0,2.57,5.1
132,4,False,0,10,0,18,1,0,19,1,force,2,2,0,0,1,0,2.44,2.21,3.22
133,4,False,1,10,1,21,1,1,21,1,force,2,2,0,1,1,0,1.88,1.37,2.38
134,4,False,0,10,1,27,0,1,27,0,change,2,2,0,0,1,0,1.52,1.5,4.02
135,4,False,1,10,0,16,0,0,16,0,force,1,1,0,1,1,0,2.52,2.0,3.01
136,4,False,1,10,1,19,1,1,19,1,change,2,2,0,1,1,0,1.86,2.77,5.3
137,4,False,1,10,1,12,1,1,12,1,force,1,1,0,1,1,0,1.97,1.37,2.37
138,4,False,1,10,1,18,1,0,10,0,force,2,2,0,0,0,0,1.69,6.15,7.17
139,4,False,1,10,1,24,1,1,24,1,change,2,1,1,1,1,0,1.7,1.72,4.24
140,4,False,0,10,1,10,0,1,10,0,change,2,2,0,1,0,0,2.39,1.32,3.84
141,4,False,1,10,0,19,0,0,19,0,change,2,2,0,0,0,0,2.07,2.09,4.62
142,4,False,1,10,1,10,1,1,11,1,force,2,2,0,1,1,0,4.02,1.31,2.33
143,4,False,1,10,1,15,1,1,15,1,change,2,1,1,1,1,0,1.78,1.09,3.61
144,4,False,0,10,1,17,0,1,17,0,force,1,1,0,0,1,0,2.16,1.85,2.86
145,4,False,1,10,1,12,1,1,14,1,change,1,1,0,1,1,0,1.87,3.28,5.8
146,4,False,1,10,1,11,1,0,13,0,change,2,2,0,0,0,0,1.86,6.26,8.78
147,4,False,0,10,0,17,1,0,17,1,change,2,1,1,0,1,0,2.03,1.97,4.5
148,4,False,0,10,1,13,0,1,12,0,force,1,1,0,0,1,0,1.82,1.99,3.0
149,4,False,0,10,1,8,0,1,12,0,change,2,2,0,1,0,0,3.52,1.97,4.49
150,4,False,1,10,1,15,1,1,15,1,change,2,1,1,1,1,0,1.91,1.55,4.08
151,4,False,1,10,1,16,1,1,17,1,force,2,2,0,1,1,0,1.41,1.24,2.24
152,4,False,1,10,1,20,1,1,20,1,change,2,1,1,1,1,0,2.23,1.47,3.98
153,4,False,1,10,1,22,1,1,22,1,change,1,1,0,1,1,0,1.31,1.9,4.41
154,4,False,0,10,0,15,1,0,10,1,change,2,1,1,1,0,0,1.83,3.28,5.8
155,4,False,1,10,1,15,1,0,12,0,change,2,1,1,0,0,0,1.81,2.6,5.13
156,4,False,0,10,0,17,1,0,16,1,force,1,1,0,0,1,0,1.72,1.41,2.42
157,4,False,1,10,1,15,1,1,15,1,force,2,2,0,0,0,0,1.58,1.79,2.79
158,4,False,1,10,0,14,0,1,12,1,change,2,2,0,1,1,0,2.36,3.42,5.95
159,4,False,0,10,1,11,0,1,12,0,change,2,1,1,0,1,0,3.13,2.2,4.72
