trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,6.91,,
2,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,2.21,,
3,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,4.62,,
4,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.87,,
5,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,5.59,,
6,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,6.36,,
7,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,2.01,,
8,1,True,1,15,1,29,1,,,,catch,0,,1,,0,0,1.33,,
9,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,2.81,,
10,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,1.52,,
11,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,4.76,,
12,1,True,0,14,1,28,0,,,,catch,0,,1,,0,0,1.8,,
13,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.54,,
14,1,True,1,15,1,24,1,,,,catch,0,,1,,0,0,1.47,,
15,1,True,0,14,1,13,0,,,,catch,0,,1,,0,0,2.87,,
16,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.79,,
17,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,1.76,,
18,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,1.86,,
19,1,True,0,15,1,21,0,,,,catch,0,,1,,0,0,1.5,,
20,1,True,0,15,1,26,0,,,,catch,0,,1,,0,0,1.35,,
21,1,True,0,15,1,31,0,,,,catch,0,,1,,0,0,1.81,,
22,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.03,,
23,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,3.65,,
24,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,3.09,,
25,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,3.37,,
26,1,True,0,14,1,7,0,,,,catch,0,,1,,0,0,2.58,,
27,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.14,,
28,1,True,0,15,1,13,0,,,,catch,0,,1,,0,0,3.74,,
29,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,2.28,,
30,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,1.74,,
31,2,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.26,,
32,2,True,0,14,1,30,0,,,,catch,0,,1,,0,0,2.12,,
33,2,True,0,15,1,10,0,,,,catch,0,,1,,0,0,1.62,,
34,2,True,0,15,0,16,1,,,,catch,0,,1,,0,0,1.55,,
35,2,True,0,15,1,24,0,,,,catch,0,,1,,0,0,1.59,,
36,2,True,1,15,1,36,1,,,,catch,0,,1,,0,0,1.94,,
37,2,True,1,15,1,11,1,,,,catch,0,,1,,0,0,4.44,,
38,2,True,0,14,1,24,0,,,,catch,0,,1,,0,0,1.66,,
39,2,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.32,,
40,2,True,1,15,0,15,0,,,,catch,0,,1,,0,0,1.94,,
41,2,True,0,15,0,24,1,,,,catch,0,,1,,0,0,1.74,,
42,2,True,0,15,0,33,1,,,,catch,0,,1,,0,0,1.75,,
43,2,True,1,14,1,28,1,,,,catch,0,,1,,0,0,1.61,,
44,2,True,0,14,1,18,0,,,,catch,0,,1,,0,0,2.43,,
45,2,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.38,,
46,2,True,1,15,0,8,0,,,,catch,0,,1,,0,0,2.73,,
47,2,True,0,15,1,9,0,,,,catch,0,,1,,0,0,1.86,,
48,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,3.47,,
49,2,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.5,,
50,2,True,0,15,1,27,0,,,,catch,0,,1,,0,0,1.34,,
51,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.53,,
52,2,True,0,15,0,16,1,,,,catch,0,,1,,0,0,1.92,,
53,2,True,0,14,1,16,0,,,,catch,0,,1,,0,0,3.21,,
54,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.5,,
55,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.82,,
56,2,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.74,,
57,2,True,0,15,1,6,0,,,,catch,0,,1,,0,0,1.26,,
58,2,True,0,15,1,6,0,,,,catch,0,,1,,0,0,2.33,,
59,2,True,1,15,0,6,0,,,,catch,0,,1,,0,0,1.72,,
60,2,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.38,,
61,3,False,1,15,1,24,1,1,25,1,forceblk4,1,1,0,1,1,0,2.0,16.91,17.93
62,3,False,1,15,1,11,1,1,13,1,forceblk4,1,1,0,1,1,0,2.0,4.38,5.4
63,3,False,1,15,1,3,1,1,5,1,forceblk4,2,2,0,1,1,0,2.63,4.06,5.08
64,3,False,1,15,0,8,0,0,7,0,forceblk4,1,1,0,1,1,0,2.15,2.88,3.89
65,3,False,0,15,0,6,1,1,11,0,forceblk4,2,2,0,1,0,0,1.88,1.82,2.84
66,3,False,1,15,1,2,1,1,3,1,forceblk4,1,1,0,1,1,0,2.94,1.93,2.95
67,3,False,0,15,0,9,1,0,9,1,forceblk4,2,2,0,0,1,0,1.59,1.65,2.66
68,3,False,1,15,1,12,1,1,12,1,forceblk4,1,1,0,1,1,0,2.76,2.12,3.14
69,3,False,0,15,0,13,1,0,12,1,forceblk4,2,2,0,0,1,0,1.61,2.61,3.63
70,3,False,0,15,0,5,1,0,4,1,forceblk4,1,1,0,0,1,0,2.64,3.36,4.38
