trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,5.08,,
2,1,True,1,15,1,37,1,,,,catch,0,,1,,0,0,1.9,,
3,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,2.64,,
4,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,2.46,,
5,1,True,1,14,0,50,0,,,,catch,0,,1,,0,0,1.94,,
6,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,1.85,,
7,1,True,0,15,0,31,1,,,,catch,0,,1,,0,0,2.41,,
8,1,True,1,14,1,28,1,,,,catch,0,,1,,0,0,1.38,,
9,1,True,1,14,1,46,1,,,,catch,0,,1,,0,0,1.29,,
10,1,True,0,13,0,45,1,,,,catch,0,,1,,0,0,2.0,,
11,1,True,0,13,1,9,0,,,,catch,0,,1,,0,0,2.17,,
12,1,True,1,14,0,29,0,,,,catch,0,,1,,0,0,2.6,,
13,1,True,1,15,1,21,1,,,,catch,0,,1,,0,0,1.34,,
14,1,True,1,15,0,35,0,,,,catch,0,,1,,0,0,1.35,,
15,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,1.37,,
16,1,True,0,15,0,24,1,,,,catch,0,,1,,0,0,1.47,,
17,1,True,0,14,0,37,1,,,,catch,0,,1,,0,0,1.08,,
18,1,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.64,,
19,1,True,1,15,0,32,0,,,,catch,0,,1,,0,0,1.25,,
20,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,2.3,,
21,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,1.5,,
22,1,True,1,14,0,1,0,,,,catch,0,,1,,0,0,5.19,,
23,1,True,0,15,0,24,1,,,,catch,0,,1,,0,0,1.34,,
24,1,True,0,15,0,45,1,,,,catch,0,,1,,0,0,1.45,,
25,1,True,1,14,0,2,0,,,,catch,0,,1,,0,0,2.01,,
26,1,True,0,15,0,43,1,,,,catch,0,,1,,0,0,1.39,,
27,1,True,1,15,1,37,1,,,,catch,0,,1,,0,0,1.19,,
28,1,True,0,14,0,34,1,,,,catch,0,,1,,0,0,1.4,,
29,1,True,0,14,0,38,1,,,,catch,0,,1,,0,0,1.04,,
30,1,True,0,13,0,32,1,,,,catch,0,,1,,0,0,1.41,,
31,2,True,0,13,1,23,0,,,,catch,0,,1,,0,0,1.7,,
32,2,True,1,14,0,33,0,,,,catch,0,,1,,0,0,1.32,,
33,2,True,1,15,1,14,1,,,,catch,0,,1,,0,0,1.14,,
34,2,True,1,15,0,13,0,,,,catch,0,,1,,0,0,1.98,,
35,2,True,0,15,1,24,0,,,,catch,0,,1,,0,0,1.77,,
36,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.05,,
37,2,True,1,15,1,30,1,,,,catch,0,,1,,0,0,1.32,,
38,2,True,1,14,1,43,1,,,,catch,0,,1,,0,0,1.46,,
