trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,3.66,,
2,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,0.76,,
3,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,0.64,,
4,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,0.79,,
5,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,0.56,,
6,1,True,0,13,0,26,1,,,,catch,0,,1,,0,0,0.58,,
7,1,True,0,13,0,30,1,,,,catch,0,,1,,0,0,0.65,,
8,1,True,1,12,0,31,0,,,,catch,0,,1,,0,0,0.7,,
9,1,True,1,13,1,17,1,,,,catch,0,,1,,0,0,0.93,,
10,1,True,0,13,0,18,1,,,,catch,0,,1,,0,0,0.81,,
11,1,True,1,12,1,16,1,,,,catch,0,,1,,0,0,0.69,,
12,1,True,1,12,1,26,1,,,,catch,0,,1,,0,0,0.98,,
13,1,True,1,11,1,23,1,,,,catch,0,,1,,0,0,1.1,,
14,1,True,0,11,0,11,1,,,,catch,0,,1,,0,0,1.03,,
15,1,True,1,10,1,17,1,,,,catch,0,,1,,0,0,0.94,,
16,1,True,0,10,0,32,1,,,,catch,0,,1,,0,0,1.1,,
17,1,True,1,9,1,50,1,,,,catch,0,,1,,0,0,1.6,,
18,1,True,1,9,1,24,1,,,,catch,0,,1,,0,0,0.65,,
19,1,True,1,8,1,23,1,,,,catch,0,,1,,0,0,0.68,,
20,1,True,1,8,1,28,1,,,,catch,0,,1,,0,0,0.77,,
21,1,True,1,7,0,16,0,,,,catch,0,,1,,0,0,0.88,,
22,1,True,0,8,0,26,1,,,,catch,0,,1,,0,0,0.75,,
23,1,True,1,8,1,18,1,,,,catch,0,,1,,0,0,0.63,,
24,1,True,1,7,0,22,0,,,,catch,0,,1,,0,0,0.61,,
25,1,True,1,8,0,16,0,,,,catch,0,,1,,0,0,1.02,,
26,1,True,1,9,0,29,0,,,,catch,0,,1,,0,0,1.35,,
27,1,True,1,10,1,8,1,,,,catch,0,,1,,0,0,0.81,,
28,1,True,1,10,1,16,1,,,,catch,0,,1,,0,0,0.82,,
29,1,True,0,9,0,24,1,,,,catch,0,,1,,0,0,0.64,,
30,1,True,0,9,0,34,1,,,,catch,0,,1,,0,0,1.73,,
31,2,True,1,8,0,6,0,,,,catch,0,,1,,0,0,1.19,,
32,2,True,0,9,0,17,1,,,,catch,0,,1,,0,0,0.64,,
33,2,True,1,9,0,18,0,,,,catch,0,,1,,0,0,1.03,,
34,2,True,0,10,0,25,1,,,,catch,0,,1,,0,0,0.75,,
35,2,True,1,10,0,22,0,,,,catch,0,,1,,0,0,1.04,,
36,2,True,0,11,0,42,1,,,,catch,0,,1,,0,0,0.93,,
37,2,True,0,11,0,28,1,,,,catch,0,,1,,0,0,0.95,,
38,2,True,0,10,0,13,1,,,,catch,0,,1,,0,0,0.92,,
39,2,True,0,10,0,50,1,,,,catch,0,,1,,0,0,1.37,,
40,2,True,1,9,0,28,0,,,,catch,0,,1,,0,0,0.72,,
41,2,True,0,10,0,50,1,,,,catch,0,,1,,0,0,1.36,,
42,2,True,1,10,0,19,0,,,,catch,0,,1,,0,0,0.98,,
43,2,True,1,11,0,27,0,,,,catch,0,,1,,0,0,0.83,,
44,2,True,0,12,0,41,1,,,,catch,0,,1,,0,0,1.07,,
45,2,True,0,12,0,50,1,,,,catch,0,,1,,0,0,1.64,,
46,2,True,0,11,0,15,1,,,,catch,0,,1,,0,0,0.81,,
47,2,True,1,11,0,11,0,,,,catch,0,,1,,0,0,0.94,,
48,2,True,1,12,1,50,1,,,,catch,0,,1,,0,0,1.14,,
49,2,True,0,12,0,21,1,,,,catch,0,,1,,0,0,0.91,,
50,2,True,1,11,1,50,1,,,,catch,0,,1,,0,0,1.51,,
51,2,True,0,11,0,50,1,,,,catch,0,,1,,0,0,1.16,,
52,2,True,1,10,1,26,1,,,,catch,0,,1,,0,0,0.98,,
53,2,True,1,10,1,24,1,,,,catch,0,,1,,0,0,0.91,,
54,2,True,1,9,1,38,1,,,,catch,0,,1,,0,0,1.14,,
55,2,True,0,9,0,32,1,,,,catch,0,,1,,0,0,1.36,,
56,2,True,0,8,1,33,0,,,,catch,0,,1,,0,0,1.1,,
57,2,True,1,9,1,44,1,,,,catch,0,,1,,0,0,1.23,,
58,2,True,1,9,1,40,1,,,,catch,0,,1,,0,0,1.08,,
59,2,True,1,8,0,25,0,,,,catch,0,,1,,0,0,0.89,,
60,2,True,0,9,0,19,1,,,,catch,0,,1,,0,0,0.89,,
61,3,False,1,9,1,31,1,1,23,1,forceblk4,2,2,0,1,1,0,1.27,4.91,5.91
62,3,False,1,9,1,27,1,1,20,1,forceblk4,1,1,0,1,1,0,0.92,0.55,1.55
63,3,False,0,9,0,33,1,0,13,1,forceblk4,2,2,0,1,0,0,0.75,0.73,1.73
64,3,False,1,9,0,18,0,0,21,0,forceblk4,2,2,0,0,0,0,1.0,0.6,1.6
65,3,False,0,9,1,12,0,1,9,0,forceblk4,1,1,0,0,1,0,0.83,0.84,1.85
66,3,False,0,9,1,24,0,1,21,0,forceblk4,1,1,0,0,1,0,0.66,0.52,1.52
67,3,False,0,9,1,11,0,1,7,0,forceblk4,2,2,0,0,1,0,0.65,0.93,1.93
68,3,False,0,9,0,24,1,0,17,1,forceblk4,2,2,0,0,1,0,1.31,0.8,1.8
69,3,False,0,9,0,19,1,0,16,1,forceblk4,1,1,0,0,1,0,0.7,1.03,2.03
70,3,False,0,9,0,21,1,0,16,1,forceblk4,2,2,0,0,1,0,0.72,0.69,1.69
71,3,False,0,9,1,5,0,0,12,1,forceblk4,1,1,0,0,1,0,0.89,0.82,1.83
72,3,False,0,9,0,11,1,1,9,0,forceblk4,2,2,0,1,0,0,1.13,0.9,1.9
73,3,False,0,9,0,20,1,0,16,1,forceblk4,1,1,0,0,1,0,1.03,0.54,1.54
74,3,False,0,9,1,15,0,1,33,0,forceblk4,2,2,0,0,1,0,1.31,0.69,1.7
75,3,False,1,9,1,21,1,1,50,1,forceblk4,1,1,0,1,1,0,1.14,0.84,1.85
76,3,False,0,9,1,12,0,1,15,0,forceblk4,2,2,0,1,0,0,0.63,1.0,2.01
77,3,False,0,9,0,10,1,0,6,1,forceblk4,1,1,0,0,1,0,0.95,0.88,1.88
78,3,False,1,9,1,31,1,1,50,1,forceblk4,1,1,0,1,1,0,0.97,0.93,1.93
79,3,False,0,9,1,19,0,0,10,1,forceblk4,2,2,0,0,1,0,0.87,1.15,2.15
80,3,False,1,9,1,32,1,1,8,1,forceblk4,2,2,0,0,0,0,0.88,1.2,2.2
81,3,False,0,9,1,24,0,1,23,0,forceblk4,1,1,0,1,0,0,0.97,0.93,1.93
82,3,False,1,9,0,24,0,1,6,1,forceblk4,2,2,0,1,1,0,1.27,1.37,2.37
83,3,False,1,9,1,14,1,1,10,1,forceblk4,1,1,0,0,0,0,1.24,0.9,1.91
84,3,False,1,9,1,24,1,1,17,1,forceblk4,1,1,0,1,1,0,0.82,0.81,1.81
85,3,False,1,9,1,21,1,1,23,1,forceblk4,2,2,0,1,1,0,0.88,0.66,1.66
