trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,36.1,,
2,1,True,1,15,0,11,0,,,,catch,0,,1,,0,0,7.48,,
3,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,7.0,,
4,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,4.5,,
5,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,5.65,,
6,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,3.37,,
7,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,3.83,,
8,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,2.71,,
9,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,2.46,,
10,1,True,1,14,0,14,0,,,,catch,0,,1,,0,0,2.4,,
11,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,20.61,,
12,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,2.56,,
13,1,True,0,15,0,23,1,,,,catch,0,,1,,0,0,2.51,,
14,1,True,0,14,0,41,1,,,,catch,0,,1,,0,0,3.86,,
15,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,3.11,,
16,1,True,0,13,1,8,0,,,,catch,0,,1,,0,0,3.11,,
17,1,True,1,14,1,14,1,,,,catch,0,,1,,0,0,3.47,,
18,1,True,0,14,0,4,1,,,,catch,0,,1,,0,0,4.66,,
19,1,True,0,13,0,4,1,,,,catch,0,,1,,0,0,3.15,,
20,1,True,1,13,1,16,1,,,,catch,0,,1,,0,0,2.07,,
21,1,True,0,12,0,23,1,,,,catch,0,,1,,0,0,3.89,,
22,1,True,0,12,0,14,1,,,,catch,0,,1,,0,0,3.74,,
23,1,True,1,11,0,13,0,,,,catch,0,,1,,0,0,2.47,,
24,1,True,1,12,0,1,0,,,,catch,0,,1,,0,0,3.35,,
25,1,True,0,13,1,10,0,,,,catch,0,,1,,0,0,2.17,,
26,1,True,0,14,0,6,1,,,,catch,0,,1,,0,0,2.47,,
27,1,True,1,14,0,13,0,,,,catch,0,,1,,0,0,2.06,,
28,1,True,1,15,0,22,0,,,,catch,0,,1,,0,0,2.77,,
29,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,3.2,,
30,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,2.01,,
31,2,True,0,15,0,14,1,,,,catch,0,,1,,0,0,2.91,,
32,2,True,1,15,0,26,0,,,,catch,0,,1,,0,0,3.7,,
33,2,True,1,15,0,9,0,,,,catch,0,,1,,0,0,2.53,,
34,2,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.86,,
35,2,True,1,15,0,15,0,,,,catch,0,,1,,0,0,2.56,,
36,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,2.53,,
37,2,True,1,15,0,2,0,,,,catch,0,,1,,0,0,2.69,,
38,2,True,1,15,0,3,0,,,,catch,0,,1,,0,0,3.11,,
39,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,2.78,,
40,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,2.86,,
41,2,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.02,,
42,2,True,0,15,0,5,1,,,,catch,0,,1,,0,0,2.2,,
43,2,True,0,14,0,3,1,,,,catch,0,,1,,0,0,3.5,,
44,2,True,1,14,0,10,0,,,,catch,0,,1,,0,0,2.34,,
45,2,True,0,15,0,16,1,,,,catch,0,,1,,0,0,3.67,,
46,2,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.29,,
47,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,2.51,,
48,2,True,1,15,0,8,0,,,,catch,0,,1,,0,0,3.44,,
49,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,3.37,,
50,2,True,1,15,1,23,1,,,,catch,0,,1,,0,0,2.95,,
51,2,True,0,14,0,14,1,,,,catch,0,,1,,0,0,2.38,,
52,2,True,1,14,0,28,0,,,,catch,0,,1,,0,0,2.6,,
53,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,2.5,,
54,2,True,1,15,0,6,0,,,,catch,0,,1,,0,0,2.43,,
55,2,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.74,,
56,2,True,1,15,0,11,0,,,,catch,0,,1,,0,0,3.25,,
57,2,True,0,15,0,19,1,,,,catch,0,,1,,0,0,2.85,,
58,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,2.52,,
59,2,True,1,14,1,11,1,,,,catch,0,,1,,0,0,2.75,,
