trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,20.33,,
2,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,26.49,,
3,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,8.5,,
4,1,True,0,14,1,22,0,,,,catch,0,,1,,0,0,4.8,,
5,1,True,0,15,0,22,1,,,,catch,0,,1,,0,0,5.54,,
6,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,3.52,,
7,1,True,1,15,0,19,0,,,,catch,0,,1,,0,0,3.44,,
8,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,5.15,,
9,1,True,0,15,1,16,0,,,,catch,0,,1,,0,0,4.22,,
10,1,True,0,15,0,19,1,,,,catch,0,,1,,0,0,2.64,,
11,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,3.39,,
12,1,True,0,14,1,14,0,,,,catch,0,,1,,0,0,3.24,,
13,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,2.27,,
14,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,3.6,,
15,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,3.09,,
16,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,2.59,,
17,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.25,,
18,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,2.37,,
19,1,True,1,14,1,20,1,,,,catch,0,,1,,0,0,2.82,,
20,1,True,1,14,1,16,1,,,,catch,0,,1,,0,0,2.24,,
21,1,True,1,13,1,9,1,,,,catch,0,,1,,0,0,4.52,,
22,1,True,1,13,1,14,1,,,,catch,0,,1,,0,0,2.55,,
23,1,True,0,12,1,13,0,,,,catch,0,,1,,0,0,2.14,,
24,1,True,1,13,1,12,1,,,,catch,0,,1,,0,0,2.28,,
25,1,True,1,13,1,11,1,,,,catch,0,,1,,0,0,2.15,,
