trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,31.4,,
2,1,True,1,15,1,40,1,,,,catch,0,,1,,0,0,10.99,,
3,1,True,1,15,0,50,0,,,,catch,0,,1,,0,0,6.32,,
4,1,True,0,15,0,26,1,,,,catch,0,,1,,0,0,4.2,,
5,1,True,0,15,0,27,1,,,,catch,0,,1,,0,0,4.29,,
6,1,True,0,14,1,4,0,,,,catch,0,,1,,0,0,2.86,,
7,1,True,1,15,0,19,0,,,,catch,0,,1,,0,0,2.13,,
8,1,True,1,15,1,21,1,,,,catch,0,,1,,0,0,9.43,,
9,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,2.07,,
10,1,True,0,14,0,38,1,,,,catch,0,,1,,0,0,2.99,,
11,1,True,0,14,0,35,1,,,,catch,0,,1,,0,0,1.49,,
12,1,True,1,13,0,50,0,,,,catch,0,,1,,0,0,1.56,,
13,1,True,0,14,0,17,1,,,,catch,0,,1,,0,0,1.41,,
14,1,True,1,14,0,15,0,,,,catch,0,,1,,0,0,1.44,,
15,1,True,1,15,0,10,0,,,,catch,0,,1,,0,0,1.27,,
16,1,True,1,15,0,10,0,,,,catch,0,,1,,0,0,1.38,,
17,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,1.06,,
18,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,1.2,,
19,1,True,1,15,0,24,0,,,,catch,0,,1,,0,0,1.26,,
20,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,0.99,,
21,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,1.56,,
22,1,True,0,14,0,16,1,,,,catch,0,,1,,0,0,1.32,,
23,1,True,1,14,0,22,0,,,,catch,0,,1,,0,0,1.81,,
24,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,3.13,,
25,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,12.82,,
26,1,True,1,15,0,17,0,,,,catch,0,,1,,0,0,2.11,,
27,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,3.32,,
28,1,True,1,15,0,6,0,,,,catch,0,,1,,0,0,1.34,,
29,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,7.71,,
30,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,5.15,,
31,2,True,0,14,0,39,1,,,,catch,0,,1,,0,0,4.07,,
32,2,True,0,14,0,50,1,,,,catch,0,,1,,0,0,1.59,,
33,2,True,0,13,0,6,1,,,,catch,0,,1,,0,0,2.22,,
34,2,True,1,13,0,32,0,,,,catch,0,,1,,0,0,3.2,,
35,2,True,1,14,0,24,0,,,,catch,0,,1,,0,0,6.89,,
36,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.1,,
37,2,True,0,15,0,29,1,,,,catch,0,,1,,0,0,1.5,,
38,2,True,0,14,0,18,1,,,,catch,0,,1,,0,0,6.73,,
39,2,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.18,,
40,2,True,0,13,0,35,1,,,,catch,0,,1,,0,0,1.4,,
41,2,True,0,13,1,13,0,,,,catch,0,,1,,0,0,31.79,,
42,2,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.3,,
43,2,True,1,14,0,50,0,,,,catch,0,,1,,0,0,1.32,,
44,2,True,0,15,0,22,1,,,,catch,0,,1,,0,0,1.11,,
45,2,True,1,15,0,12,0,,,,catch,0,,1,,0,0,1.18,,
46,2,True,1,15,0,29,0,,,,catch,0,,1,,0,0,2.31,,
47,2,True,0,15,1,5,0,,,,catch,0,,1,,0,0,0.92,,
48,2,True,1,15,0,9,0,,,,catch,0,,1,,0,0,1.06,,
49,2,True,0,15,1,8,0,,,,catch,0,,1,,0,0,0.81,,
50,2,True,0,15,1,8,0,,,,catch,0,,1,,0,0,0.7,,
51,2,True,0,15,0,14,1,,,,catch,0,,1,,0,0,0.83,,
52,2,True,0,15,0,29,1,,,,catch,0,,1,,0,0,2.5,,
53,2,True,0,14,0,14,1,,,,catch,0,,1,,0,0,2.99,,
54,2,True,0,14,0,30,1,,,,catch,0,,1,,0,0,1.19,,
55,2,True,1,13,0,31,0,,,,catch,0,,1,,0,0,1.56,,
56,2,True,0,14,0,6,1,,,,catch,0,,1,,0,0,2.62,,
57,2,True,1,14,0,10,0,,,,catch,0,,1,,0,0,1.31,,
58,2,True,1,15,0,25,0,,,,catch,0,,1,,0,0,1.21,,
59,2,True,0,15,0,23,1,,,,catch,0,,1,,0,0,2.21,,
60,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,27.76,,
61,3,False,1,14,1,11,1,1,25,1,forceblk4,1,,1,1,1,0,4.1,20.42,21.42
62,3,False,1,14,0,17,0,1,50,1,forceblk4,2,,1,1,1,0,3.51,4.02,5.03
63,3,False,1,14,0,9,0,0,8,0,forceblk4,1,,1,1,1,0,1.56,8.3,9.3
64,3,False,0,14,0,15,1,1,20,0,forceblk4,2,,1,1,0,0,1.75,3.4,4.41
