trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,22,1,,,,catch,0,,1,,0,0,17.97,,
2,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,7.18,,
3,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,4.04,,
4,1,True,0,14,0,33,1,,,,catch,0,,1,,0,0,2.87,,
5,1,True,0,14,0,35,1,,,,catch,0,,1,,0,0,2.72,,
6,1,True,1,13,1,36,1,,,,catch,0,,1,,0,0,2.57,,
7,1,True,1,13,1,44,1,,,,catch,0,,1,,0,0,2.67,,
8,1,True,1,12,1,25,1,,,,catch,0,,1,,0,0,3.65,,
9,1,True,0,12,0,7,1,,,,catch,0,,1,,0,0,3.73,,
10,1,True,0,11,0,10,1,,,,catch,0,,1,,0,0,4.38,,
11,1,True,0,11,0,26,1,,,,catch,0,,1,,0,0,3.75,,
12,1,True,0,10,1,27,0,,,,catch,0,,1,,0,0,5.1,,
13,1,True,0,11,0,21,1,,,,catch,0,,1,,0,0,3.46,,
14,1,True,1,11,1,37,1,,,,catch,0,,1,,0,0,1.84,,
15,1,True,1,10,1,36,1,,,,catch,0,,1,,0,0,1.69,,
16,1,True,1,10,1,35,1,,,,catch,0,,1,,0,0,1.7,,
17,1,True,0,9,1,50,0,,,,catch,0,,1,,0,0,2.61,,
18,1,True,0,10,0,27,1,,,,catch,0,,1,,0,0,1.75,,
19,1,True,0,10,1,42,0,,,,catch,0,,1,,0,0,1.45,,
20,1,True,0,11,0,5,1,,,,catch,0,,1,,0,0,2.0,,
21,1,True,0,11,1,12,0,,,,catch,0,,1,,0,0,1.6,,
22,1,True,0,12,1,16,0,,,,catch,0,,1,,0,0,1.64,,
23,1,True,0,13,0,15,1,,,,catch,0,,1,,0,0,1.38,,
24,1,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.17,,
25,1,True,0,12,1,19,0,,,,catch,0,,1,,0,0,1.2,,
26,1,True,1,13,1,6,1,,,,catch,0,,1,,0,0,1.34,,
27,1,True,0,13,1,10,0,,,,catch,0,,1,,0,0,1.79,,
28,1,True,0,14,1,6,0,,,,catch,0,,1,,0,0,1.94,,
29,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,1.91,,
30,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.9,,
31,2,True,1,15,1,34,1,,,,catch,0,,1,,0,0,1.83,,
32,2,True,1,14,0,29,0,,,,catch,0,,1,,0,0,1.74,,
33,2,True,1,15,1,17,1,,,,catch,0,,1,,0,0,1.41,,
34,2,True,0,15,0,44,1,,,,catch,0,,1,,0,0,1.44,,
35,2,True,1,14,0,15,0,,,,catch,0,,1,,0,0,2.59,,
36,2,True,0,15,0,42,1,,,,catch,0,,1,,0,0,1.75,,
37,2,True,0,15,0,50,1,,,,catch,0,,1,,0,0,1.69,,
38,2,True,0,14,0,17,1,,,,catch,0,,1,,0,0,2.58,,
39,2,True,1,14,1,50,1,,,,catch,0,,1,,0,0,2.04,,
40,2,True,0,13,0,50,1,,,,catch,0,,1,,0,0,2.02,,
41,2,True,1,13,1,16,1,,,,catch,0,,1,,0,0,3.04,,
42,2,True,1,12,0,50,0,,,,catch,0,,1,,0,0,3.09,,
43,2,True,0,13,0,50,1,,,,catch,0,,1,,0,0,2.34,,
44,2,True,1,13,0,50,0,,,,catch,0,,1,,0,0,1.99,,
45,2,True,0,14,0,50,1,,,,catch,0,,1,,0,0,2.12,,
46,2,True,0,14,0,49,1,,,,catch,0,,1,,0,0,1.87,,
47,2,True,0,13,0,49,1,,,,catch,0,,1,,0,0,1.92,,
48,2,True,0,13,0,50,1,,,,catch,0,,1,,0,0,1.7,,
49,2,True,0,12,0,50,1,,,,catch,0,,1,,0,0,2.03,,
50,2,True,1,12,1,9,1,,,,catch,0,,1,,0,0,1.97,,
51,2,True,1,11,1,27,1,,,,catch,0,,1,,0,0,1.69,,
52,2,True,0,11,0,50,1,,,,catch,0,,1,,0,0,1.61,,
53,2,True,0,10,0,50,1,,,,catch,0,,1,,0,0,1.72,,
54,2,True,1,10,1,13,1,,,,catch,0,,1,,0,0,1.43,,
55,2,True,1,9,0,50,0,,,,catch,0,,1,,0,0,2.07,,
56,2,True,0,10,0,50,1,,,,catch,0,,1,,0,0,2.53,,
57,2,True,0,10,0,50,1,,,,catch,0,,1,,0,0,1.99,,
58,2,True,1,9,0,21,0,,,,catch,0,,1,,0,0,1.64,,
59,2,True,1,10,1,33,1,,,,catch,0,,1,,0,0,1.38,,
60,2,True,1,10,0,28,0,,,,catch,0,,1,,0,0,1.31,,
61,3,False,0,11,1,13,0,0,34,1,forceblk4,2,,1,0,1,0,2.37,4.53,5.53
62,3,False,0,11,1,12,0,1,31,0,forceblk4,1,,1,1,0,0,1.44,2.56,3.56
63,3,False,1,11,0,18,0,1,8,1,forceblk4,2,,1,1,1,0,1.85,2.23,3.24
64,3,False,1,11,0,17,0,0,17,0,forceblk4,1,,1,1,1,0,1.94,6.11,7.11
65,3,False,1,11,0,15,0,0,28,0,forceblk4,2,,1,0,0,0,2.92,1.53,2.54
66,3,False,1,11,0,18,0,0,18,0,forceblk4,1,,1,1,1,0,2.36,2.56,3.56
67,3,False,1,11,0,40,0,0,50,0,forceblk4,1,,1,0,0,0,1.74,1.84,2.84
68,3,False,1,11,0,35,0,1,7,1,forceblk4,2,,1,1,1,0,3.86,1.89,2.89
69,3,False,1,11,1,22,1,1,50,1,forceblk4,2,,1,1,1,0,1.5,2.75,3.76
70,3,False,0,11,0,33,1,0,50,1,forceblk4,1,,1,0,1,0,1.35,2.36,3.37
71,3,False,1,11,0,50,0,0,50,0,forceblk4,1,,1,0,0,0,1.96,2.17,3.18
72,3,False,1,11,0,50,0,0,8,0,forceblk4,2,,1,1,1,0,1.72,3.97,4.99
73,3,False,1,11,1,14,1,1,50,1,forceblk4,1,,1,1,1,0,2.11,1.51,2.52
74,3,False,1,11,1,17,1,1,17,1,forceblk4,2,,1,1,1,0,1.58,1.34,2.36
75,3,False,0,11,0,25,1,1,9,0,forceblk4,1,,1,0,1,0,1.09,1.23,2.24
76,3,False,0,11,0,27,1,0,33,1,forceblk4,1,,1,0,1,0,1.74,1.77,2.77
77,3,False,1,11,1,13,1,1,26,1,forceblk4,2,,1,1,1,0,1.43,0.96,1.97
78,3,False,0,11,0,49,1,0,50,1,forceblk4,2,,1,1,0,0,1.62,3.1,4.11
79,3,False,1,11,1,19,1,1,20,1,forceblk4,1,,1,1,1,0,1.46,0.9,1.9
80,3,False,0,11,0,30,1,0,31,1,forceblk4,2,,1,0,1,0,1.25,1.68,2.68
81,3,False,0,11,0,36,1,0,35,1,forceblk4,1,,1,1,0,0,1.51,1.33,2.33
82,3,False,0,11,0,32,1,0,31,1,forceblk4,2,,1,1,0,0,1.83,1.61,2.62
