trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.76,,
2,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,0.79,,
3,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,1.09,,
4,1,True,0,14,0,17,1,,,,catch,0,,1,,0,0,0.78,,
5,1,True,0,14,0,12,1,,,,catch,0,,1,,0,0,0.98,,
6,1,True,0,13,0,13,1,,,,catch,0,,1,,0,0,0.9,,
7,1,True,0,13,0,19,1,,,,catch,0,,1,,0,0,0.7,,
8,1,True,1,12,0,24,0,,,,catch,0,,1,,0,0,0.91,,
9,1,True,1,13,1,9,1,,,,catch,0,,1,,0,0,0.7,,
10,1,True,1,13,1,16,1,,,,catch,0,,1,,0,0,0.79,,
11,1,True,0,12,0,4,1,,,,catch,0,,1,,0,0,0.83,,
12,1,True,0,12,0,11,1,,,,catch,0,,1,,0,0,1.4,,
13,1,True,0,11,0,16,1,,,,catch,0,,1,,0,0,0.71,,
14,1,True,0,11,0,16,1,,,,catch,0,,1,,0,0,0.76,,
15,1,True,1,10,1,10,1,,,,catch,0,,1,,0,0,0.73,,
16,1,True,0,10,1,22,0,,,,catch,0,,1,,0,0,0.75,,
17,1,True,1,11,1,25,1,,,,catch,0,,1,,0,0,1.01,,
18,1,True,1,11,1,24,1,,,,catch,0,,1,,0,0,0.77,,
19,1,True,0,10,0,2,1,,,,catch,0,,1,,0,0,0.84,,
20,1,True,0,10,0,9,1,,,,catch,0,,1,,0,0,1.06,,
21,1,True,0,9,1,13,0,,,,catch,0,,1,,0,0,1.38,,
22,1,True,0,10,1,18,0,,,,catch,0,,1,,0,0,1.02,,
23,1,True,0,11,0,7,1,,,,catch,0,,1,,0,0,0.73,,
24,1,True,0,11,0,9,1,,,,catch,0,,1,,0,0,1.08,,
25,1,True,0,10,0,10,1,,,,catch,0,,1,,0,0,0.62,,
26,1,True,1,10,1,5,1,,,,catch,0,,1,,0,0,0.74,,
27,1,True,1,9,1,12,1,,,,catch,0,,1,,0,0,1.0,,
28,1,True,1,9,1,18,1,,,,catch,0,,1,,0,0,0.69,,
29,1,True,0,8,0,5,1,,,,catch,0,,1,,0,0,0.84,,
30,1,True,0,8,1,4,0,,,,catch,0,,1,,0,0,0.73,,
